ticker,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-02-20,57.66,56.82,55.928,52.6316,48.7762,DOWN,0
2007-02-21,57.18,57.96,56.822,52.7558,48.8219,DOWN,0
2007-02-22,56.69,57.48,56.76,52.8976,48.8683,UP,1
2007-02-23,57.49,56.99,56.958,53.053,48.916,DOWN,0
2007-02-26,57.19,58.24,57.242,53.1918,48.9578,DOWN,0
2007-02-27,54.19,55.85,56.548,53.2468,48.9862,UP,1
2007-02-28,54.76,54.95,56.064,53.2876,49.0177,DOWN,0
2007-03-01,53.83,53.2,55.492,53.2954,49.0501,DOWN,0
2007-03-02,52.05,53.63,54.404,53.2412,49.0798,DOWN,0
2007-03-05,51.23,51.67,53.212,53.1584,49.1028,UP,1
2007-03-06,52.73,52.45,52.92,53.1122,49.1469,DOWN,0
2007-03-07,51.68,52.73,52.304,53.0544,49.1891,UP,1
2007-03-08,52.73,52.61,52.084,53.0156,49.2296,DOWN,0
2007-03-09,52.48,53.4,52.17,52.962,49.2786,UP,1
2007-03-12,53.48,52.38,52.62,52.9326,49.3281,DOWN,0
2007-03-13,52.49,52.83,52.572,52.8778,49.3688,UP,1
2007-03-14,53.34,52.45,52.904,52.8196,49.4081,UP,1
2007-03-15,53.57,53.05,53.072,52.7778,49.4412,UP,1
2007-03-16,53.76,53.56,53.328,52.7396,49.4787,UP,1
2007-03-19,54.51,54.25,53.534,52.7286,49.518,UP,1
2007-03-20,54.87,54.73,54.01,52.7284,49.5496,UP,1
2007-03-21,55.8,55.0,54.502,52.7644,49.5854,UP,1
2007-03-22,55.83,55.96,54.954,52.8424,49.6296,DOWN,0
2007-03-23,55.64,55.86,55.33,52.9092,49.6766,DOWN,0
2007-03-26,55.07,55.6,55.442,52.9698,49.7196,DOWN,0
2007-03-27,54.34,54.85,55.336,53.0106,49.7626,DOWN,0
2007-03-28,53.86,54.29,54.948,53.0456,49.8058,UP,1
2007-03-29,54.29,54.32,54.64,53.0866,49.8532,DOWN,0
2007-03-30,54.15,54.3,54.342,53.167,49.9151,UP,1
2007-04-02,54.3,54.26,54.188,53.262,49.9624,UP,1
2007-04-03,54.81,54.69,54.282,53.3724,50.0023,DOWN,0
2007-04-04,54.03,54.72,54.316,53.4518,50.0399,UP,1
2007-04-05,54.07,53.95,54.272,53.5246,50.0744,DOWN,0
2007-04-09,53.76,54.35,54.194,53.6062,50.1101,DOWN,0
2007-04-10,53.49,53.5,54.032,53.6862,50.1354,DOWN,0
2007-04-11,52.69,53.59,53.608,53.7418,50.1515,UP,1
2007-04-12,53.39,52.75,53.48,53.8258,50.1726,UP,1
2007-04-13,53.6,53.17,53.386,53.8934,50.1933,UP,1
2007-04-16,54.15,53.75,53.464,53.9824,50.2214,UP,1
2007-04-17,54.19,54.52,53.604,54.0432,50.2366,UP,1
2007-04-18,54.7,54.05,54.006,54.119,50.2412,UP,1
2007-04-19,55.11,54.48,54.35,54.2022,50.2532,DOWN,0
2007-04-20,55.01,55.22,54.632,54.2684,50.2621,UP,1
2007-04-23,55.12,55.01,54.826,54.3078,50.2771,DOWN,0
2007-04-24,54.82,55.15,54.952,54.359,50.2849,UP,1
2007-04-25,56.29,55.15,55.27,54.448,50.3188,UP,1
2007-04-26,57.96,56.92,55.84,54.553,50.3641,UP,1
2007-04-27,58.61,57.61,56.56,54.5852,50.4009,DOWN,0
2007-04-30,58.19,58.61,57.174,54.619,50.4458,UP,1
2007-05-01,59.37,58.38,58.084,54.691,50.4982,DOWN,0
2007-05-02,56.94,55.75,58.214,54.6766,50.5397,DOWN,0
2007-05-03,56.65,56.79,57.952,54.666,50.5748,DOWN,0
2007-05-04,55.45,56.7,57.32,54.6412,50.5991,UP,1
2007-05-07,55.72,55.5,56.826,54.6058,50.625,DOWN,0
2007-05-08,55.72,55.67,56.096,54.5764,50.6606,UP,1
2007-05-09,56.61,55.32,56.03,54.6248,50.7052,DOWN,0
2007-05-10,55.56,56.46,55.812,54.6408,50.7326,UP,1
2007-05-11,56.17,55.69,55.956,54.6876,50.7623,DOWN,0
2007-05-14,56.05,56.45,56.022,54.7676,50.7957,DOWN,0
2007-05-15,55.8,56.24,56.038,54.859,50.8424,DOWN,0
2007-05-16,55.76,56.31,55.868,54.9196,50.89,DOWN,0
2007-05-17,55.42,55.68,55.84,54.9944,50.9297,UP,1
2007-05-18,56.83,55.97,55.972,55.0764,50.9888,UP,1
2007-05-21,57.4,56.25,56.242,55.1748,51.0555,UP,1
2007-05-22,58.34,57.15,56.75,55.272,51.1254,UP,1
2007-05-23,60.13,58.55,57.624,55.4248,51.2093,UP,1
2007-05-24,60.87,59.75,58.714,55.5754,51.2928,DOWN,0
2007-05-25,60.09,61.0,59.366,55.7058,51.3753,UP,1
2007-05-29,60.46,60.15,59.978,55.8398,51.4632,UP,1
2007-05-30,64.98,60.19,61.306,56.0492,51.5699,DOWN,0
2007-05-31,64.33,65.04,62.146,56.2384,51.6694,UP,1
2007-06-01,64.97,64.5,62.966,56.4218,51.7762,DOWN,0
2007-06-04,64.08,64.51,63.764,56.5868,51.8731,DOWN,0
2007-06-05,63.94,63.71,64.46,56.7528,51.9612,UP,1
2007-06-06,64.17,63.52,64.298,56.9348,52.0489,DOWN,0
2007-06-07,62.66,63.68,63.964,57.1012,52.1312,UP,1
2007-06-08,63.82,62.46,63.734,57.3004,52.2193,UP,1
2007-06-11,66.08,64.13,64.134,57.5362,52.3203,DOWN,0
2007-06-12,65.67,65.82,64.48,57.7666,52.4241,UP,1
2007-06-13,67.43,66.35,65.132,58.0292,52.5421,UP,1
