ticker,MET US Equity,MET US Equity,MET US Equity,MET US Equity,MET US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-05-21,27.6252,27.8034,27.5289,26.0543,25.7648,DOWN,0
2001-05-22,27.0994,27.5361,27.5931,26.0465,25.8098,UP,1
2001-05-23,27.4915,27.4024,27.5842,26.0317,25.8475,UP,1
2001-05-24,27.8034,27.5361,27.5753,26.0753,25.8827,UP,1
2001-05-25,27.9727,27.8034,27.5985,26.1179,25.9212,UP,1
2001-05-29,28.044,28.0708,27.6822,26.1726,25.9589,DOWN,0
2001-05-30,28.0084,28.1599,27.864,26.2377,25.992,UP,1
2001-05-31,28.3826,28.0708,28.0422,26.3206,26.0315,DOWN,0
2001-06-01,28.3559,28.0262,28.1527,26.3943,26.0671,UP,1
2001-06-04,28.552,28.347,28.2686,26.5011,26.1052,UP,1
2001-06-05,28.855,28.6945,28.4308,26.5881,26.1428,DOWN,0
2001-06-06,28.4896,28.855,28.527,26.6642,26.1786,DOWN,0
2001-06-07,28.1064,28.5163,28.4718,26.7298,26.2144,DOWN,0
2001-06-08,28.0529,28.0708,28.4112,26.7909,26.2477,DOWN,0
2001-06-11,27.7678,28.0708,28.2543,26.8397,26.2755,DOWN,0
2001-06-12,27.4291,28.0173,27.9692,26.8527,26.3046,DOWN,0
2001-06-13,27.3935,27.4024,27.7499,26.8606,26.3363,DOWN,0
2001-06-14,26.6895,27.3578,27.4666,26.8709,26.365,DOWN,0
2001-06-15,26.6449,26.4667,27.185,26.8841,26.3913,UP,1
2001-06-18,26.8232,26.7341,26.996,26.8859,26.4149,UP,1
2001-06-19,27.0459,26.9568,26.9194,26.898,26.4418,UP,1
2001-06-20,27.6252,27.0014,26.9657,26.9167,26.469,UP,1
2001-06-21,27.8034,27.6074,27.1885,26.939,26.5,DOWN,0
2001-06-22,27.2242,27.7143,27.3044,26.9649,26.527,DOWN,0
2001-06-25,27.1707,27.4915,27.3739,26.9763,26.5531,UP,1
2001-06-26,27.3222,27.0905,27.4291,26.9836,26.578,DOWN,0
2001-06-27,27.3133,27.2687,27.3668,26.9927,26.604,DOWN,0
2001-06-28,27.1351,27.5361,27.2331,27.0007,26.63,UP,1
2001-06-29,27.6074,27.0905,27.3097,27.0246,26.6544,UP,1
2001-07-02,28.1153,27.4024,27.4986,27.0691,26.6836,UP,1
2001-07-03,28.1599,28.0262,27.6662,27.1171,26.715,UP,1
2001-07-05,28.4094,27.8925,27.8854,27.1773,26.749,DOWN,0
2001-07-06,27.6163,28.4094,27.9816,27.2199,26.7771,UP,1
2001-07-09,27.8212,27.848,28.0244,27.2614,26.8081,DOWN,0
2001-07-10,27.643,27.8212,27.93,27.296,26.8391,DOWN,0
2001-07-11,27.0905,27.4915,27.7161,27.321,26.8643,UP,1
2001-07-12,27.7589,27.1796,27.586,27.3504,26.8936,UP,1
2001-07-13,27.848,27.6252,27.6323,27.3897,26.9201,UP,1
2001-07-16,28.1153,27.848,27.6911,27.4361,26.9432,DOWN,0
2001-07-17,27.8925,27.9816,27.741,27.4664,26.9615,DOWN,0
2001-07-18,27.5806,27.848,27.8391,27.497,26.9824,DOWN,0
2001-07-19,27.4024,27.8925,27.7678,27.5354,27.0019,DOWN,0
2001-07-20,26.7786,27.2687,27.5539,27.5559,27.0222,DOWN,0
2001-07-23,26.4667,26.7786,27.2242,27.5712,27.0437,DOWN,0
2001-07-24,25.8429,26.2439,26.8143,27.5719,27.0562,UP,1
2001-07-25,26.0746,25.9766,26.513,27.5694,27.0699,DOWN,0
2001-07-26,25.6647,25.7092,26.1655,27.5471,27.0824,UP,1
2001-07-27,25.7805,25.6647,25.9659,27.512,27.0971,DOWN,0
2001-07-30,25.7092,25.7092,25.8144,27.4692,27.1131,UP,1
2001-07-31,26.4222,25.7984,25.9302,27.4405,27.1375,DOWN,0
2001-08-01,26.3152,26.6271,25.9784,27.4143,27.1577,DOWN,0
2001-08-02,26.2439,26.3776,26.0942,27.3972,27.1758,DOWN,0
2001-08-03,26.0479,26.1994,26.1477,27.3684,27.1913,UP,1
2001-08-06,26.1281,26.2707,26.2314,27.3349,27.2072,DOWN,0
2001-08-07,25.8875,26.3776,26.1245,27.2931,27.2258,DOWN,0
2001-08-08,25.4063,25.4686,25.9427,27.2404,27.2454,UP,1
2001-08-09,25.5043,25.5845,25.7948,27.1903,27.2671,DOWN,0
2001-08-10,25.4865,25.6201,25.6825,27.1324,27.2854,UP,1
2001-08-13,25.8964,25.531,25.6362,27.0832,27.3046,UP,1
2001-08-14,26.2439,25.8429,25.7075,27.037,27.3277,DOWN,0
2001-08-15,26.0657,26.2885,25.8394,26.9813,27.3475,UP,1
2001-08-16,26.2707,26.2885,25.9926,26.9369,27.3602,DOWN,0
2001-08-17,25.9409,26.1994,26.0835,26.8936,27.3668,UP,1
2001-08-20,26.1548,25.9499,26.1352,26.8556,27.3706,UP,1
2001-08-21,26.1726,26.333,26.1209,26.8237,27.3784,UP,1
2001-08-22,26.1994,26.4222,26.1477,26.7991,27.3919,UP,1
2001-08-23,26.8232,26.2885,26.2582,26.7877,27.4099,UP,1
2001-08-24,27.0905,26.7786,26.4881,26.7957,27.4245,DOWN,0
2001-08-27,26.7786,27.0014,26.6129,26.7984,27.4341,UP,1
2001-08-28,26.9034,26.7875,26.759,26.8,27.4364,UP,1
2001-08-29,26.9925,26.9123,26.9176,26.7989,27.4382,UP,1
2001-08-30,27.34,26.9123,27.021,26.7932,27.4479,DOWN,0
2001-08-31,27.1796,27.4024,27.0388,26.7807,27.4583,DOWN,0
2001-09-04,26.7786,26.8232,27.0388,26.7718,27.459,DOWN,0
2001-09-05,26.4667,26.9123,26.9515,26.7578,27.4546,DOWN,0
2001-09-06,25.9588,26.4667,26.7447,26.7305,27.451,DOWN,0
2001-09-07,25.2191,25.7538,26.3206,26.6886,27.4476,UP,1
2001-09-10,25.6647,25.2191,26.0176,26.6592,27.4506,DOWN,0
2001-09-17,23.9804,23.5705,25.4579,26.5867,27.4511,DOWN,0
2001-09-18,23.8824,24.0161,24.9411,26.502,27.446,DOWN,0
2001-09-19,23.7844,23.8824,24.5062,26.4145,27.4377,DOWN,0
2001-09-20,23.5527,23.6151,24.1729,26.3174,27.4304,DOWN,0
2001-09-21,22.4566,22.412,23.5313,26.2142,27.4185,UP,1
2001-09-24,23.5527,23.1695,23.4458,26.1288,27.4042,UP,1
2001-09-25,24.0606,23.6151,23.4814,26.0571,27.3917,DOWN,0
2001-09-26,24.0606,24.0606,23.5367,25.9965,27.3703,UP,1
2001-09-27,25.0231,24.0963,23.8307,25.9418,27.3522,UP,1
2001-09-28,26.4667,25.0409,24.6328,25.9142,27.3367,DOWN,0
2001-10-01,25.8429,26.2885,25.0908,25.8688,27.3128,DOWN,0
2001-10-02,25.8429,25.7538,25.4473,25.8278,27.2793,DOWN,0
2001-10-03,25.6736,25.1746,25.7698,25.7896,27.2506,DOWN,0
2001-10-04,25.5578,25.5756,25.8768,25.7527,27.2233,UP,1
2001-10-05,25.638,25.531,25.711,25.7299,27.2014,DOWN,0
2001-10-08,24.123,25.2815,25.367,25.683,27.1705,DOWN,0
2001-10-09,24.0517,24.1943,25.0088,25.6472,27.1348,DOWN,0
2001-10-10,24.0428,23.9715,24.6827,25.6066,27.0985,UP,1
2001-10-11,24.3369,24.0606,24.4385,25.58,27.0693,DOWN,0
