ticker,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-13,45.188,45.125,51.4091,45.5,41.5175,DOWN,0
2000-12-14,43.875,44.625,51.3528,45.2875,41.2838,DOWN,0
2000-12-15,41.938,42.25,51.29,44.225,41.0475,UP,1
2000-12-18,44.125,43.313,51.2412,44.025,40.9088,DOWN,0
2000-12-19,42.625,44.5,51.1925,43.55,40.7438,DOWN,0
2000-12-20,41.125,41.25,51.1356,42.7375,40.5525,UP,1
2000-12-21,42.875,41.063,51.0734,42.5375,40.4313,DOWN,0
2000-12-22,41.625,42.875,51.0141,42.475,40.5663,DOWN,0
2000-12-26,40.688,41.25,50.9525,41.7875,40.6538,UP,1
2000-12-27,42.75,40.75,50.9047,41.8125,40.755,UP,1
2000-12-28,43.625,43.0,50.8378,42.3125,40.925,UP,1
2000-12-29,45.688,43.688,50.7587,42.875,41.1088,DOWN,0
2001-01-02,45.563,45.688,50.6706,43.6625,41.2475,UP,1
2001-01-03,51.438,45.563,50.6097,45.8125,41.4875,UP,1
2001-01-04,51.688,49.813,50.5506,47.6,41.71,DOWN,0
2001-01-05,49.75,50.0,50.4841,48.825,41.92,DOWN,0
2001-01-08,47.688,49.5,50.4019,49.225,42.1063,DOWN,0
2001-01-09,45.875,47.563,50.3094,49.2875,42.245,UP,1
2001-01-10,47.438,45.813,50.2247,48.4875,42.4063,UP,1
2001-01-11,49.063,47.813,50.15,47.9625,42.5688,UP,1
2001-01-12,49.125,49.063,50.0531,47.8375,42.6913,DOWN,0
2001-01-16,48.875,48.75,49.9625,48.075,42.7875,DOWN,0
2001-01-17,46.375,47.875,49.8719,48.175,42.86,DOWN,0
2001-01-18,44.25,46.5,49.7531,47.5375,42.92,DOWN,0
2001-01-19,41.0,41.75,49.635,45.925,42.9138,UP,1
2001-01-22,43.75,42.0,49.5337,44.85,42.9613,UP,1
2001-01-23,44.75,43.625,49.4278,44.025,43.0313,UP,1
2001-01-24,45.063,44.813,49.3325,43.7625,43.1563,UP,1
2001-01-25,46.0,45.375,49.2291,44.1125,43.3513,DOWN,0
2001-01-26,44.75,45.75,49.1159,44.8625,43.4988,UP,1
2001-01-29,45.5,45.3,49.0134,45.2125,43.625,UP,1
2001-01-30,46.0,45.75,48.9309,45.4625,43.7525,UP,1
2001-01-31,48.2,46.65,48.8707,46.09,43.9328,UP,1
2001-02-01,48.65,47.52,48.8277,46.62,44.1295,DOWN,0
2001-02-02,46.89,48.65,48.7684,47.048,44.2898,DOWN,0
2001-02-05,46.61,46.87,48.7077,47.27,44.457,DOWN,0
2001-02-06,45.65,47.11,48.6428,47.2,44.635,UP,1
2001-02-07,45.78,45.9,48.5739,46.716,44.8006,DOWN,0
2001-02-08,43.99,46.0,48.4988,45.784,44.9054,UP,1
2001-02-09,44.43,44.5,48.4185,45.292,45.0028,UP,1
2001-02-12,45.73,44.57,48.3531,45.116,45.1174,UP,1
2001-02-13,46.31,45.99,48.3021,45.248,45.2598,DOWN,0
2001-02-14,45.72,46.75,48.2501,45.236,45.3955,DOWN,0
2001-02-15,44.61,45.4,48.1891,45.36,45.4727,DOWN,0
2001-02-16,43.0,45.0,48.1341,45.074,45.4602,UP,1
2001-02-20,44.09,44.48,48.092,44.746,45.4407,DOWN,0
2001-02-21,40.95,43.15,48.0302,43.674,45.361,DOWN,0
2001-02-22,40.0,41.5,47.9624,42.53,45.216,UP,1
2001-02-23,40.01,39.95,47.9,41.61,45.1137,UP,1
2001-02-26,43.75,41.0,47.8487,41.76,45.0887,UP,1
2001-02-27,44.6,44.5,47.8023,41.862,45.0769,DOWN,0
2001-02-28,42.5,44.6,47.7449,42.172,45.0494,DOWN,0
2001-03-01,41.5,42.4,47.6698,42.472,45.0407,UP,1
2001-03-02,41.55,40.55,47.6104,42.78,44.9892,DOWN,0
2001-03-05,41.43,41.8,47.5563,42.316,44.9653,DOWN,0
2001-03-06,41.36,42.0,47.5056,41.668,44.97,UP,1
2001-03-07,43.7,41.45,47.4663,41.908,44.9865,UP,1
2001-03-08,44.72,43.9,47.438,42.552,45.0484,DOWN,0
2001-03-09,44.52,44.98,47.4119,43.146,45.125,DOWN,0
2001-03-12,42.06,43.55,47.3884,43.272,45.1112,UP,1
2001-03-13,42.7,42.06,47.3694,43.54,45.0927,DOWN,0
2001-03-14,41.62,41.3,47.3432,43.124,45.0113,UP,1
2001-03-15,43.2,43.25,47.3229,42.82,44.9641,DOWN,0
2001-03-16,42.26,42.55,47.2892,42.368,44.7805,UP,1
2001-03-19,42.5,42.01,47.2523,42.456,44.5968,DOWN,0
2001-03-20,41.95,43.0,47.194,42.306,44.4408,DOWN,0
2001-03-21,41.5,41.95,47.1396,42.282,44.317,DOWN,0
2001-03-22,40.76,41.3,47.0915,41.794,44.2147,DOWN,0
2001-03-23,39.67,40.6,47.037,41.276,44.0594,UP,1
2001-03-26,41.35,41.6,46.9944,41.046,43.9051,UP,1
2001-03-27,43.46,41.95,46.9708,41.348,43.7918,DOWN,0
2001-03-28,43.23,43.39,46.9569,41.694,43.6789,DOWN,0
2001-03-29,42.66,43.4,46.9234,42.074,43.6046,UP,1
2001-03-30,43.1,43.5,46.8839,42.76,43.5816,DOWN,0
2001-04-02,42.55,43.1,46.8422,43.0,43.6126,UP,1
2001-04-03,42.6,43.15,46.8062,42.828,43.5896,DOWN,0
2001-04-04,42.3,42.0,46.7677,42.642,43.5407,UP,1
2001-04-05,43.96,43.1,46.7431,42.902,43.5186,DOWN,0
2001-04-06,43.78,43.15,46.7192,43.038,43.4742,DOWN,0
2001-04-09,42.19,43.3,46.6908,42.966,43.423,UP,1
2001-04-10,43.01,43.09,46.6658,43.048,43.3732,DOWN,0
2001-04-11,41.5,42.05,46.6377,42.888,43.2832,UP,1
2001-04-12,41.65,41.15,46.5981,42.426,43.1522,DOWN,0
2001-04-16,41.5,40.8,46.565,41.97,43.0092,UP,1
2001-04-17,41.91,41.5,46.5352,41.914,42.9096,UP,1
2001-04-18,45.61,42.75,46.5135,42.434,42.8896,UP,1
2001-04-19,46.08,45.0,46.4955,43.35,42.8982,UP,1
2001-04-20,46.21,45.84,46.4753,44.262,42.9068,DOWN,0
2001-04-23,46.19,46.21,46.45,45.2,42.9508,DOWN,0
2001-04-24,45.02,45.5,46.3976,45.822,42.9626,UP,1
2001-04-25,46.02,45.55,46.3402,45.904,42.9684,UP,1
2001-04-26,47.3,46.5,46.2886,46.148,42.9882,UP,1
2001-04-27,48.1,47.98,46.2422,46.526,43.0358,DOWN,0
2001-04-30,47.1,48.1,46.1968,46.708,43.0856,UP,1
2001-05-01,49.24,47.01,46.1608,47.552,43.2104,DOWN,0
2001-05-02,48.79,48.7,46.1203,48.106,43.3044,DOWN,0
2001-05-03,48.51,48.54,46.076,48.348,43.4556,UP,1
2001-05-04,49.59,47.75,46.0383,48.646,43.6474,DOWN,0
2001-05-07,49.09,49.59,45.9935,49.044,43.829,UP,1
2001-05-08,50.01,49.49,45.9579,49.198,43.9542,DOWN,0
2001-05-09,48.51,49.11,45.9205,49.142,44.0324,UP,1
2001-05-10,49.25,49.51,45.8917,49.29,44.1674,UP,1
2001-05-11,49.88,49.2,45.8733,49.348,44.335,DOWN,0
2001-05-14,49.15,49.88,45.8453,49.36,44.487,UP,1
2001-05-15,50.1,50.25,45.8324,49.378,44.6604,UP,1
2001-05-16,51.21,50.0,45.8297,49.918,44.8574,UP,1
2001-05-17,52.0,51.49,45.8297,50.468,45.0234,UP,1
2001-05-18,52.7,51.93,45.8275,51.032,45.183,UP,1
2001-05-21,53.38,52.7,45.8357,51.878,45.3602,DOWN,0
2001-05-22,52.99,52.9,45.8306,52.456,45.5788,DOWN,0
2001-05-23,52.62,52.85,45.8187,52.738,45.7772,UP,1
2001-05-24,53.45,52.5,45.801,53.028,46.0138,DOWN,0
2001-05-25,52.28,52.95,45.7724,52.944,46.1954,DOWN,0
2001-05-29,50.54,52.15,45.7495,52.376,46.361,DOWN,0
2001-05-30,49.99,51.25,45.7197,51.776,46.5108,DOWN,0
2001-05-31,49.29,50.1,45.6712,51.11,46.6576,DOWN,0
2001-06-01,49.26,49.0,45.65,50.272,46.8128,UP,1
2001-06-04,50.0,49.5,45.645,49.816,46.9976,UP,1
2001-06-05,50.35,50.35,45.6402,49.778,47.2112,DOWN,0
2001-06-06,49.51,49.95,45.6308,49.682,47.3744,UP,1
2001-06-07,50.71,49.35,45.63,49.966,47.5194,UP,1
2001-06-08,50.8,50.72,45.6281,50.274,47.6708,DOWN,0
2001-06-11,50.73,50.8,45.6248,50.42,47.8322,UP,1
2001-06-12,51.11,50.78,45.6282,50.572,47.9924,DOWN,0
2001-06-13,50.51,51.11,45.6283,50.772,48.1516,DOWN,0
2001-06-14,49.51,50.06,45.6258,50.532,48.2898,DOWN,0
2001-06-15,48.9,48.95,45.6219,50.152,48.4218,UP,1
2001-06-18,49.0,49.4,45.625,49.806,48.5226,UP,1
2001-06-19,49.49,49.9,45.6321,49.482,48.6368,DOWN,0
2001-06-20,49.24,49.49,45.6355,49.228,48.7778,UP,1
2001-06-21,50.78,49.74,45.6388,49.482,48.9332,DOWN,0
2001-06-22,50.71,50.8,45.6392,49.844,49.1174,DOWN,0
2001-06-25,49.0,49.75,45.6317,49.844,49.2644,DOWN,0
2001-06-26,47.15,48.1,45.6028,49.376,49.3774,DOWN,0
2001-06-27,46.85,46.9,45.5658,48.898,49.4762,UP,1
2001-06-28,47.0,47.2,45.5214,48.142,49.504,DOWN,0
2001-06-29,46.55,47.25,45.4804,47.31,49.5134,UP,1
2001-07-02,47.7,46.99,45.4414,47.05,49.5432,UP,1
2001-07-03,47.89,48.05,45.4096,47.198,49.5772,DOWN,0
