ticker,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-23,47.355,46.95,42.3201,46.742,44.4305,DOWN,0
2001-04-24,47.15,47.425,42.3459,46.847,44.5146,UP,1
2001-04-25,47.66,47.38,42.3742,47.033,44.6025,UP,1
2001-04-26,48.93,47.875,42.4014,47.544,44.7211,DOWN,0
2001-04-27,48.745,48.93,42.4309,47.968,44.8375,DOWN,0
2001-04-30,48.28,48.745,42.4624,48.153,44.9491,DOWN,0
2001-05-01,48.225,47.855,42.4942,48.368,45.0481,DOWN,0
2001-05-02,46.0,47.235,42.5175,48.036,45.1031,DOWN,0
2001-05-03,45.85,45.875,42.5432,47.42,45.1608,UP,1
2001-05-04,46.675,46.05,42.5717,47.006,45.2335,UP,1
2001-05-07,47.1,46.99,42.6072,46.77,45.3309,DOWN,0
2001-05-08,46.9,46.65,42.6454,46.505,45.4233,UP,1
2001-05-09,47.715,47.19,42.6906,46.848,45.5206,DOWN,0
2001-05-10,47.605,47.71,42.7353,47.199,45.6161,DOWN,0
2001-05-11,47.01,47.6,42.7771,47.266,45.6879,UP,1
2001-05-14,47.2,47.01,42.8108,47.286,45.7474,UP,1
2001-05-15,47.7,47.675,42.8478,47.446,45.7976,DOWN,0
2001-05-16,47.625,47.375,42.8885,47.428,45.8456,UP,1
2001-05-17,47.83,47.625,42.9304,47.473,45.8884,UP,1
2001-05-18,48.785,48.05,42.9748,47.828,45.9346,DOWN,0
2001-05-21,48.57,49.0,43.0177,48.102,45.9782,DOWN,0
2001-05-22,47.535,48.5,43.057,48.069,46.0078,DOWN,0
2001-05-23,47.09,47.66,43.0907,47.962,46.0434,UP,1
2001-05-24,47.15,47.35,43.1256,47.826,46.0911,DOWN,0
2001-05-25,47.09,47.475,43.1545,47.487,46.1459,UP,1
2001-05-29,47.775,48.0,43.1837,47.328,46.2264,UP,1
2001-05-30,47.92,47.995,43.2133,47.405,46.2942,UP,1
2001-05-31,48.025,47.5,43.2425,47.592,46.3484,UP,1
2001-06-01,48.19,48.25,43.2747,47.8,46.4154,UP,1
2001-06-04,49.015,48.475,43.3061,48.185,46.5207,DOWN,0
2001-06-05,48.85,48.89,43.3324,48.4,46.6307,DOWN,0
2001-06-06,48.08,48.275,43.3578,48.432,46.7279,DOWN,0
2001-06-07,48.005,48.075,43.3809,48.428,46.8097,UP,1
2001-06-08,48.22,48.245,43.4054,48.434,46.9081,UP,1
2001-06-11,48.75,48.5,43.427,48.381,47.0189,UP,1
2001-06-12,48.795,48.75,43.4555,48.37,47.1168,DOWN,0
