ticker,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-07-12,83.82,83.47,83.412,79.8416,69.4042,DOWN,0
2021-07-13,83.53,84.01,83.668,79.9548,69.5115,UP,1
2021-07-14,84.78,83.4,83.808,80.0824,69.6276,UP,1
2021-07-15,85.23,84.5,84.236,80.2126,69.7412,DOWN,0
2021-07-16,84.92,85.07,84.456,80.3498,69.8538,DOWN,0
2021-07-19,84.06,84.31,84.504,80.4638,69.962,UP,1
2021-07-20,86.1,84.45,85.018,80.622,70.0806,UP,1
2021-07-21,86.81,86.25,85.424,80.7932,70.1989,UP,1
2021-07-22,87.33,87.0,85.844,80.9874,70.3128,UP,1
2021-07-23,88.52,88.08,86.564,81.2352,70.4363,UP,1
2021-07-26,89.06,89.94,87.564,81.4734,70.5563,DOWN,0
2021-07-27,88.22,89.025,87.988,81.6602,70.6739,DOWN,0
2021-07-28,87.93,88.02,88.212,81.8386,70.7868,UP,1
2021-07-29,88.87,88.35,88.52,82.044,70.9027,UP,1
2021-07-30,89.55,88.84,88.726,82.2856,71.0248,UP,1
2021-08-02,89.93,89.68,88.9,82.537,71.1464,UP,1
2021-08-03,91.28,90.11,89.512,82.8112,71.2768,DOWN,0
2021-08-04,90.8,91.0,90.086,83.0646,71.4056,DOWN,0
2021-08-05,90.73,91.15,90.458,83.3254,71.5375,DOWN,0
2021-08-06,90.14,91.03,90.576,83.5728,71.6662,DOWN,0
2021-08-09,89.73,89.82,90.536,83.7932,71.7963,UP,1
2021-08-10,89.87,89.89,90.254,84.024,71.9294,UP,1
2021-08-11,90.43,89.91,90.18,84.2644,72.0643,DOWN,0
2021-08-12,90.2,90.43,90.074,84.503,72.1993,UP,1
2021-08-13,90.66,90.26,90.178,84.7334,72.3427,UP,1
2021-08-16,91.9,90.75,90.612,84.974,72.5073,DOWN,0
2021-08-17,90.74,91.43,90.786,85.1966,72.657,DOWN,0
2021-08-18,90.5,90.47,90.8,85.3896,72.8031,DOWN,0
2021-08-19,90.2,89.57,90.8,85.5786,72.9434,DOWN,0
2021-08-20,90.02,89.83,90.672,85.7706,73.08,DOWN,0
2021-08-23,89.92,90.54,90.276,85.9582,73.2181,UP,1
2021-08-24,90.37,89.86,90.202,86.1496,73.3568,UP,1
2021-08-25,91.13,90.77,90.328,86.3524,73.4945,UP,1
2021-08-26,91.81,90.92,90.65,86.576,73.6361,UP,1
2021-08-27,92.01,92.11,91.048,86.8068,73.7674,UP,1
2021-08-30,92.37,92.01,91.538,87.0642,73.8987,DOWN,0
2021-08-31,92.22,92.37,91.908,87.2878,74.0298,DOWN,0
2021-09-01,91.5,92.19,91.982,87.4904,74.1595,UP,1
2021-09-02,92.06,91.9,92.032,87.7152,74.2828,DOWN,0
2021-09-03,91.82,91.89,91.994,87.9242,74.4059,DOWN,0
2021-09-07,89.38,91.57,91.396,88.0788,74.5197,UP,1
2021-09-08,90.72,89.13,91.096,88.26,74.6425,DOWN,0
2021-09-09,90.48,90.84,90.892,88.428,74.7633,UP,1
2021-09-10,90.55,91.03,90.59,88.6036,74.8798,DOWN,0
2021-09-13,89.95,91.33,90.216,88.761,74.9925,UP,1
2021-09-14,90.36,90.21,90.412,88.915,75.1074,DOWN,0
2021-09-15,90.35,90.58,90.338,89.077,75.2225,DOWN,0
2021-09-16,88.2,90.35,89.882,89.1594,75.3288,DOWN,0
2021-09-17,85.02,87.26,88.776,89.198,75.4197,DOWN,0
2021-09-20,83.18,84.0,87.422,89.1852,75.5072,DOWN,0
2021-09-21,82.0,83.32,85.75,89.1488,75.5897,UP,1
2021-09-22,84.29,83.86,84.538,89.164,75.6854,UP,1
2021-09-23,85.74,84.53,84.046,89.1832,75.7898,DOWN,0
2021-09-24,84.86,85.42,84.014,89.1758,75.8836,DOWN,0
2021-09-27,84.23,84.55,84.224,89.162,75.9773,DOWN,0
2021-09-28,83.71,83.57,84.566,89.155,76.0758,DOWN,0
2021-09-29,83.32,83.9,84.372,89.0994,76.1738,DOWN,0
2021-09-30,82.28,83.88,83.68,89.0088,76.2713,UP,1
2021-10-01,82.5,82.66,83.208,88.9122,76.3601,DOWN,0
2021-10-04,81.91,82.11,82.744,88.78,76.4435,UP,1
2021-10-05,83.36,82.28,82.674,88.666,76.5313,DOWN,0
2021-10-06,82.87,82.79,82.584,88.559,76.6176,UP,1
2021-10-07,84.38,83.94,83.004,88.488,76.7088,DOWN,0
2021-10-08,83.45,83.91,83.194,88.3796,76.799,DOWN,0
2021-10-11,81.62,83.23,83.136,88.221,76.8789,UP,1
2021-10-12,81.94,81.81,82.852,88.0612,76.9597,DOWN,0
2021-10-13,81.28,82.24,82.534,87.8612,77.0361,UP,1
2021-10-14,83.41,81.96,82.34,87.7134,77.1247,UP,1
2021-10-15,84.1,83.92,82.47,87.5808,77.2116,DOWN,0
2021-10-18,83.32,83.66,82.81,87.4444,77.2904,UP,1
2021-10-19,84.42,84.0,83.306,87.3382,77.3846,UP,1
2021-10-20,85.46,84.63,84.142,87.25,77.4864,DOWN,0
2021-10-21,85.35,84.18,84.53,87.1484,77.5786,UP,1
2021-10-22,85.63,85.86,84.836,87.057,77.6678,DOWN,0
2021-10-25,81.86,81.09,84.544,86.881,77.743,DOWN,0
