ticker,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2011-03-18,43.78,43.86,43.0409,44.2,44.042,UP,1
2011-03-21,44.49,44.32,43.0683,44.066,44.068,DOWN,0
2011-03-22,44.43,44.62,43.0938,44.006,44.092,DOWN,0
2011-03-23,44.08,44.25,43.1134,44.078,44.1248,UP,1
2011-03-24,44.41,44.37,43.1359,44.238,44.1664,UP,1
2011-03-25,44.54,44.5,43.1545,44.39,44.212,DOWN,0
2011-03-28,44.23,44.51,43.1727,44.338,44.2444,UP,1
2011-03-29,44.55,44.23,43.193,44.362,44.2758,UP,1
2011-03-30,45.17,44.74,43.2125,44.58,44.3196,DOWN,0
2011-03-31,44.7,45.05,43.2276,44.638,44.3542,DOWN,0
2011-04-01,44.7,44.74,43.2419,44.67,44.3808,UP,1
2011-04-04,44.92,44.8,43.2565,44.808,44.4122,DOWN,0
2011-04-05,44.77,44.8,43.2712,44.852,44.436,UP,1
2011-04-06,45.03,44.84,43.2921,44.824,44.4652,DOWN,0
2011-04-07,44.95,44.96,43.3157,44.874,44.4932,DOWN,0
2011-04-08,44.82,45.26,43.339,44.898,44.5138,DOWN,0
2011-04-11,43.98,44.8,43.3581,44.71,44.5256,DOWN,0
2011-04-12,43.6,43.96,43.3732,44.476,44.5268,DOWN,0
2011-04-13,43.55,43.88,43.3946,44.18,44.5222,UP,1
2011-04-14,44.03,43.34,43.4211,43.996,44.5326,UP,1
2011-04-15,44.47,44.05,43.4485,43.926,44.5482,DOWN,0
2011-04-18,44.1,44.12,43.4757,43.95,44.558,UP,1
2011-04-19,44.31,44.03,43.5015,44.092,44.5758,UP,1
2011-04-20,44.48,44.62,43.523,44.278,44.5946,UP,1
2011-04-21,44.75,44.58,43.543,44.422,44.6188,UP,1
2011-04-25,45.09,44.86,43.564,44.546,44.6426,UP,1
2011-04-26,45.75,45.33,43.5878,44.876,44.6752,UP,1
2011-04-27,46.06,45.84,43.6126,45.226,44.7228,UP,1
2011-04-28,46.33,46.04,43.637,45.596,44.7746,UP,1
2011-04-29,46.42,46.3,43.6628,45.93,44.8212,UP,1
2011-05-02,46.54,46.5,43.6933,46.22,44.8684,UP,1
2011-05-03,46.73,46.54,43.72,46.416,44.9156,UP,1
2011-05-04,47.02,46.72,43.7453,46.608,44.9702,DOWN,0
2011-05-05,46.54,46.92,43.7717,46.65,45.0082,UP,1
2011-05-06,46.92,47.08,43.7952,46.75,45.0518,UP,1
2011-05-09,47.01,46.91,43.8182,46.844,45.092,UP,1
2011-05-10,47.64,47.16,43.8434,47.026,45.1322,UP,1
2011-05-11,47.65,47.55,43.8653,47.152,45.1738,UP,1
2011-05-12,48.15,47.7,43.8911,47.474,45.241,DOWN,0
2011-05-13,47.99,48.23,43.9226,47.688,45.2902,DOWN,0
2011-05-16,47.87,47.87,43.952,47.86,45.3368,UP,1
2011-05-17,48.33,47.83,43.9777,47.998,45.395,DOWN,0
2011-05-18,47.97,48.35,44.0019,48.062,45.4316,UP,1
2011-05-19,48.2,48.04,44.0254,48.072,45.4688,UP,1
2011-05-20,48.28,48.14,44.0491,48.13,45.5212,DOWN,0
2011-05-23,47.94,47.86,44.0704,48.144,45.5698,DOWN,0
2011-05-24,47.91,48.1,44.0898,48.06,45.6248,DOWN,0
2011-05-25,47.18,47.4,44.1048,47.902,45.6738,UP,1
2011-05-26,47.34,47.07,44.123,47.73,45.7462,DOWN,0
2011-05-27,47.23,47.5,44.1401,47.52,45.8186,UP,1
2011-05-31,47.72,47.5,44.1592,47.476,45.8974,DOWN,0
2011-06-01,47.12,47.69,44.1746,47.318,45.95,UP,1
2011-06-02,47.27,47.14,44.1874,47.336,46.0068,DOWN,0
2011-06-03,47.15,46.8,44.2026,47.298,46.0682,DOWN,0
2011-06-06,46.9,47.12,44.2188,47.232,46.118,UP,1
2011-06-07,47.4,47.03,44.2361,47.168,46.1752,UP,1
2011-06-08,47.69,47.38,44.2528,47.282,46.2444,UP,1
2011-06-09,47.98,47.72,44.2707,47.424,46.313,DOWN,0
2011-06-10,47.53,48.0,44.2926,47.5,46.3602,UP,1
2011-06-13,47.83,47.67,44.3179,47.686,46.4228,DOWN,0
2011-06-14,47.69,48.06,44.3393,47.744,46.4826,DOWN,0
2011-06-15,47.1,47.51,44.3613,47.626,46.5262,UP,1
2011-06-16,47.26,47.11,44.384,47.482,46.576,UP,1
2011-06-17,47.66,47.47,44.403,47.508,46.6286,UP,1
2011-06-20,48.16,47.5,44.4259,47.574,46.6928,UP,1
2011-06-21,48.23,48.38,44.4471,47.682,46.761,DOWN,0
2011-06-22,47.76,48.04,44.4668,47.814,46.8366,DOWN,0
2011-06-23,47.14,47.08,44.4838,47.79,46.9074,UP,1
2011-06-24,47.25,47.26,44.5004,47.708,46.9814,UP,1
2011-06-27,47.7,47.4,44.5224,47.616,47.0548,UP,1
2011-06-28,47.8,47.77,44.5418,47.53,47.1214,UP,1
2011-06-29,48.1,47.98,44.5622,47.598,47.2014,UP,1
2011-06-30,48.27,48.28,44.5861,47.824,47.2806,UP,1
2011-07-01,48.99,48.38,44.6131,48.172,47.3708,DOWN,0
