ticker,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-10,26.075,26.75,23.7277,25.776,25.6845,DOWN,0
2001-04-11,25.225,25.95,23.7532,25.807,25.724,UP,1
2001-04-12,26.0,25.22,23.7824,25.842,25.792,UP,1
2001-04-16,26.015,26.375,23.8077,25.902,25.8623,UP,1
2001-04-17,26.9,25.65,23.8322,26.043,25.948,UP,1
2001-04-18,27.525,27.75,23.8604,26.333,26.0347,UP,1
2001-04-19,28.425,28.05,23.8925,26.973,26.1417,DOWN,0
2001-04-20,28.295,28.43,23.9229,27.432,26.2326,DOWN,0
2001-04-23,27.83,27.95,23.9444,27.795,26.3131,UP,1
2001-04-24,28.47,27.95,23.9678,28.109,26.4055,UP,1
2001-04-25,29.125,28.8,23.9938,28.429,26.4883,DOWN,0
2001-04-26,29.115,29.12,24.0198,28.567,26.5736,UP,1
2001-04-27,29.575,29.4,24.0541,28.823,26.6676,UP,1
2001-04-30,29.645,29.7,24.0901,29.186,26.7635,DOWN,0
2001-05-01,29.22,29.64,24.1237,29.336,26.8479,UP,1
2001-05-02,29.35,29.22,24.1575,29.381,26.9326,DOWN,0
2001-05-03,29.0,29.35,24.1887,29.358,26.9944,DOWN,0
2001-05-04,28.925,28.15,24.2218,29.228,27.0374,DOWN,0
2001-05-07,28.845,28.8,24.256,29.068,27.0749,DOWN,0
2001-05-08,28.835,28.75,24.2836,28.991,27.0991,DOWN,0
2001-05-09,28.455,28.45,24.3085,28.812,27.1163,DOWN,0
2001-05-10,28.16,28.65,24.3363,28.644,27.118,DOWN,0
2001-05-11,28.085,28.15,24.3564,28.476,27.1097,DOWN,0
2001-05-14,28.005,28.0,24.3788,28.308,27.1107,UP,1
2001-05-15,28.475,28.05,24.4079,28.236,27.1202,UP,1
2001-05-16,28.92,28.425,24.4451,28.329,27.1491,UP,1
2001-05-17,29.34,29.0,24.4818,28.565,27.197,DOWN,0
2001-05-18,29.01,29.7,24.5161,28.75,27.221,UP,1
2001-05-21,29.275,29.05,24.5475,29.004,27.2501,DOWN,0
2001-05-22,28.78,29.35,24.5765,29.065,27.2977,DOWN,0
2001-05-23,28.66,28.8,24.6042,29.013,27.3431,UP,1
2001-05-24,28.775,28.7,24.6328,28.9,27.396,DOWN,0
2001-05-25,28.655,28.875,24.6632,28.829,27.4391,DOWN,0
2001-05-29,28.495,28.65,24.6905,28.673,27.4813,UP,1
2001-05-30,28.58,28.45,24.7171,28.633,27.5292,UP,1
2001-05-31,28.725,28.65,24.7458,28.646,27.5867,UP,1
2001-06-01,28.985,28.65,24.7762,28.688,27.6524,DOWN,0
2001-06-04,28.92,29.2,24.8051,28.741,27.7508,DOWN,0
2001-06-05,28.8,28.925,24.8358,28.802,27.8298,DOWN,0
2001-06-06,28.67,28.75,24.8669,28.82,27.8835,UP,1
2001-06-07,28.69,28.63,24.8964,28.813,27.9273,DOWN,0
2001-06-08,28.3,28.375,24.9263,28.676,27.9739,DOWN,0
2001-06-11,27.635,28.305,24.9529,28.419,28.0046,DOWN,0
2001-06-12,27.22,27.45,24.9808,28.103,28.0265,DOWN,0
2001-06-13,27.115,27.125,25.0067,27.792,28.0567,UP,1
2001-06-14,27.15,27.115,25.0305,27.484,28.1016,UP,1
2001-06-15,27.36,27.15,25.0592,27.296,28.1474,DOWN,0
