ticker,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-05-09,4.675,4.645,5.3101,4.705,5.1892,DOWN,0
2001-05-10,4.6525,4.6875,5.3093,4.688,5.1632,UP,1
2001-05-11,4.7275,4.69,5.3093,4.684,5.1389,UP,1
2001-05-14,4.83,4.725,5.3109,4.7065,5.1167,UP,1
2001-05-15,4.885,4.78,5.3122,4.754,5.0977,UP,1
2001-05-16,5.005,4.86,5.3138,4.82,5.0809,UP,1
2001-05-17,5.1825,5.0,5.316,4.926,5.0691,DOWN,0
2001-05-18,5.175,5.1825,5.3174,5.0155,5.0537,UP,1
2001-05-21,5.275,5.165,5.3187,5.1045,5.0414,UP,1
2001-05-22,5.3,5.29,5.3191,5.1875,5.035,DOWN,0
2001-05-23,5.0225,5.275,5.3175,5.191,5.0236,UP,1
2001-05-24,5.095,5.01,5.3162,5.1735,5.0174,UP,1
2001-05-25,5.0975,5.1025,5.3148,5.158,5.0101,DOWN,0
2001-05-29,4.9675,5.1,5.3128,5.0965,4.9999,UP,1
