ticker,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-12-19,83.52,84.33,85.07,87.1046,94.969,UP,1
2018-12-20,85.37,82.99,84.602,86.9206,94.8223,DOWN,0
2018-12-21,84.92,84.63,84.464,86.7574,94.6618,DOWN,0
2018-12-24,84.16,84.85,84.31,86.6266,94.4862,UP,1
2018-12-26,89.04,84.74,85.402,86.5936,94.3399,UP,1
2018-12-27,89.91,87.95,86.68,86.6082,94.1907,UP,1
2018-12-28,91.12,90.09,87.83,86.5924,94.0516,UP,1
2018-12-31,92.19,91.6,89.284,86.5908,93.9379,DOWN,0
2019-01-02,89.23,91.24,90.298,86.5774,93.8155,DOWN,0
2019-01-03,86.29,88.64,89.748,86.5438,93.6868,UP,1
2019-01-04,89.07,87.75,89.58,86.6398,93.5689,UP,1
2019-01-07,90.37,90.07,89.43,86.788,93.4585,UP,1
2019-01-08,90.79,91.2,89.15,87.0156,93.4219,DOWN,0
2019-01-09,87.81,90.88,88.866,87.1372,93.3737,UP,1
2019-01-10,88.2,87.88,89.248,87.2854,93.3383,UP,1
2019-01-11,88.31,87.54,89.096,87.4244,93.3198,DOWN,0
2019-01-14,84.76,86.97,87.974,87.4878,93.2722,UP,1
2019-01-15,85.5,84.93,86.916,87.6408,93.2265,UP,1
2019-01-16,85.55,85.66,86.464,87.7476,93.1969,UP,1
2019-01-17,87.2,85.54,86.264,87.9004,93.18,UP,1
2019-01-18,89.5,88.45,86.502,88.0388,93.1628,DOWN,0
2019-01-22,88.66,88.86,87.282,88.1388,93.145,DOWN,0
2019-01-23,88.45,88.8375,87.872,88.1686,93.1384,DOWN,0
2019-01-24,85.88,88.33,87.938,88.1316,93.1154,DOWN,0
2019-01-25,80.54,82.51,86.606,87.9666,93.05,DOWN,0
2019-01-28,77.14,80.0,84.134,87.7156,92.9675,UP,1
2019-01-29,77.47,77.025,81.896,87.5006,92.8942,UP,1
2019-01-30,79.06,77.69,80.018,87.3156,92.8304,UP,1
2019-01-31,80.29,78.95,78.9,87.1186,92.7688,UP,1
2019-02-01,80.5,80.25,78.892,86.898,92.7034,DOWN,0
2019-02-04,78.53,80.3,79.17,86.679,92.6244,UP,1
2019-02-05,79.69,78.56,79.614,86.511,92.5578,DOWN,0
2019-02-06,79.08,79.6,79.618,86.3696,92.4902,UP,1
2019-02-07,79.17,78.35,79.394,86.2404,92.4202,UP,1
2019-02-08,79.67,79.03,79.228,86.109,92.3618,UP,1
2019-02-11,79.77,79.89,79.476,85.9508,92.3013,UP,1
2019-02-12,79.93,79.99,79.524,85.7706,92.2137,UP,1
2019-02-13,80.79,80.34,79.866,85.5882,92.124,DOWN,0
2019-02-14,80.52,80.45,80.136,85.3132,92.0439,UP,1
2019-02-15,80.85,81.13,80.372,85.057,91.9378,DOWN,0
2019-02-19,80.52,80.5,80.522,84.8564,91.8385,DOWN,0
2019-02-20,79.99,80.53,80.534,84.6496,91.7371,DOWN,0
2019-02-21,78.75,79.74,80.126,84.4854,91.63,UP,1
2019-02-22,80.02,79.16,80.026,84.3336,91.5319,UP,1
2019-02-25,80.29,80.46,79.914,84.176,91.4364,UP,1
2019-02-26,80.51,80.2,79.912,84.0142,91.333,DOWN,0
2019-02-27,79.41,80.14,79.796,83.8482,91.2158,DOWN,0
2019-02-28,79.24,79.46,79.894,83.7208,91.0911,UP,1
2019-03-01,80.1,79.77,79.91,83.6242,90.9622,DOWN,0
2019-03-04,79.46,80.4,79.744,83.5418,90.8386,DOWN,0
2019-03-05,78.91,79.38,79.424,83.4496,90.7079,DOWN,0
2019-03-06,78.09,79.13,79.16,83.304,90.5718,UP,1
2019-03-07,78.24,77.77,78.96,83.1704,90.4331,DOWN,0
2019-03-08,77.58,77.67,78.456,83.0388,90.2898,UP,1
2019-03-11,78.08,77.57,78.18,82.8196,90.1491,UP,1
2019-03-12,78.74,78.48,78.146,82.5962,90.0148,UP,1
2019-03-13,78.93,78.92,78.314,82.3524,89.8937,UP,1
2019-03-14,79.95,79.0,78.656,82.1076,89.7881,UP,1
2019-03-15,81.34,80.06,79.408,81.9498,89.6974,DOWN,0
2019-03-18,80.65,81.34,79.922,81.837,89.5856,UP,1
2019-03-19,80.82,80.33,80.338,81.672,89.495,DOWN,0
2019-03-20,80.43,80.72,80.638,81.4732,89.4069,UP,1
2019-03-21,81.24,79.88,80.896,81.2822,89.3176,DOWN,0
2019-03-22,79.76,80.78,80.58,81.1212,89.2202,DOWN,0
2019-03-25,79.51,79.5,80.352,80.9474,89.1179,UP,1
2019-03-26,80.76,79.85,80.34,80.7964,89.0251,DOWN,0
2019-03-27,79.89,81.0,80.232,80.699,88.9224,UP,1
2019-03-28,79.96,80.33,79.976,80.5882,88.8233,UP,1
2019-03-29,80.59,80.08,80.142,80.489,88.7317,UP,1
2019-04-01,80.78,80.98,80.396,80.3606,88.6477,UP,1
2019-04-02,83.07,80.89,80.858,80.232,88.5693,UP,1
2019-04-03,83.08,83.62,81.496,80.1204,88.4869,DOWN,0
2019-04-04,82.81,83.04,82.066,80.0076,88.4085,UP,1
2019-04-05,83.45,82.82,82.638,79.959,88.3357,UP,1
2019-04-08,83.98,83.7,83.278,80.0278,88.2644,DOWN,0
2019-04-09,82.69,83.77,83.202,80.1388,88.2001,UP,1
2019-04-10,82.95,83.2,83.176,80.2484,88.1474,DOWN,0
2019-04-11,81.77,83.2,82.968,80.3026,88.091,DOWN,0
2019-04-12,80.78,80.67,82.434,80.3124,88.0343,UP,1
2019-04-15,81.03,80.96,81.844,80.323,87.9819,DOWN,0
2019-04-16,80.21,81.11,81.348,80.3566,87.9208,DOWN,0
2019-04-17,77.98,80.1,80.354,80.3224,87.8474,DOWN,0
2019-04-18,77.57,78.06,79.514,80.2922,87.7697,UP,1
2019-04-22,78.15,77.6,78.988,80.2718,87.6924,UP,1
2019-04-23,78.66,78.15,78.514,80.2516,87.6133,UP,1
2019-04-24,78.67,79.23,78.206,80.2296,87.5221,UP,1
2019-04-25,79.34,80.05,78.478,80.2178,87.4336,UP,1
2019-04-26,79.7,79.67,78.904,80.196,87.3379,UP,1
2019-04-29,80.3,80.46,79.334,80.1916,87.2646,DOWN,0
2019-04-30,79.39,80.68,79.48,80.1624,87.1835,DOWN,0
2019-05-01,78.89,79.6,79.524,80.1298,87.0948,DOWN,0
