ticker,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-06-11,8.8356,8.8326,8.7087,8.8924,8.9452,DOWN,0
2007-06-12,8.6726,8.7644,8.7062,8.8006,8.9479,UP,1
2007-06-13,8.8148,8.6993,8.7055,8.771,8.9528,UP,1
2007-06-14,9.0163,8.8385,8.7062,8.8427,8.9596,UP,1
2007-06-15,9.1763,9.1259,8.7053,8.9031,8.9745,DOWN,0
2007-06-18,8.9185,9.1437,8.7021,8.9197,8.9816,DOWN,0
2007-06-19,8.9067,8.8622,8.7,8.9665,8.9883,DOWN,0
2007-06-20,8.7881,8.9481,8.6966,8.9612,8.9928,UP,1
2007-06-21,8.8919,8.7437,8.6942,8.9363,9.0037,DOWN,0
2007-06-22,8.7763,8.8267,8.6919,8.8563,9.0068,UP,1
2007-06-25,8.963,8.7763,8.6924,8.8652,9.0154,DOWN,0
2007-06-26,8.8504,8.9896,8.6922,8.8539,9.0161,UP,1
2007-06-27,9.1793,8.7941,8.694,8.9321,9.021,DOWN,0
2007-06-28,8.9956,9.1081,8.6933,8.9529,9.0229,DOWN,0
2007-06-29,8.9333,9.0281,8.6905,8.9843,9.0203,UP,1
2007-07-02,9.1141,8.9926,8.6877,9.0145,9.0136,UP,1
2007-07-03,9.2059,9.1259,8.6874,9.0856,9.0082,DOWN,0
2007-07-05,9.1348,9.1496,8.6879,9.0767,8.9993,UP,1
2007-07-06,9.2385,9.117,8.6892,9.1253,8.9873,UP,1
2007-07-09,9.2563,9.2474,8.6895,9.1899,8.9875,DOWN,0
2007-07-10,9.0015,9.2593,8.6877,9.1674,8.9863,UP,1
2007-07-11,9.1852,8.9807,8.6878,9.1633,8.9948,UP,1
2007-07-12,9.3481,9.2444,8.6894,9.2059,9.0117,DOWN,0
2007-07-13,9.3363,9.3067,8.6913,9.2255,9.0226,UP,1
2007-07-16,9.4489,9.6059,8.6924,9.264,9.0325,DOWN,0
2007-07-17,9.3541,9.4815,8.694,9.3345,9.0401,DOWN,0
2007-07-18,9.3274,9.283,8.6951,9.363,9.0487,UP,1
2007-07-19,9.3363,9.3778,8.6973,9.3606,9.0543,DOWN,0
2007-07-20,9.0844,9.3096,8.6994,9.3102,9.0558,DOWN,0
2007-07-23,8.4741,8.9422,8.6976,9.1153,9.0492,DOWN,0
2007-07-24,8.0385,8.4415,8.6907,8.8521,9.0328,UP,1
2007-07-25,8.1481,8.08,8.6829,8.6163,9.0221,UP,1
2007-07-26,8.3111,8.1185,8.6765,8.4113,9.0131,UP,1
2007-07-27,8.4296,8.4474,8.6698,8.2803,9.0019,UP,1
2007-07-30,8.5452,8.4385,8.6626,8.2945,8.9932,UP,1
2007-07-31,8.5511,8.643,8.6568,8.397,8.9807,UP,1
2007-08-01,8.5956,8.5126,8.6508,8.4865,8.9675,UP,1
2007-08-02,8.72,8.6252,8.6458,8.5683,8.9554,DOWN,0
2007-08-03,8.3496,8.7141,8.6376,8.5523,8.9361,UP,1
2007-08-06,8.5896,8.3585,8.6331,8.5612,8.9268,UP,1
2007-08-07,8.6311,8.5126,8.6314,8.5772,8.9196,UP,1
2007-08-08,8.9896,8.723,8.6301,8.656,8.9197,DOWN,0
2007-08-09,8.7556,8.8385,8.6281,8.6631,8.9105,UP,1
2007-08-10,8.7644,8.7141,8.6272,8.7461,8.9007,DOWN,0
2007-08-13,8.4444,8.7911,8.6244,8.717,8.8845,DOWN,0
