ticker,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-05-18,53.47,53.73,51.37,53.286,53.7924,UP,1
2007-05-21,53.5,53.44,51.3947,53.42,53.8024,UP,1
2007-05-22,53.89,53.58,51.4253,53.662,53.8148,UP,1
2007-05-23,53.93,53.89,51.4521,53.688,53.8334,UP,1
2007-05-24,54.21,53.79,51.4807,53.8,53.8502,UP,1
2007-05-25,54.41,54.6,51.5057,53.988,53.8574,UP,1
2007-05-29,54.57,54.4,51.5336,54.202,53.8862,DOWN,0
2007-05-30,54.57,54.39,51.5695,54.338,53.8916,UP,1
2007-05-31,54.77,54.75,51.6055,54.506,53.905,UP,1
2007-06-01,55.21,54.94,51.6432,54.706,53.9086,DOWN,0
2007-06-04,55.2,54.9,51.6786,54.864,53.8988,DOWN,0
2007-06-05,54.7,54.95,51.7114,54.89,53.8626,DOWN,0
2007-06-06,53.97,54.31,51.736,54.77,53.8044,DOWN,0
2007-06-07,53.36,53.07,51.7553,54.488,53.7546,UP,1
2007-06-08,53.67,53.54,51.7759,54.18,53.7318,DOWN,0
2007-06-11,53.19,53.7,51.7936,53.778,53.7388,DOWN,0
2007-06-12,52.99,53.3,51.8104,53.436,53.7392,UP,1
2007-06-13,53.11,53.26,51.8201,53.264,53.7268,DOWN,0
2007-06-14,52.95,53.2,51.8305,53.182,53.6936,DOWN,0
2007-06-15,52.9,53.12,51.8384,53.028,53.6504,DOWN,0
2007-06-18,52.87,52.81,51.8476,52.964,53.6012,DOWN,0
2007-06-19,52.74,52.69,51.8525,52.914,53.5584,DOWN,0
2007-06-20,51.5,52.79,51.8502,52.592,53.5036,UP,1
2007-06-21,51.77,51.6,51.8501,52.356,53.4762,DOWN,0
2007-06-22,51.3,51.68,51.8531,52.036,53.4398,UP,1
2007-06-25,51.5,51.55,51.8585,51.762,53.4108,UP,1
2007-06-26,51.79,51.79,51.8664,51.572,53.3696,DOWN,0
2007-06-27,51.75,51.14,51.8707,51.622,53.3122,UP,1
2007-06-28,52.1,51.53,51.8732,51.688,53.27,DOWN,0
2007-06-29,51.14,52.5,51.8662,51.656,53.2518,UP,1
2007-07-02,52.22,51.59,51.8671,51.8,53.2322,DOWN,0
2007-07-03,52.14,52.22,51.8687,51.87,53.196,UP,1
2007-07-05,52.45,52.14,51.8699,52.01,53.1604,UP,1
2007-07-06,53.02,52.53,51.8746,52.194,53.162,DOWN,0
2007-07-09,51.97,53.0,51.8751,52.36,53.1472,DOWN,0
2007-07-10,51.55,51.75,51.8751,52.226,53.1152,DOWN,0
2007-07-11,51.41,51.43,51.8807,52.08,53.0822,UP,1
2007-07-12,53.09,51.38,51.9013,52.208,53.089,DOWN,0
2007-07-13,52.98,53.0,51.9221,52.2,53.0728,DOWN,0
2007-07-16,52.95,53.9,51.9438,52.396,53.068,UP,1
2007-07-17,53.0,52.66,51.9634,52.686,53.0566,UP,1
2007-07-18,53.58,54.01,51.984,53.12,53.0632,DOWN,0
2007-07-19,51.89,51.95,51.9974,52.88,53.0388,DOWN,0
2007-07-20,51.32,51.67,52.0069,52.548,53.0034,DOWN,0
2007-07-23,51.17,51.5,52.0148,52.192,52.9664,DOWN,0
2007-07-24,51.0,51.17,52.022,51.792,52.9146,UP,1
2007-07-25,51.21,50.99,52.0247,51.318,52.8822,DOWN,0
2007-07-26,50.21,50.51,52.0183,50.982,52.8328,DOWN,0
2007-07-27,49.13,49.91,52.0103,50.544,52.7394,DOWN,0
2007-07-30,48.94,49.4,52.0068,50.098,52.6452,DOWN,0
2007-07-31,48.43,49.16,51.9984,49.584,52.5444,DOWN,0
2007-08-01,47.99,48.24,51.9903,48.94,52.4342,UP,1
2007-08-02,48.36,47.5,51.9883,48.57,52.3236,DOWN,0
2007-08-03,47.5,49.25,51.9881,48.244,52.195,UP,1
2007-08-06,48.5,47.75,51.997,48.156,52.0808,DOWN,0
2007-08-07,47.99,48.36,51.9969,48.068,51.9524,DOWN,0
2007-08-08,47.57,48.3,51.9815,47.984,51.8124,DOWN,0
2007-08-09,46.33,47.79,51.9597,47.578,51.6476,UP,1
2007-08-10,47.48,46.4,51.9439,47.574,51.5018,UP,1
2007-08-13,49.04,47.85,51.9399,47.682,51.3784,DOWN,0
2007-08-14,48.48,49.29,51.9391,47.78,51.244,UP,1
2007-08-15,49.12,48.85,51.9379,48.09,51.1324,DOWN,0
2007-08-16,48.86,48.6,51.9351,48.596,51.0302,UP,1
2007-08-17,49.8,49.44,51.939,49.06,50.959,DOWN,0
2007-08-20,49.55,50.12,51.9428,49.162,50.8766,UP,1
2007-08-21,49.56,49.55,51.9491,49.378,50.804,DOWN,0
2007-08-22,48.65,49.0,51.9493,49.284,50.7172,DOWN,0
2007-08-23,48.62,48.9,51.9532,49.236,50.6274,UP,1
2007-08-24,49.61,48.4,51.9592,49.198,50.5606,DOWN,0
2007-08-27,49.19,49.42,51.9573,49.126,50.4864,DOWN,0
2007-08-28,48.63,49.36,51.9605,48.94,50.4016,UP,1
2007-08-29,48.69,48.81,51.9776,48.948,50.3206,UP,1
2007-08-30,49.05,48.69,51.9923,49.034,50.2716,UP,1
2007-08-31,50.01,49.3,52.0086,49.114,50.2364,UP,1
2007-09-04,50.19,50.11,52.0223,49.314,50.2142,DOWN,0
2007-09-05,49.29,49.86,52.029,49.446,50.17,UP,1
2007-09-06,49.6,49.03,52.0389,49.628,50.1262,DOWN,0
2007-09-07,49.19,49.15,52.0486,49.656,50.075,DOWN,0
2007-09-10,49.12,49.34,52.0601,49.478,50.0154,UP,1
2007-09-11,49.57,49.42,52.0763,49.354,49.984,DOWN,0
2007-09-12,49.47,49.53,52.0909,49.39,49.929,UP,1
2007-09-13,49.55,49.65,52.1051,49.38,49.8772,UP,1
2007-09-14,49.91,49.28,52.1237,49.524,49.8264,UP,1
2007-09-17,49.95,49.73,52.1368,49.69,49.765,UP,1
2007-09-18,50.1,50.11,52.1495,49.796,49.7276,DOWN,0
2007-09-19,49.84,50.25,52.1533,49.87,49.6934,DOWN,0
2007-09-20,49.81,49.8,52.1582,49.922,49.6614,UP,1
2007-09-21,49.91,50.17,52.1632,49.922,49.5978,DOWN,0
2007-09-24,49.56,50.0,52.1666,49.844,49.5294,DOWN,0
2007-09-25,49.48,49.53,52.1689,49.72,49.46,DOWN,0
2007-09-26,49.31,49.52,52.168,49.614,49.3862,DOWN,0
2007-09-27,49.26,49.45,52.1648,49.504,49.2998,DOWN,0
2007-09-28,48.43,49.02,52.1565,49.208,49.2306,DOWN,0
2007-10-01,48.14,48.87,52.147,48.924,49.167,DOWN,0
2007-10-02,47.89,48.2,52.1379,48.606,49.1014,DOWN,0
2007-10-03,47.05,47.8,52.1246,48.154,49.0224,UP,1
2007-10-04,47.38,47.42,52.1111,47.778,48.9458,UP,1
2007-10-05,47.7,47.44,52.0976,47.632,48.8956,UP,1
2007-10-08,47.81,47.7,52.075,47.566,48.8692,UP,1
2007-10-09,48.49,47.79,52.0496,47.686,48.8602,UP,1
2007-10-10,49.33,48.48,52.0266,48.142,48.8782,UP,1
2007-10-11,49.34,49.54,52.0061,48.534,48.9052,UP,1
2007-10-12,49.69,49.24,51.9884,48.932,48.9318,DOWN,0
2007-10-15,48.93,49.75,51.9661,49.156,48.9604,DOWN,0
2007-10-16,48.5,48.91,51.9403,49.158,48.9604,UP,1
2007-10-17,48.6,48.49,51.9147,49.012,48.9726,DOWN,0
2007-10-18,48.1,49.0,51.8923,48.764,48.9832,DOWN,0
2007-10-19,47.45,47.74,51.865,48.316,49.0056,UP,1
2007-10-22,48.13,47.24,51.8429,48.156,49.0186,UP,1
2007-10-23,48.84,48.18,51.8206,48.224,49.0146,DOWN,0
2007-10-24,48.47,49.25,51.7995,48.198,49.0144,UP,1
2007-10-25,48.53,48.47,51.778,48.284,49.0026,DOWN,0
2007-10-26,47.99,48.62,51.7457,48.392,48.9852,DOWN,0
2007-10-29,47.95,48.23,51.7099,48.356,48.9482,DOWN,0
2007-10-30,47.9,47.77,51.6707,48.168,48.9152,UP,1
2007-10-31,49.15,48.55,51.6382,48.304,48.907,DOWN,0
2007-11-01,48.55,48.82,51.6119,48.308,48.905,UP,1
2007-11-02,48.94,48.29,51.5906,48.498,48.9114,UP,1
2007-11-05,49.12,48.5,51.5753,48.732,48.9016,UP,1
2007-11-06,49.59,49.15,51.5659,49.07,48.9096,UP,1
2007-11-07,49.85,49.75,51.5561,49.21,48.934,UP,1
2007-11-08,50.29,50.09,51.5471,49.558,48.966,UP,1
2007-11-09,51.67,50.2,51.5477,50.104,49.0184,UP,1
2007-11-12,52.64,51.48,51.5523,50.808,49.071,UP,1
2007-11-13,53.3,52.8,51.5578,51.55,49.1332,DOWN,0
2007-11-14,53.04,53.52,51.5617,52.188,49.2082,DOWN,0
2007-11-15,53.02,52.72,51.5628,52.734,49.2766,UP,1
2007-11-16,53.42,53.27,51.5653,53.084,49.3612,UP,1
2007-11-19,53.49,53.25,51.5711,53.254,49.4486,UP,1
2007-11-20,54.07,53.47,51.5865,53.408,49.5386,DOWN,0
2007-11-21,53.41,53.71,51.5973,53.482,49.6174,UP,1
2007-11-23,54.07,53.66,51.6115,53.692,49.7078,DOWN,0
2007-11-26,53.38,54.07,51.624,53.684,49.7772,UP,1
2007-11-27,54.29,53.55,51.6373,53.844,49.864,UP,1
2007-11-28,54.72,54.59,51.6529,53.974,49.9564,UP,1
2007-11-29,54.76,54.65,51.6685,54.244,50.0548,UP,1
2007-11-30,55.0,54.95,51.6754,54.43,50.1586,DOWN,0
2007-12-03,54.63,54.3,51.6788,54.68,50.253,DOWN,0
2007-12-04,54.33,54.27,51.6813,54.688,50.3484,UP,1
2007-12-05,54.68,54.94,51.6871,54.68,50.4524,UP,1
2007-12-06,55.98,54.56,51.6984,54.924,50.5858,UP,1
2007-12-07,56.65,55.97,51.7165,55.254,50.7336,UP,1
2007-12-10,57.87,56.65,51.7398,55.902,50.9224,DOWN,0
2007-12-11,57.07,57.84,51.7666,56.45,51.101,UP,1
2007-12-12,57.47,57.26,51.793,57.008,51.2926,DOWN,0
2007-12-13,57.03,57.1,51.8145,57.218,51.4922,DOWN,0
2007-12-14,56.73,56.27,51.8272,57.234,51.6792,DOWN,0
2007-12-17,56.59,56.37,51.8454,56.978,51.857,UP,1
2007-12-18,57.2,56.89,51.8615,57.004,52.0448,UP,1
2007-12-19,57.36,57.1,51.8793,56.982,52.2222,UP,1
2007-12-20,58.11,57.66,51.9032,57.198,52.3978,UP,1
2007-12-21,58.99,58.15,51.9332,57.65,52.5908,DOWN,0
2007-12-24,58.88,58.76,51.9612,58.108,52.7746,UP,1
2007-12-26,58.95,58.88,51.991,58.458,52.975,DOWN,0
