ticker,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-01-19,170.57,173.16,171.514,166.6086,168.4059,DOWN,0
2021-01-20,168.46,170.24,170.764,166.9416,168.343,DOWN,0
2021-01-21,166.89,167.85,169.882,167.225,168.2089,UP,1
2021-01-22,167.64,166.57,169.006,167.4584,168.0884,DOWN,0
2021-01-25,166.51,167.09,168.014,167.5578,167.9438,DOWN,0
2021-01-26,160.88,168.65,166.076,167.6146,167.7862,UP,1
2021-01-27,163.2,160.0,165.024,167.708,167.6293,DOWN,0
2021-01-28,161.95,163.95,164.036,167.6668,167.4539,DOWN,0
2021-01-29,157.33,161.28,161.974,167.5482,167.2857,UP,1
2021-02-01,157.77,158.01,160.226,167.4472,167.1121,UP,1
2021-02-02,159.62,159.91,159.974,167.3792,166.9304,UP,1
2021-02-03,161.2,159.62,159.574,167.359,166.7751,UP,1
2021-02-04,161.25,161.88,159.434,167.4092,166.6591,UP,1
2021-02-05,163.9,162.8,160.748,167.385,166.5475,UP,1
2021-02-08,165.02,165.15,162.198,167.268,166.4387,UP,1
2021-02-09,167.22,165.33,163.718,167.3018,166.3523,UP,1
2021-02-10,167.77,168.13,165.032,167.3666,166.2498,UP,1
2021-02-11,170.53,170.5,166.888,167.5734,166.1461,UP,1
2021-02-12,176.13,170.73,169.334,167.8076,166.049,DOWN,0
2021-02-16,175.16,177.63,171.362,168.0474,165.9678,UP,1
2021-02-17,178.42,174.9,173.602,168.3412,165.9315,UP,1
2021-02-18,178.43,177.34,175.734,168.556,165.9238,UP,1
2021-02-19,182.13,179.11,178.054,168.7978,165.9211,UP,1
2021-02-22,190.64,183.14,180.956,169.1788,165.981,DOWN,0
2021-02-23,186.42,191.37,183.208,169.4384,166.0466,UP,1
2021-02-24,188.1,187.04,185.144,169.7112,166.0842,DOWN,0
2021-02-25,183.23,187.07,186.104,169.8218,166.1098,DOWN,0
2021-02-26,175.91,181.14,184.86,169.8404,166.1217,UP,1
2021-03-01,178.41,178.08,182.414,169.8872,166.1625,UP,1
2021-03-02,179.63,178.3,181.056,169.9874,166.1995,UP,1
2021-03-03,182.23,180.35,179.882,170.2226,166.258,DOWN,0
2021-03-04,179.37,183.14,179.11,170.4176,166.2528,UP,1
2021-03-05,185.61,180.96,181.05,170.8244,166.3133,UP,1
2021-03-08,191.1,187.89,183.588,171.3738,166.3933,DOWN,0
2021-03-09,185.09,189.74,184.68,171.7446,166.4112,UP,1
2021-03-10,187.86,184.53,185.806,172.1938,166.4367,UP,1
2021-03-11,189.91,187.22,187.914,172.6542,166.4191,UP,1
2021-03-12,195.09,193.29,189.81,173.2244,166.365,UP,1
