ticker,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-07,32.67,32.6,24.18,33.09,31.7078,UP,1
2000-12-08,32.7,33.25,24.2469,32.93,31.7518,UP,1
2000-12-11,32.8,32.9,24.3144,32.79,31.7965,DOWN,0
2000-12-12,32.25,32.61,24.3788,32.604,31.8103,DOWN,0
2000-12-13,32.0,32.25,24.4413,32.484,31.799,UP,1
2000-12-14,32.6,32.5,24.5096,32.47,31.7898,UP,1
2000-12-15,32.9,33.25,24.5778,32.51,31.784,UP,1
2000-12-18,33.3,33.1,24.6474,32.61,31.805,UP,1
2000-12-19,33.85,33.48,24.7239,32.93,31.842,UP,1
2000-12-20,34.3,33.5,24.8029,33.39,31.8893,DOWN,0
2000-12-21,33.6,33.8,24.8756,33.59,31.93,UP,1
2000-12-22,33.65,33.55,24.9507,33.74,31.9818,UP,1
2000-12-26,34.4,33.5,25.0283,33.96,32.0698,UP,1
2000-12-27,34.5,34.4,25.1096,34.09,32.1498,UP,1
2000-12-28,35.65,34.25,25.1922,34.36,32.2578,UP,1
2000-12-29,35.89,35.8,25.2729,34.818,32.3656,DOWN,0
2001-01-02,35.14,35.89,25.353,35.116,32.4684,DOWN,0
2001-01-03,34.5,35.09,25.4292,35.136,32.5584,DOWN,0
2001-01-04,31.76,34.5,25.4921,34.588,32.6011,DOWN,0
2001-01-05,30.5,31.4,25.5493,33.558,32.7048,UP,1
2001-01-08,31.0,30.6,25.6083,32.58,32.7986,UP,1
2001-01-09,31.54,31.0,25.6685,31.86,32.8819,UP,1
2001-01-10,32.75,31.3,25.7335,31.51,32.9681,DOWN,0
2001-01-11,31.3,32.75,25.7825,31.418,33.0291,UP,1
2001-01-12,31.5,31.8,25.8316,31.618,33.0979,DOWN,0
2001-01-16,31.49,31.1,25.8862,31.716,33.1202,DOWN,0
2001-01-17,30.89,31.25,25.9357,31.586,33.0817,DOWN,0
2001-01-18,29.43,30.7,25.9772,30.922,33.0041,DOWN,0
2001-01-19,27.7,29.4,26.0132,30.202,32.9031,UP,1
2001-01-22,29.0,28.0,26.056,29.702,32.8268,UP,1
2001-01-23,31.8,30.0,26.1131,29.764,32.7703,DOWN,0
