ticker,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-27,32.05,31.68,37.1265,31.496,32.9296,DOWN,0
2001-04-30,31.83,32.2,37.0725,31.512,32.8338,UP,1
2001-05-01,32.29,32.0,37.0127,31.79,32.7474,UP,1
2001-05-02,32.44,32.29,36.9606,32.022,32.6626,DOWN,0
2001-05-03,32.35,32.38,36.9033,32.192,32.5774,UP,1
2001-05-04,32.42,32.1,36.8429,32.266,32.5086,UP,1
2001-05-07,33.25,32.42,36.7929,32.55,32.4598,UP,1
2001-05-08,33.48,33.15,36.749,32.788,32.4116,DOWN,0
2001-05-09,33.0,33.3,36.7059,32.9,32.3482,UP,1
2001-05-10,33.8,33.0,36.663,33.19,32.305,DOWN,0
2001-05-11,33.38,33.57,36.6212,33.382,32.272,UP,1
2001-05-14,34.23,33.7,36.5889,33.578,32.2534,DOWN,0
2001-05-15,33.86,34.24,36.5497,33.654,32.2346,UP,1
2001-05-16,34.8,34.0,36.5172,34.014,32.2366,DOWN,0
2001-05-17,34.36,34.55,36.4708,34.126,32.2302,DOWN,0
2001-05-18,34.21,34.36,36.425,34.292,32.212,UP,1
2001-05-21,34.63,33.96,36.3997,34.372,32.238,DOWN,0
2001-05-22,33.75,34.4,36.376,34.35,32.2726,UP,1
2001-05-23,34.38,33.99,36.3704,34.266,32.3304,DOWN,0
2001-05-24,34.28,34.5,36.3683,34.25,32.3554,DOWN,0
2001-05-25,33.85,34.3,36.3673,34.178,32.3836,UP,1
2001-05-29,34.58,33.9,36.3717,34.168,32.429,DOWN,0
2001-05-30,34.25,34.58,36.3749,34.268,32.467,UP,1
2001-05-31,34.64,34.22,36.3631,34.32,32.5198,DOWN,0
2001-06-01,34.36,34.5,36.3558,34.336,32.5686,UP,1
2001-06-04,34.96,34.11,36.3537,34.558,32.6368,UP,1
2001-06-05,35.95,35.85,36.356,34.832,32.7342,DOWN,0
2001-06-06,35.3,35.95,36.3531,35.042,32.8182,DOWN,0
2001-06-07,35.1,35.35,36.3464,35.134,32.8774,DOWN,0
2001-06-08,34.84,35.12,36.3406,35.23,32.944,UP,1
2001-06-11,34.99,34.69,36.3368,35.236,33.0184,UP,1
2001-06-12,35.25,35.05,36.3331,35.096,33.0944,DOWN,0
2001-06-13,34.88,35.0,36.3265,35.012,33.1624,DOWN,0
2001-06-14,34.8,34.88,36.3165,34.952,33.2434,DOWN,0
2001-06-15,34.37,34.55,36.3033,34.858,33.3028,DOWN,0
2001-06-18,33.94,34.12,36.288,34.648,33.3478,DOWN,0
2001-06-19,33.58,33.92,36.275,34.314,33.397,UP,1
2001-06-20,34.3,33.62,36.2674,34.198,33.4648,DOWN,0
2001-06-21,34.15,34.05,36.2594,34.068,33.5254,UP,1
2001-06-22,34.52,34.15,36.2473,34.098,33.575,DOWN,0
2001-06-25,34.01,34.6,36.233,34.112,33.6112,UP,1
2001-06-26,34.87,33.85,36.2252,34.37,33.657,DOWN,0
2001-06-27,34.39,34.7,36.2127,34.388,33.7058,UP,1
2001-06-28,34.87,34.5,36.1983,34.532,33.7676,DOWN,0
2001-06-29,33.85,34.87,36.1795,34.398,33.814,UP,1
2001-07-02,35.23,33.85,36.1744,34.642,33.881,DOWN,0
