ticker,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-01-04,28.975,29.395,31.1177,27.847,28.0188,DOWN,0
2013-01-07,28.7826,28.85,31.1196,28.2825,27.9912,DOWN,0
2013-01-08,28.41,28.64,31.1182,28.5555,27.9459,UP,1
2013-01-09,28.45,28.94,31.1174,28.8015,27.9049,UP,1
2013-01-10,28.65,28.48,31.1178,28.6535,27.8714,DOWN,0
2013-01-11,28.285,28.655,31.1124,28.5155,27.8279,DOWN,0
2013-01-14,28.125,28.28,31.1055,28.384,27.7809,UP,1
2013-01-15,29.0,28.06,31.1021,28.502,27.7896,DOWN,0
2013-01-16,28.785,28.89,31.0992,28.569,27.7966,UP,1
2013-01-17,29.135,28.76,31.0996,28.666,27.801,DOWN,0
2013-01-18,29.11,29.035,31.0988,28.831,27.8097,UP,1
2013-01-22,29.435,29.06,31.1,29.093,27.8358,UP,1
2013-01-23,29.545,29.37,31.1018,29.202,27.87,UP,1
2013-01-24,30.575,30.1,31.1052,29.56,27.9293,DOWN,0
2013-01-25,30.545,30.625,31.1099,29.842,27.9883,DOWN,0
2013-01-28,30.155,30.61,31.1177,30.051,28.0256,DOWN,0
2013-01-29,29.705,30.16,31.1208,30.105,28.0684,UP,1
2013-01-30,29.94,29.635,31.1229,30.184,28.1228,DOWN,0
2013-01-31,29.85,29.935,31.1245,30.039,28.1824,DOWN,0
2013-02-01,29.715,30.085,31.125,29.873,28.2212,DOWN,0
2013-02-04,29.295,29.6,31.1223,29.701,28.2539,UP,1
2013-02-05,29.8,29.35,31.1204,29.72,28.294,DOWN,0
2013-02-06,29.555,29.68,31.1184,29.643,28.326,UP,1
2013-02-07,30.145,29.37,31.119,29.702,28.3605,UP,1
2013-02-08,30.53,30.395,31.1224,29.865,28.4006,DOWN,0
2013-02-11,30.43,30.395,31.1263,30.092,28.4335,DOWN,0
2013-02-12,30.33,30.49,31.1267,30.198,28.4644,DOWN,0
2013-02-13,30.22,30.4,31.1249,30.331,28.498,DOWN,0
2013-02-14,30.19,30.125,31.1203,30.34,28.5381,DOWN,0
2013-02-15,29.955,30.21,31.1163,30.225,28.5831,UP,1
2013-02-19,29.965,30.05,31.11,30.132,28.6289,DOWN,0
2013-02-20,29.35,29.9,31.0971,29.936,28.6637,DOWN,0
2013-02-21,28.87,29.335,31.0822,29.666,28.6862,UP,1
2013-02-22,29.08,28.935,31.0715,29.444,28.715,DOWN,0
2013-02-25,28.28,29.21,31.0573,29.109,28.7336,DOWN,0
2013-02-26,28.115,28.285,31.0454,28.739,28.7518,UP,1
2013-02-27,28.78,28.125,31.0364,28.625,28.792,UP,1
2013-02-28,29.0,28.865,31.0269,28.651,28.84,UP,1
2013-03-01,29.065,28.945,31.0183,28.648,28.8747,UP,1
2013-03-04,29.45,28.855,31.0142,28.882,28.9196,UP,1
2013-03-05,29.68,29.485,31.0096,29.195,28.9753,UP,1
2013-03-06,29.85,29.615,31.0033,29.409,29.0397,DOWN,0
2013-03-07,27.615,29.805,30.9898,29.132,29.0527,UP,1
2013-03-08,28.1,27.875,30.9787,28.939,29.077,DOWN,0
2013-03-11,28.09,28.005,30.9682,28.667,29.1149,DOWN,0
2013-03-12,27.95,28.09,30.9548,28.321,29.1425,DOWN,0
2013-03-13,27.645,28.045,30.938,27.88,29.1633,UP,1
2013-03-14,27.935,27.74,30.9216,27.944,29.1811,UP,1
2013-03-15,28.14,27.825,30.9062,27.952,29.1995,DOWN,0
2013-03-18,28.02,27.78,30.8889,27.938,29.1721,DOWN,0
2013-03-19,27.73,27.985,30.8711,27.894,29.1472,UP,1
2013-03-20,28.085,27.935,30.8535,27.982,29.1332,UP,1
2013-03-21,29.03,28.13,30.8447,28.201,29.1456,UP,1
2013-03-22,29.605,28.92,30.8378,28.494,29.1687,DOWN,0
2013-03-25,29.52,29.575,30.8296,28.794,29.1861,UP,1
2013-03-26,29.715,29.715,30.8188,29.191,29.2147,UP,1
2013-03-27,30.025,29.445,30.8116,29.579,29.2527,UP,1
2013-03-28,30.31,30.055,30.8019,29.835,29.2789,DOWN,0
2013-04-01,29.915,30.245,30.7921,29.897,29.3015,DOWN,0
2013-04-02,29.705,30.0,30.778,29.934,29.3129,DOWN,0
2013-04-03,29.63,29.72,30.7656,29.917,29.3233,UP,1
2013-04-04,30.04,29.69,30.752,29.92,29.3354,DOWN,0
2013-04-05,29.66,29.6,30.7337,29.79,29.3377,DOWN,0
2013-04-08,29.66,29.57,30.7115,29.739,29.3194,UP,1
2013-04-09,29.805,29.62,30.6908,29.759,29.3046,UP,1
2013-04-10,30.1175,29.84,30.6726,29.8565,29.3038,UP,1
2013-04-11,31.9,31.51,30.6667,30.2285,29.3478,UP,1
2013-04-12,32.335,32.01,30.6622,30.7635,29.3956,DOWN,0
2013-04-15,31.535,31.725,30.6563,31.1385,29.4294,UP,1
2013-04-16,31.9,31.675,30.6502,31.5575,29.4731,DOWN,0
2013-04-17,31.495,31.65,30.6484,31.833,29.5171,DOWN,0
2013-04-18,31.255,31.64,30.6505,31.704,29.5462,UP,1
2013-04-19,31.43,31.24,30.6515,31.523,29.5837,UP,1
2013-04-22,31.5,31.495,30.6509,31.516,29.6108,UP,1
2013-04-23,31.85,31.855,30.6532,31.506,29.6372,DOWN,0
2013-04-24,31.81,31.83,30.6443,31.569,29.6648,UP,1
2013-04-25,32.515,31.98,30.6391,31.821,29.7085,UP,1
2013-04-26,32.56,32.475,30.6347,32.047,29.7553,UP,1
2013-04-29,32.86,32.625,30.6318,32.319,29.8086,UP,1
2013-04-30,33.035,32.955,30.6301,32.556,29.8703,DOWN,0
2013-05-01,32.495,32.98,30.6235,32.693,29.9209,DOWN,0
2013-05-02,32.33,32.495,30.6146,32.656,29.9805,UP,1
2013-05-03,32.852,32.64,30.6076,32.7144,30.0601,DOWN,0
2013-05-06,32.6,32.875,30.5975,32.6624,30.1305,UP,1
2013-05-07,33.25,32.72,30.5907,32.7054,30.2299,DOWN,0
2013-05-08,33.065,33.1675,30.5847,32.8194,30.3289,DOWN,0
2013-05-09,32.865,32.995,30.5805,32.9264,30.4106,UP,1
2013-05-10,32.925,32.965,30.5779,32.941,30.4891,DOWN,0
2013-05-13,32.475,32.91,30.5742,32.916,30.5573,UP,1
2013-05-14,32.865,32.5,30.5718,32.839,30.6256,UP,1
2013-05-15,33.105,32.935,30.5711,32.847,30.6941,DOWN,0
2013-05-16,32.44,32.905,30.5651,32.762,30.7459,UP,1
2013-05-17,32.795,32.585,30.5613,32.736,30.8495,DOWN,0
2013-05-20,32.56,32.52,30.558,32.753,30.9387,UP,1
2013-05-21,33.085,32.62,30.5581,32.797,31.0386,DOWN,0
2013-05-22,32.6,33.15,30.5555,32.696,31.1316,DOWN,0
2013-05-23,32.54,32.62,30.5479,32.716,31.2295,UP,1
2013-05-24,32.92,32.66,30.5429,32.741,31.3292,UP,1
2013-05-28,33.115,33.115,30.5382,32.852,31.4287,DOWN,0
2013-05-29,32.565,32.86,30.5303,32.748,31.5196,DOWN,0
2013-05-30,32.335,32.68,30.5225,32.695,31.6117,DOWN,0
2013-05-31,32.159,32.18,30.5154,32.6188,31.6932,UP,1
2013-06-03,32.405,32.215,30.5083,32.5158,31.7607,DOWN,0
2013-06-04,32.325,32.35,30.501,32.3578,31.8151,DOWN,0
2013-06-05,31.975,32.32,30.4897,32.2398,31.8642,DOWN,0
2013-06-06,31.83,32.05,30.4777,32.1388,31.9065,UP,1
2013-06-07,32.435,32.065,30.4662,32.194,31.9547,DOWN,0
2013-06-10,32.39,32.475,30.4539,32.191,31.9963,DOWN,0
2013-06-11,31.92,32.005,30.4394,32.11,32.0364,DOWN,0
2013-06-12,31.765,32.115,30.4239,32.068,32.0776,UP,1
2013-06-13,32.67,32.1,30.4143,32.236,32.1384,DOWN,0
2013-06-14,32.43,32.67,30.4017,32.235,32.1862,DOWN,0
2013-06-17,32.27,32.705,30.3889,32.211,32.2384,UP,1
2013-06-18,32.655,32.18,30.3783,32.358,32.2983,DOWN,0
2013-06-19,32.12,32.575,30.3639,32.429,32.3446,DOWN,0
2013-06-20,31.7,31.875,30.3489,32.235,32.3762,UP,1
2013-06-21,31.9,31.93,30.3354,32.129,32.3762,DOWN,0
2013-06-24,31.645,31.765,30.32,32.004,32.3624,UP,1
2013-06-25,31.915,31.945,30.3089,31.856,32.37,DOWN,0
2013-06-26,31.86,32.09,30.295,31.804,32.3692,UP,1
2013-06-27,32.4,32.055,30.2867,31.944,32.3873,UP,1
2013-06-28,32.405,32.215,30.2815,32.045,32.4103,UP,1
2013-07-01,32.7,32.65,30.2794,32.256,32.4357,UP,1
2013-07-02,32.725,32.75,30.2763,32.418,32.4602,DOWN,0
2013-07-03,32.695,32.395,30.2701,32.585,32.4771,UP,1
2013-07-05,33.06,32.99,30.2653,32.717,32.5021,UP,1
2013-07-08,33.25,33.255,30.2632,32.886,32.5168,DOWN,0
2013-07-09,33.225,33.465,30.2649,32.991,32.5301,UP,1
2013-07-10,33.5,33.07,30.2682,33.146,32.5429,UP,1
2013-07-11,33.62,33.735,30.2686,33.331,32.5546,DOWN,0
2013-07-12,33.525,33.625,30.2715,33.424,32.5752,DOWN,0
2013-07-15,33.34,33.6,30.2735,33.442,32.5954,DOWN,0
2013-07-16,33.11,33.4,30.2773,33.419,32.6006,DOWN,0
2013-07-17,33.03,33.245,30.2805,33.325,32.6092,UP,1
2013-07-18,33.285,33.185,30.2846,33.258,32.6099,UP,1
2013-07-19,33.395,33.5,30.2901,33.232,32.6165,UP,1
2013-07-22,33.745,33.78,30.2935,33.313,32.6341,DOWN,0
2013-07-23,33.525,33.675,30.2963,33.396,32.6461,DOWN,0
2013-07-24,33.315,33.625,30.2961,33.453,32.6629,UP,1
2013-07-25,33.585,33.135,30.3005,33.513,32.6773,DOWN,0
2013-07-26,33.57,33.46,30.3031,33.548,32.6866,DOWN,0
2013-07-29,33.545,33.37,30.3077,33.508,32.7087,UP,1
2013-07-30,33.59,33.55,30.3162,33.521,32.7246,UP,1
2013-07-31,33.745,33.655,30.3245,33.607,32.7483,UP,1
2013-08-01,34.6,33.95,30.342,33.81,32.7786,DOWN,0
2013-08-02,34.465,34.45,30.36,33.989,32.8159,DOWN,0
