ticker,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-04-06,50.6466,50.3957,50.369,48.507,44.5755,DOWN,0
2017-04-07,50.563,50.6549,50.4108,48.5869,44.6277,UP,1
2017-04-10,51.0061,50.588,50.5563,48.6717,44.6799,DOWN,0
2017-04-11,50.8138,50.7218,50.6817,48.7609,44.7417,DOWN,0
2017-04-12,50.588,50.8305,50.7235,48.8476,44.8016,DOWN,0
2017-04-13,50.4459,50.588,50.6834,48.9346,44.8532,UP,1
2017-04-17,50.5713,50.588,50.685,49.0227,44.9036,DOWN,0
2017-04-18,50.3957,50.2703,50.563,49.0938,44.9497,DOWN,0
2017-04-19,50.1783,50.4124,50.4359,49.1641,44.9934,UP,1
2017-04-20,50.68,50.3874,50.4543,49.2472,45.0436,DOWN,0
2017-04-21,50.1783,50.6633,50.4007,49.3112,45.0949,UP,1
2017-04-24,51.3657,50.8305,50.5596,49.385,45.1521,UP,1
2017-04-25,52.1182,51.6667,50.9041,49.4716,45.2028,DOWN,0
2017-04-26,52.0513,52.0931,51.2787,49.5505,45.2494,UP,1
2017-04-27,52.1099,52.043,51.5647,49.6346,45.2985,UP,1
2017-04-28,52.8959,52.645,52.1082,49.7296,45.3513,DOWN,0
2017-05-01,52.1266,53.1885,52.2604,49.8124,45.3964,DOWN,0
2017-05-02,51.9928,51.7001,52.2353,49.8875,45.4422,UP,1
2017-05-03,52.4025,51.8005,52.3055,49.9634,45.4897,UP,1
2017-05-04,52.5279,52.3691,52.3891,50.0492,45.5368,UP,1
2017-05-05,52.7955,52.5614,52.3691,50.1476,45.5904,DOWN,0
2017-05-08,52.5865,52.7537,52.4611,50.2328,45.6432,DOWN,0
2017-05-09,52.4276,52.6283,52.548,50.3173,45.6989,DOWN,0
2017-05-10,52.3189,52.2855,52.5313,50.3996,45.7557,UP,1
2017-05-11,52.3607,51.9928,52.4978,50.4616,45.8114,DOWN,0
2017-05-12,51.9928,52.2102,52.3373,50.521,45.8669,UP,1
2017-05-15,52.0262,52.0931,52.2253,50.5793,45.9236,UP,1
2017-05-16,52.1182,52.2186,52.1634,50.6462,45.9826,DOWN,0
2017-05-17,51.1734,51.7587,51.9343,50.6964,46.0387,DOWN,0
2017-05-18,51.1399,50.7971,51.6901,50.7464,46.0958,UP,1
2017-05-19,51.7085,51.4075,51.6333,50.8103,46.1483,UP,1
2017-05-22,52.1768,51.9175,51.6634,50.8787,46.2,UP,1
2017-05-23,52.3524,52.1684,51.7102,50.9429,46.2503,UP,1
2017-05-24,52.7454,52.4611,52.0246,51.0187,46.3048,UP,1
2017-05-25,53.2136,52.7788,52.4393,51.0846,46.3599,DOWN,0
2017-05-26,53.1049,53.2471,52.7186,51.1515,46.4145,DOWN,0
2017-05-30,52.9711,52.8791,52.8775,51.2145,46.4596,DOWN,0
2017-05-31,52.2186,53.0296,52.8507,51.2722,46.5004,UP,1
2017-06-01,52.6701,52.4527,52.8357,51.3471,46.5394,UP,1
2017-06-02,53.0213,52.5948,52.7972,51.4294,46.5806,DOWN,0
2017-06-05,52.946,52.8791,52.7654,51.5095,46.622,DOWN,0
2017-06-06,52.8457,52.8791,52.7403,51.5746,46.664,UP,1
