ticker,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-20,43.125,41.625,31.0629,40.1125,38.9713,DOWN,0
2000-12-21,42.75,43.375,31.1876,41.175,39.0738,DOWN,0
2000-12-22,42.75,42.75,31.3117,41.9625,39.1863,UP,1
2000-12-26,43.25,42.75,31.4367,42.65,39.2925,DOWN,0
2000-12-27,43.0,43.0,31.5639,42.975,39.3688,DOWN,0
2000-12-28,41.9375,42.75,31.6817,42.7375,39.43,UP,1
2000-12-29,42.3125,42.1875,31.7964,42.65,39.5138,DOWN,0
2001-01-02,41.75,41.75,31.9076,42.45,39.6188,DOWN,0
2001-01-03,40.5,42.0,32.0104,41.9,39.6888,DOWN,0
2001-01-04,37.0,40.0,32.0961,40.7,39.6875,UP,1
2001-01-05,37.4375,37.0,32.187,39.8,39.7113,UP,1
2001-01-08,37.8125,37.3125,32.2776,38.9,39.7475,DOWN,0
2001-01-09,37.5,38.0,32.3657,38.05,39.8025,DOWN,0
2001-01-10,37.25,37.75,32.452,37.4,39.8,DOWN,0
2001-01-11,33.9375,37.5,32.5217,36.7875,39.7088,UP,1
2001-01-12,35.125,34.0,32.5954,36.325,39.645,DOWN,0
2001-01-16,34.375,34.625,32.6689,35.6375,39.5613,UP,1
2001-01-17,35.5625,34.5,32.7457,35.25,39.5225,UP,1
2001-01-18,35.75,35.5,32.8239,34.95,39.5,DOWN,0
2001-01-19,35.25,35.5,32.8967,35.2125,39.4613,UP,1
2001-01-22,36.6875,36.0,32.972,35.525,39.45,UP,1
2001-01-23,36.875,37.375,33.0529,36.025,39.4525,DOWN,0
2001-01-24,36.75,36.75,33.1342,36.2625,39.4325,UP,1
2001-01-25,37.0,36.5625,33.2136,36.5125,39.4013,DOWN,0
2001-01-26,36.6875,37.125,33.2873,36.8,39.3413,DOWN,0
2001-01-29,36.5,36.69,33.3582,36.7625,39.29,DOWN,0
2001-01-30,36.47,36.74,33.4228,36.6815,39.2232,DOWN,0
2001-01-31,35.42,35.75,33.4852,36.4155,39.1241,DOWN,0
2001-02-01,34.84,35.47,33.5435,35.9835,39.0021,UP,1
2001-02-02,35.65,35.05,33.6067,35.776,38.8851,UP,1
2001-02-05,35.79,36.15,33.6719,35.634,38.7722,UP,1
2001-02-06,36.22,36.0,33.7364,35.584,38.6628,UP,1
2001-02-07,36.42,36.25,33.7945,35.784,38.5687,UP,1
2001-02-08,36.95,36.5,33.8524,36.206,38.4965,UP,1
2001-02-09,37.41,36.63,33.9038,36.558,38.4097,DOWN,0
2001-02-12,37.0,37.61,33.9597,36.8,38.3159,DOWN,0
2001-02-13,36.79,37.0,34.0165,36.914,38.2292,UP,1
2001-02-14,37.12,36.94,34.073,37.054,38.1566,DOWN,0
2001-02-15,36.98,37.22,34.131,37.06,38.0812,UP,1
2001-02-16,37.55,37.03,34.1919,37.088,38.0272,UP,1
2001-02-20,37.78,37.3,34.2511,37.244,37.9778,UP,1
2001-02-21,38.4,37.98,34.3141,37.566,37.9508,UP,1
2001-02-22,38.68,38.5,34.3737,37.878,37.9432,DOWN,0
2001-02-23,38.61,38.78,34.4327,38.204,37.9579,DOWN,0
2001-02-26,38.41,38.68,34.4869,38.376,37.9498,UP,1
2001-02-27,39.2,38.36,34.5454,38.66,37.9601,DOWN,0
2001-02-28,38.83,39.2,34.6058,38.746,37.9879,UP,1
2001-03-01,39.25,38.68,34.6696,38.86,37.9967,UP,1
2001-03-02,39.45,39.25,34.734,39.028,37.9894,DOWN,0
2001-03-05,39.12,39.5,34.8012,39.17,37.9443,DOWN,0
2001-03-06,38.73,39.18,34.8633,39.076,37.8564,UP,1
2001-03-07,38.95,38.63,34.9233,39.1,37.7804,UP,1
2001-03-08,39.4,38.96,34.9838,39.13,37.7134,DOWN,0
2001-03-09,39.3,39.46,35.0431,39.1,37.6344,DOWN,0
2001-03-12,38.8,39.45,35.0968,39.036,37.5504,DOWN,0
2001-03-13,38.38,39.0,35.1487,38.966,37.4793,DOWN,0
2001-03-14,37.95,37.8,35.1969,38.766,37.392,UP,1
2001-03-15,38.05,37.95,35.2443,38.496,37.318,DOWN,0
2001-03-16,37.5,37.1,35.2856,38.136,37.258,DOWN,0
2001-03-19,36.9,36.8,35.3276,37.756,37.256,DOWN,0
2001-03-20,36.54,36.9,35.3637,37.388,37.2381,DOWN,0
2001-03-21,36.3,35.67,35.403,37.058,37.2078,DOWN,0
2001-03-22,35.55,36.32,35.4358,36.558,37.1688,DOWN,0
2001-03-23,34.7,35.35,35.4593,35.998,37.1178,UP,1
2001-03-26,36.0,34.9,35.4914,35.818,37.1591,UP,1
2001-03-27,36.9,36.0,35.5256,35.89,37.1946,DOWN,0
2001-03-28,36.9,36.9,35.5576,36.01,37.2451,UP,1
2001-03-29,37.17,36.9,35.5897,36.334,37.2772,UP,1
2001-03-30,38.0,37.35,35.6304,36.994,37.3222,DOWN,0
2001-04-02,38.0,37.8,35.6679,37.394,37.3772,UP,1
2001-04-03,39.0,38.9,35.7129,37.814,37.4235,UP,1
2001-04-04,39.75,38.65,35.7647,38.384,37.481,DOWN,0
2001-04-05,38.41,39.35,35.8093,38.632,37.5142,DOWN,0
2001-04-06,37.6,38.3,35.8476,38.552,37.5262,UP,1
2001-04-09,38.23,37.4,35.8922,38.598,37.557,UP,1
2001-04-10,38.65,38.9,35.9411,38.528,37.6,DOWN,0
2001-04-11,38.6,39.3,35.9869,38.298,37.6426,DOWN,0
2001-04-12,38.45,38.6,36.0391,38.306,37.7032,UP,1
2001-04-16,38.9,38.4,36.091,38.566,37.7844,UP,1
2001-04-17,39.95,38.65,36.152,38.91,37.8704,DOWN,0
2001-04-18,39.47,39.95,36.2134,39.074,37.944,DOWN,0
2001-04-19,38.35,39.0,36.2655,39.024,37.9866,UP,1
2001-04-20,38.6,38.25,36.3197,39.054,38.0302,UP,1
2001-04-23,39.22,38.6,36.3761,39.118,38.0756,DOWN,0
2001-04-24,39.1,39.2,36.4323,38.948,38.1094,UP,1
2001-04-25,39.48,39.05,36.485,38.95,38.159,UP,1
2001-04-26,39.65,39.7,36.5389,39.21,38.2162,UP,1
2001-04-27,40.28,40.1,36.5943,39.546,38.2794,UP,1
2001-04-30,40.5,40.25,36.6496,39.802,38.3498,UP,1
2001-05-01,41.09,41.0,36.7095,40.2,38.4206,DOWN,0
2001-05-02,40.25,41.25,36.7607,40.354,38.47,UP,1
2001-05-03,40.45,40.3,36.8114,40.514,38.511,UP,1
2001-05-04,41.05,40.25,36.8638,40.668,38.5584,UP,1
2001-05-07,41.14,41.05,36.9161,40.796,38.609,UP,1
2001-05-08,41.41,41.1,36.971,40.86,38.669,UP,1
2001-05-09,41.5,41.3,37.0275,41.11,38.715,UP,1
2001-05-10,41.94,41.5,37.0857,41.408,38.7772,UP,1
2001-05-11,42.0,41.9,37.146,41.598,38.8322,UP,1
2001-05-14,42.45,41.95,37.2067,41.86,38.8922,UP,1
2001-05-15,42.5,42.4,37.2676,42.078,38.9598,UP,1
2001-05-16,42.85,42.5,37.3462,42.348,39.0422,DOWN,0
2001-05-17,42.6,42.75,37.4092,42.48,39.1152,UP,1
2001-05-18,43.4,42.8,37.4737,42.76,39.1952,UP,1
2001-05-21,43.71,43.5,37.5391,43.012,39.2834,UP,1
2001-05-22,43.91,43.85,37.6052,43.294,39.3856,UP,1
2001-05-23,44.48,44.5,37.6712,43.62,39.5076,DOWN,0
2001-05-24,44.05,43.25,37.7356,43.91,39.6296,DOWN,0
2001-05-25,43.2,43.95,37.7991,43.87,39.7326,UP,1
2001-05-29,43.5,43.42,37.8625,43.828,39.8526,DOWN,0
2001-05-30,43.49,43.25,37.9242,43.744,39.9844,DOWN,0
2001-05-31,43.2,43.0,37.9852,43.488,40.1176,DOWN,0
2001-06-01,42.98,43.2,38.0439,43.274,40.2512,DOWN,0
2001-06-04,42.9,42.98,38.0986,43.214,40.3982,DOWN,0
2001-06-05,42.9,42.85,38.1544,43.094,40.5622,DOWN,0
2001-06-06,42.26,42.9,38.2066,42.848,40.6874,DOWN,0
2001-06-07,41.75,42.2,38.2553,42.558,40.7844,UP,1
2001-06-08,41.9,41.755,38.3058,42.342,40.8844,UP,1
