ticker,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-03-07,6.2475,6.0625,6.187,5.4427,4.5004,DOWN,0
2002-03-08,6.0163,6.31,6.1427,5.4693,4.5077,DOWN,0
2002-03-11,6.0,6.0313,6.0457,5.4927,4.5151,UP,1
2002-03-12,6.1188,6.0,6.0695,5.522,4.5238,UP,1
2002-03-13,6.2288,6.095,6.1222,5.5507,4.5321,UP,1
2002-03-14,6.3375,6.25,6.1402,5.58,4.5408,UP,1
2002-03-15,6.51,6.425,6.239,5.6153,4.5506,DOWN,0
2002-03-18,6.4075,6.5413,6.3205,5.6483,4.5599,UP,1
2002-03-19,6.5688,6.4925,6.4105,5.6824,4.5698,DOWN,0
2002-03-20,6.5025,6.5388,6.4652,5.7119,4.5798,DOWN,0
2002-03-21,6.1913,6.5,6.436,5.7304,4.5882,UP,1
2002-03-22,6.3637,6.1875,6.4067,5.7561,4.5981,DOWN,0
2002-03-25,6.2775,6.3688,6.3807,5.7779,4.6073,UP,1
2002-03-26,6.3863,6.3,6.3442,5.8032,4.6172,UP,1
2002-03-27,6.4388,6.3875,6.3315,5.8313,4.627,DOWN,0
2002-03-28,6.3388,6.4438,6.361,5.8545,4.6368,DOWN,0
2002-04-01,6.2675,6.325,6.3417,5.8771,4.6461,DOWN,0
2002-04-02,6.1113,6.2263,6.3085,5.894,4.6543,DOWN,0
2002-04-03,6.0138,6.1125,6.234,5.9087,4.662,UP,1
2002-04-04,6.2125,6.0125,6.1887,5.9274,4.6705,UP,1
2002-04-05,6.45,6.2375,6.211,5.9489,4.6796,UP,1
2002-04-08,6.6238,6.3875,6.2822,5.9703,4.6905,UP,1
2002-04-09,6.825,6.8438,6.425,5.996,4.7027,DOWN,0
2002-04-10,6.7588,6.8,6.574,6.0146,4.7146,DOWN,0
2002-04-11,6.5938,6.7625,6.6502,6.031,4.7256,UP,1
2002-04-12,6.6788,6.6188,6.696,6.0474,4.7369,DOWN,0
2002-04-15,6.56,6.7063,6.6832,6.0632,4.7465,UP,1
2002-04-16,6.8075,6.6125,6.6797,6.0845,4.7576,UP,1
2002-04-17,6.9063,6.8125,6.7092,6.1129,4.7694,UP,1
2002-04-18,6.9863,6.925,6.7877,6.1431,4.7806,DOWN,0
2002-04-19,6.9275,7.0125,6.8375,6.1746,4.7912,DOWN,0
2002-04-22,6.7313,6.9588,6.8717,6.2039,4.8008,UP,1
2002-04-23,7.075,7.0625,6.9252,6.2364,4.8124,DOWN,0
2002-04-24,7.0025,7.075,6.9445,6.2631,4.8239,UP,1
2002-04-25,7.1025,7.0038,6.9677,6.2952,4.8353,DOWN,0
2002-04-26,6.875,7.1338,6.9572,6.3213,4.8474,DOWN,0
2002-04-29,6.7913,6.9063,6.9692,6.3465,4.8595,UP,1
2002-04-30,7.0,6.8225,6.9542,6.3763,4.8716,DOWN,0
2002-05-01,6.9488,6.9688,6.9435,6.4064,4.8826,UP,1
2002-05-02,7.1375,6.9813,6.9505,6.4371,4.893,DOWN,0
2002-05-03,6.975,7.2,6.9705,6.4648,4.9019,DOWN,0
2002-05-06,6.8413,6.975,6.9805,6.4897,4.9111,DOWN,0
2002-05-07,6.76,6.8425,6.9325,6.5144,4.9193,UP,1
2002-05-08,6.9188,6.9,6.9265,6.5394,4.9275,UP,1
2002-05-09,7.0875,6.95,6.9165,6.5565,4.9372,DOWN,0
2002-05-10,7.0,7.1188,6.9215,6.5718,4.9466,DOWN,0
