ticker,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-05-03,35.15,35.575,32.7035,35.575,33.577,DOWN,0
2001-05-04,34.85,35.0,32.7546,35.35,33.5377,DOWN,0
2001-05-07,34.303,34.6,32.8002,35.1605,33.4888,DOWN,0
2001-05-08,33.395,34.375,32.8457,34.6895,33.3834,DOWN,0
2001-05-09,33.0,33.375,32.8881,34.1395,33.2449,DOWN,0
2001-05-10,31.825,33.25,32.93,33.4745,33.0789,DOWN,0
2001-05-11,31.163,31.825,32.9661,32.737,32.9324,UP,1
2001-05-14,31.375,31.25,33.0007,32.1515,32.7714,UP,1
2001-05-15,31.4,31.5,33.0309,31.7525,32.6233,UP,1
2001-05-16,33.375,31.4,33.075,31.8275,32.5308,UP,1
2001-05-17,34.813,33.625,33.1203,32.425,32.5005,UP,1
2001-05-18,35.288,34.7,33.1686,33.25,32.4959,DOWN,0
2001-05-21,34.055,35.188,33.2113,33.786,32.465,UP,1
2001-05-22,34.95,34.058,33.2523,34.496,32.4815,DOWN,0
2001-05-23,34.25,34.85,33.2895,34.671,32.4815,DOWN,0
2001-05-24,34.25,34.125,33.3293,34.5585,32.493,DOWN,0
2001-05-25,33.55,34.5,33.3627,34.211,32.528,UP,1
2001-05-29,33.63,33.125,33.3968,34.126,32.5782,UP,1
2001-05-30,35.255,33.475,33.4403,34.187,32.6484,DOWN,0
2001-05-31,35.065,34.625,33.4799,34.35,32.7291,UP,1
2001-06-01,37.088,35.025,33.5318,34.9175,32.9075,UP,1
2001-06-04,38.75,37.088,33.5927,35.9575,33.1234,UP,1
2001-06-05,39.788,38.75,33.657,37.189,33.3241,UP,1
2001-06-06,40.103,39.788,33.7205,38.1585,33.5469,UP,1
2001-06-07,40.603,40.133,33.7824,39.266,33.7704,UP,1
2001-06-08,40.995,40.575,33.847,40.0475,34.0153,DOWN,0
2001-06-11,40.425,40.95,33.9078,40.3825,34.2323,DOWN,0
2001-06-12,39.1,39.75,33.96,40.245,34.4131,DOWN,0
2001-06-13,39.095,39.225,34.013,40.0435,34.5917,DOWN,0
2001-06-14,38.23,39.22,34.0606,39.569,34.7831,UP,1
2001-06-15,39.55,37.9,34.1147,39.28,34.9981,DOWN,0
2001-06-18,39.4,39.8,34.1675,39.075,35.1856,DOWN,0
2001-06-19,38.965,39.945,34.2145,39.048,35.3726,DOWN,0
2001-06-20,38.5,38.65,34.2532,38.929,35.5416,UP,1
2001-06-21,39.5,39.0,34.296,39.183,35.6996,UP,1
2001-06-22,39.65,39.5,34.3392,39.203,35.8386,DOWN,0
2001-06-25,37.75,39.525,34.3721,38.873,35.9356,DOWN,0
2001-06-26,37.48,37.65,34.4022,38.576,36.0102,UP,1
