ticker,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-06-04,0.846,0.866,1.1286,0.8343,0.7118,DOWN,0
2001-06-05,0.822,0.853,1.1232,0.8265,0.7181,DOWN,0
2001-06-06,0.8,0.834,1.1174,0.8298,0.7232,UP,1
2001-06-07,0.807,0.791,1.1121,0.8242,0.7276,DOWN,0
2001-06-08,0.785,0.813,1.1069,0.8117,0.7325,DOWN,0
2001-06-11,0.743,0.775,1.1009,0.7912,0.7374,DOWN,0
2001-06-12,0.732,0.73,1.0947,0.7732,0.7418,DOWN,0
2001-06-13,0.706,0.748,1.0883,0.7545,0.7468,DOWN,0
2001-06-14,0.665,0.706,1.0818,0.7261,0.7515,DOWN,0
2001-06-15,0.625,0.651,1.075,0.694,0.7556,DOWN,0
2001-06-18,0.592,0.622,1.0673,0.6637,0.7583,DOWN,0
2001-06-19,0.568,0.622,1.0597,0.6309,0.7613,UP,1
2001-06-20,0.627,0.564,1.0525,0.615,0.7626,UP,1
