ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-09-28,10.5186,10.3536,9.9077,10.3775,10.7019,DOWN,0
2001-10-01,10.4374,10.5186,9.9214,10.3917,10.6935,DOWN,0
2001-10-02,10.1582,10.4297,9.9321,10.3419,10.6787,UP,1
2001-10-03,10.45,10.1506,9.9438,10.3734,10.6705,DOWN,0
2001-10-04,10.3942,10.4424,9.9561,10.3917,10.6624,DOWN,0
2001-10-05,10.2699,10.4044,9.9673,10.3419,10.6517,DOWN,0
2001-10-08,10.2267,10.2724,9.9793,10.2998,10.6426,DOWN,0
2001-10-09,10.176,10.1887,9.9882,10.3034,10.633,UP,1
2001-10-10,10.1887,10.1506,9.998,10.2511,10.6235,UP,1
2001-10-11,10.3409,10.214,10.0077,10.2404,10.617,DOWN,0
2001-10-12,10.2293,10.3663,10.0177,10.2323,10.6084,DOWN,0
2001-10-15,10.2115,10.2521,10.0262,10.2293,10.5995,UP,1
2001-10-16,10.379,10.1887,10.0341,10.2699,10.5856,UP,1
2001-10-17,10.4932,10.379,10.0421,10.3308,10.5721,DOWN,0
2001-10-18,10.4678,10.4932,10.0497,10.3561,10.5543,DOWN,0
2001-10-19,10.445,10.4805,10.0563,10.3993,10.5435,DOWN,0
2001-10-22,10.2826,10.4475,10.0606,10.4135,10.5297,UP,1
2001-10-23,10.4424,10.3409,10.0709,10.4262,10.5233,UP,1
2001-10-24,10.4551,10.5059,10.0795,10.4186,10.5151,DOWN,0
2001-10-25,10.3663,10.4297,10.0883,10.3983,10.5067,UP,1
2001-10-26,10.4323,10.379,10.0959,10.3957,10.5001,UP,1
2001-10-29,10.4678,10.4805,10.104,10.4328,10.4948,UP,1
2001-10-30,10.5566,10.4678,10.113,10.4556,10.4919,DOWN,0
