ticker,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2021-04-20,174.51,176.18,145.327,175.15,167.8144,UP,1
2021-04-21,177.37,173.73,145.5952,175.808,168.2782,DOWN,0
2021-04-22,176.11,177.83,145.8624,176.08,168.6874,UP,1
2021-04-23,176.57,176.31,146.1496,176.26,169.034,UP,1
2021-04-26,179.48,177.22,146.4615,176.808,169.4224,UP,1
2021-04-27,180.86,180.0,146.7719,178.078,169.7496,DOWN,0
2021-04-28,179.04,182.23,147.0713,178.412,170.0814,UP,1
2021-04-29,181.68,180.06,147.3755,179.526,170.4774,DOWN,0
2021-04-30,178.24,180.77,147.6491,179.86,170.8298,UP,1
2021-05-03,179.68,180.0,147.9263,179.9,171.1358,UP,1
2021-05-04,189.21,181.16,148.2476,181.57,171.6802,UP,1
2021-05-05,189.5,190.96,148.5696,183.662,172.1504,UP,1
2021-05-06,191.21,190.0,148.8908,185.568,172.4916,UP,1
2021-05-07,191.71,190.48,149.2136,188.262,172.9602,DOWN,0
2021-05-10,190.76,193.18,149.5318,190.478,173.4356,UP,1
2021-05-11,191.44,189.09,149.8526,190.924,173.8252,DOWN,0
2021-05-12,188.16,191.5,150.1527,190.656,174.2096,UP,1
2021-05-13,190.05,187.7,150.5005,190.424,174.6054,UP,1
2021-05-14,191.18,191.75,150.851,190.318,175.109,UP,1
2021-05-17,193.11,191.29,151.2181,190.788,175.6228,DOWN,0
2021-05-18,190.06,193.66,151.5813,190.512,176.042,DOWN,0
2021-05-19,184.95,186.94,151.9184,189.87,176.3846,DOWN,0
2021-05-20,184.73,185.74,152.2204,188.806,176.6524,DOWN,0
2021-05-21,184.47,185.59,152.5101,187.464,176.9032,UP,1
2021-05-24,184.67,186.01,152.8014,185.776,177.1578,DOWN,0
2021-05-25,182.42,185.22,153.0631,184.248,177.3564,UP,1
2021-05-26,183.93,183.01,153.3225,184.044,177.6638,UP,1
2021-05-27,185.53,186.34,153.5839,184.204,178.0018,DOWN,0
2021-05-28,183.32,185.84,153.8411,183.974,178.3072,UP,1
2021-06-01,183.62,185.25,154.111,183.764,178.6742,DOWN,0
2021-06-02,180.49,184.11,154.3647,183.378,179.0432,UP,1
2021-06-03,182.99,180.0,154.6295,183.19,179.5348,DOWN,0
2021-06-04,179.6,183.43,154.8843,182.004,179.9158,DOWN,0
2021-06-07,177.96,180.55,155.139,180.932,180.1632,UP,1
2021-06-08,179.0,177.97,155.4034,180.008,180.3364,DOWN,0
2021-06-09,178.62,178.57,155.6674,179.634,180.4908,DOWN,0
2021-06-10,173.1,180.13,155.9095,177.656,180.5082,UP,1
2021-06-11,174.24,174.91,156.1582,176.584,180.618,DOWN,0
2021-06-14,171.73,173.99,156.4024,175.338,180.7248,UP,1
2021-06-15,172.06,172.04,156.6424,173.95,180.7602,DOWN,0
2021-06-16,170.38,171.39,156.8798,172.302,180.7552,DOWN,0
2021-06-17,166.05,170.63,157.1101,170.892,180.698,DOWN,0
2021-06-18,165.84,164.64,157.3282,169.212,180.6078,UP,1
2021-06-21,168.94,167.5,157.5459,168.654,180.536,UP,1
2021-06-22,169.9,169.77,157.7757,168.222,180.447,UP,1
2021-06-23,170.33,169.72,158.0024,168.212,180.4008,UP,1
2021-06-24,175.9,172.19,158.27,170.182,180.4372,UP,1
2021-06-25,177.61,181.0,158.5498,172.536,180.4944,DOWN,0
2021-06-28,176.99,177.61,158.8181,174.146,180.5208,DOWN,0
2021-06-29,174.1,178.17,159.0587,174.986,180.468,DOWN,0
2021-06-30,174.07,173.23,159.2773,175.734,180.4592,DOWN,0
2021-07-01,173.83,174.64,159.4894,175.32,180.3884,DOWN,0
2021-07-02,170.98,173.32,159.6778,173.994,180.2858,UP,1
2021-07-06,171.03,170.56,159.8642,172.802,180.175,UP,1
2021-07-07,174.44,170.94,160.0795,172.87,180.0742,DOWN,0
2021-07-08,172.87,172.3,160.3105,172.63,179.9144,UP,1
2021-07-09,174.93,175.17,160.543,172.85,179.8322,DOWN,0
2021-07-12,174.74,172.93,160.7846,173.602,179.6934,DOWN,0
2021-07-13,173.53,174.57,161.0095,174.102,179.5992,UP,1
2021-07-14,175.96,172.79,161.2369,174.406,179.5248,UP,1
2021-07-15,176.66,175.47,161.4516,175.164,179.2738,DOWN,0
2021-07-16,175.35,176.8,161.6649,175.248,178.9908,DOWN,0
2021-07-19,170.75,172.79,161.8409,174.45,178.5816,UP,1
2021-07-20,174.34,171.16,162.0407,174.612,178.2342,UP,1
2021-07-21,176.35,175.35,162.2385,174.69,177.946,DOWN,0
2021-07-22,176.05,176.28,162.411,174.568,177.6382,UP,1
2021-07-23,178.14,176.95,162.5951,175.126,177.4378,DOWN,0
2021-07-26,175.99,178.41,162.7427,176.174,177.1566,UP,1
2021-07-27,176.66,174.33,162.8605,176.638,176.8662,UP,1
