ticker,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-04-08,35.84,35.85,35.557,34.9763,36.2118,UP,1
2015-04-09,36.21,35.82,35.789,35.0365,36.1904,UP,1
2015-04-10,37.09,36.35,36.132,35.1436,36.1771,UP,1
2015-04-13,37.9,37.12,36.61,35.2716,36.1702,DOWN,0
2015-04-14,37.485,37.91,36.905,35.3981,36.1621,DOWN,0
2015-04-15,36.61,37.5,37.059,35.5095,36.1507,DOWN,0
2015-04-16,36.57,36.61,37.131,35.6135,36.1423,DOWN,0
2015-04-17,36.13,36.52,36.939,35.7121,36.1279,UP,1
2015-04-20,36.81,36.81,36.721,35.7969,36.1191,UP,1
2015-04-21,37.24,37.34,36.672,35.8907,36.112,DOWN,0
2015-04-22,36.925,37.1,36.735,35.9682,36.1091,UP,1
2015-04-23,37.5,36.69,36.921,36.0692,36.1193,DOWN,0
2015-04-24,37.14,37.55,37.123,36.1912,36.1263,DOWN,0
2015-04-27,35.47,37.33,36.855,36.2764,36.122,DOWN,0
2015-04-28,34.78,35.42,36.363,36.3406,36.1089,UP,1
2015-04-29,35.07,34.79,35.992,36.3918,36.0996,DOWN,0
2015-04-30,34.34,34.68,35.36,36.3958,36.0953,DOWN,0
2015-05-01,34.03,34.1,34.738,36.3798,36.0896,UP,1
2015-05-04,34.2,34.27,34.484,36.3646,36.0918,UP,1
2015-05-05,35.0,34.16,34.528,36.3772,36.0943,UP,1
2015-05-06,37.27,35.27,34.968,36.4474,36.1093,UP,1
2015-05-07,38.04,37.3,35.708,36.4756,36.1282,UP,1
2015-05-08,41.13,38.97,37.128,36.5696,36.1589,DOWN,0
2015-05-11,39.75,41.1,38.238,36.6396,36.1842,UP,1
2015-05-12,40.13,39.72,39.264,36.7222,36.2104,DOWN,0
2015-05-13,39.79,40.33,39.768,36.815,36.2373,UP,1
2015-05-14,40.24,39.91,40.208,36.9174,36.2627,DOWN,0
2015-05-15,39.94,40.28,39.97,37.0042,36.283,UP,1
2015-05-18,40.5,39.99,40.12,37.1078,36.3095,UP,1
2015-05-19,41.23,40.5,40.34,37.2338,36.3311,UP,1
2015-05-20,42.99,41.34,40.98,37.3504,36.3624,UP,1
2015-05-21,43.76,43.14,41.684,37.4974,36.3907,DOWN,0
2015-05-22,43.23,43.85,42.342,37.5998,36.4131,DOWN,0
2015-05-26,42.81,43.17,42.804,37.6898,36.4334,DOWN,0
2015-05-27,42.5,43.0,43.058,37.7573,36.4501,UP,1
2015-05-28,43.16,42.36,43.092,37.8425,36.4666,DOWN,0
2015-05-29,43.09,43.05,42.958,37.9265,36.4788,UP,1
2015-06-01,43.39,43.19,42.99,38.0005,36.4877,UP,1
2015-06-02,45.52,43.22,43.532,38.1337,36.5025,UP,1
2015-06-03,45.79,45.75,44.19,38.2963,36.5203,DOWN,0
2015-06-04,45.67,45.37,44.692,38.4559,36.5334,UP,1
2015-06-05,46.87,45.34,45.448,38.6895,36.5514,UP,1
2015-06-08,47.8,46.8,46.33,38.9311,36.5755,DOWN,0
2015-06-09,46.41,47.79,46.508,39.1349,36.595,UP,1
2015-06-10,46.45,46.34,46.64,39.3419,36.613,UP,1
2015-06-11,46.95,46.46,46.896,39.5739,36.6303,DOWN,0
2015-06-12,46.91,46.62,46.904,39.8111,36.6444,DOWN,0
2015-06-15,46.77,46.7,46.698,40.039,36.6575,DOWN,0
2015-06-16,46.62,46.64,46.74,40.2612,36.6728,UP,1
2015-06-17,46.85,46.71,46.82,40.478,36.687,UP,1
2015-06-18,48.36,46.98,47.102,40.7284,36.7157,DOWN,0
2015-06-19,48.29,48.55,47.378,40.97,36.743,UP,1
2015-06-22,49.19,48.8,47.862,41.212,36.7797,UP,1
