ticker,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-08-28,69.64,70.0,69.096,64.6282,72.2625,DOWN,0
2020-08-31,67.77,69.33,68.832,64.7218,72.1374,UP,1
2020-09-01,68.0,67.29,68.612,64.831,72.0133,UP,1
2020-09-02,69.01,68.0,68.756,64.9476,71.8901,DOWN,0
2020-09-03,68.01,69.5,68.486,65.1138,71.7645,UP,1
2020-09-04,69.71,69.5,68.5,65.299,71.6457,DOWN,0
2020-09-08,67.82,69.14,68.51,65.4934,71.5192,UP,1
2020-09-09,68.28,68.85,68.566,65.675,71.3928,DOWN,0
2020-09-10,67.26,68.64,68.216,65.8022,71.2544,UP,1
2020-09-11,68.12,67.42,68.238,65.986,71.1267,UP,1
2020-09-14,69.76,68.93,68.248,66.1952,71.0063,DOWN,0
2020-09-15,68.36,70.0,68.356,66.3362,70.8785,UP,1
2020-09-16,69.32,68.6,68.564,66.5348,70.757,DOWN,0
2020-09-17,68.59,69.09,68.83,66.6912,70.6353,DOWN,0
2020-09-18,68.15,68.03,68.836,66.8936,70.5241,DOWN,0
2020-09-21,64.73,66.45,67.83,66.9774,70.394,DOWN,0
2020-09-22,63.71,64.55,66.9,67.0322,70.2575,DOWN,0
2020-09-23,61.96,64.1,65.428,67.0332,70.1058,DOWN,0
2020-09-24,61.45,62.01,64.0,66.9836,69.9491,UP,1
2020-09-25,62.08,60.87,62.786,66.9402,69.7972,UP,1
2020-09-28,64.03,63.5,62.646,66.938,69.6553,DOWN,0
2020-09-29,63.09,63.76,62.522,66.9394,69.498,UP,1
2020-09-30,63.52,63.2,62.834,66.91,69.3449,DOWN,0
2020-10-01,63.51,63.91,63.246,66.8708,69.19,UP,1
2020-10-02,63.88,62.36,63.606,66.8358,69.0337,UP,1
2020-10-05,65.71,64.65,63.942,66.8518,68.8859,DOWN,0
2020-10-06,65.34,66.57,64.392,66.8742,68.7414,UP,1
2020-10-07,67.79,66.07,65.246,66.9484,68.6077,UP,1
2020-10-08,68.27,68.45,66.198,67.0042,68.4776,DOWN,0
2020-10-09,67.88,68.93,66.998,67.0886,68.348,UP,1
2020-10-12,69.19,68.38,67.694,67.205,68.2239,DOWN,0
2020-10-13,66.4,68.33,67.906,67.2444,68.0898,DOWN,0
2020-10-14,66.33,66.41,67.614,67.3054,67.957,UP,1
2020-10-15,66.53,65.54,67.266,67.292,67.821,DOWN,0
2020-10-16,66.27,66.75,66.944,67.3244,67.6781,DOWN,0
2020-10-19,65.6,66.62,66.226,67.2772,67.5398,UP,1
2020-10-20,66.22,66.54,66.19,67.2108,67.4035,DOWN,0
2020-10-21,66.14,65.99,66.152,67.1188,67.2672,UP,1
2020-10-22,67.92,65.81,66.43,67.079,67.1369,UP,1
2020-10-23,68.73,68.54,66.922,67.0628,67.007,DOWN,0
2020-10-26,66.42,67.63,67.086,66.9794,66.8671,DOWN,0
2020-10-27,63.46,66.01,66.534,66.8596,66.709,DOWN,0
2020-10-28,61.67,62.12,65.64,66.7216,66.5427,UP,1
2020-10-29,63.04,61.2,64.664,66.601,66.3863,UP,1
2020-10-30,64.02,62.56,63.722,66.5188,66.2295,UP,1
