ticker,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2003-01-09,39.0475,38.8049,39.1095,38.8792,35.5759,DOWN,0
2003-01-10,38.7467,39.0475,39.0203,38.8796,35.6056,DOWN,0
2003-01-13,37.9803,38.7564,38.7273,38.8645,35.6304,DOWN,0
2003-01-14,37.3982,37.7378,38.3955,38.8127,35.6517,DOWN,0
2003-01-15,37.2236,37.3497,38.0793,38.752,35.6738,DOWN,0
2003-01-16,37.0199,37.243,37.6738,38.692,35.6953,UP,1
2003-01-17,38.4169,36.9132,37.6078,38.6596,35.7237,DOWN,0
2003-01-21,37.7378,38.8049,37.5593,38.5994,35.7509,UP,1
2003-01-22,37.8348,37.7281,37.6466,38.5296,35.7761,UP,1
2003-01-23,38.2617,37.9027,37.8542,38.4935,35.8032,DOWN,0
2003-01-24,37.9706,38.1646,38.0443,38.4605,35.83,DOWN,0
2003-01-27,37.2333,37.9706,37.8076,38.4301,35.8562,UP,1
2003-01-28,38.3199,37.5923,37.924,38.4204,35.8848,UP,1
2003-01-29,39.775,38.2714,38.3121,38.4398,35.9229,DOWN,0
2003-01-30,39.775,40.7452,38.6148,38.4495,35.964,DOWN,0
