ticker,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-26,13.0793,13.0497,14.2593,13.1206,14.1433,UP,1
2001-01-29,13.4631,12.9623,14.2584,13.2151,14.1185,UP,1
2001-01-30,13.9355,13.4631,14.26,13.3627,14.1002,UP,1
2001-01-31,14.2661,13.9921,14.2655,13.5883,14.0867,DOWN,0
2001-02-01,13.8882,14.148,14.269,13.7264,14.0693,DOWN,0
2001-02-02,13.3969,14.0063,14.2694,13.79,14.0449,UP,1
2001-02-05,13.482,13.515,14.2699,13.7937,14.0081,UP,1
2001-02-06,13.7701,13.652,14.2713,13.7607,13.9823,DOWN,0
2001-02-07,13.4206,13.652,14.2731,13.5916,13.9437,UP,1
2001-02-08,13.4725,13.5387,14.2735,13.5084,13.9049,DOWN,0
2001-02-09,12.9907,13.4725,14.2649,13.4272,13.8689,UP,1
2001-02-12,13.0143,13.0379,14.2577,13.3336,13.8381,UP,1
2001-02-13,13.4725,13.2269,14.2487,13.2741,13.817,UP,1
2001-02-14,13.482,13.4725,14.2398,13.2864,13.792,UP,1
2001-02-15,13.7512,13.3639,14.2338,13.3421,13.7735,DOWN,0
2001-02-16,13.2836,13.756,14.2263,13.4007,13.7428,DOWN,0
2001-02-20,12.7073,13.2836,14.2085,13.3393,13.7029,DOWN,0
2001-02-21,12.3199,12.7073,14.1855,13.1088,13.6588,DOWN,0
2001-02-22,12.1404,12.438,14.1624,12.8405,13.5998,DOWN,0
2001-02-23,11.975,12.2112,14.1415,12.4852,13.537,UP,1
2001-02-26,12.3057,12.0931,14.1277,12.2897,13.4837,DOWN,0
2001-02-27,11.7152,11.1011,14.1096,12.0913,13.4193,UP,1
2001-02-28,11.8617,11.72,14.0911,11.9996,13.3677,DOWN,0
2001-03-01,11.6538,11.7625,14.0737,11.9023,13.3197,DOWN,0
2001-03-02,11.3704,11.5357,14.0541,11.7814,13.2667,DOWN,0
2001-03-05,11.2428,11.6208,14.0351,11.5688,13.2223,UP,1
2001-03-06,11.2901,11.4318,14.0168,11.4838,13.1877,UP,1
2001-03-07,11.5168,11.3137,14.0035,11.4148,13.1582,UP,1
2001-03-08,11.5641,11.5168,13.992,11.3968,13.1161,DOWN,0
2001-03-09,11.4224,11.3373,13.9809,11.4072,13.0635,DOWN,0
2001-03-12,11.2523,11.1011,13.9695,11.4091,13.0009,DOWN,0
2001-03-13,10.9216,11.3373,13.9546,11.3354,12.9294,UP,1
2001-03-14,10.9878,10.7941,13.9414,11.2296,12.8599,UP,1
2001-03-15,11.0964,11.2428,13.9265,11.1361,12.8113,UP,1
2001-03-16,11.1956,11.1247,13.9103,11.0907,12.7447,DOWN,0
2001-03-19,11.1956,11.1956,13.8908,11.0794,12.6722,DOWN,0
2001-03-20,11.0397,11.2428,13.8684,11.103,12.6125,UP,1
2001-03-21,11.2665,11.2901,13.8503,11.1588,12.5597,DOWN,0
2001-03-22,11.2665,11.2192,13.8312,11.1928,12.5223,UP,1
2001-03-23,11.6727,11.2665,13.8147,11.2882,12.4906,DOWN,0
2001-03-26,11.4082,11.7294,13.7971,11.3307,12.446,UP,1
2001-03-27,11.5216,11.3373,13.7794,11.4271,12.4095,DOWN,0
2001-03-28,10.9358,11.2901,13.7619,11.3609,12.3672,DOWN,0
2001-03-29,10.8838,10.9358,13.744,11.2844,12.3233,UP,1
2001-03-30,11.6916,10.9122,13.7314,11.2882,12.2903,DOWN,0
2001-04-02,10.7516,11.6208,13.7134,11.1569,12.2573,DOWN,0
2001-04-03,10.0194,10.5721,13.6915,10.8564,12.1979,UP,1
2001-04-04,10.0477,10.0194,13.6704,10.6788,12.1349,UP,1
2001-04-05,10.5721,10.1564,13.6508,10.6165,12.0836,DOWN,0
2001-04-06,10.1989,10.3925,13.6271,10.3179,12.0236,UP,1
2001-04-09,10.676,10.3453,13.6058,10.3028,11.9755,UP,1
2001-04-10,11.1011,10.7516,13.5848,10.5191,11.9283,DOWN,0
2001-04-11,11.0067,11.172,13.5656,10.7109,11.8697,UP,1
2001-04-12,11.5357,11.0255,13.5479,10.9037,11.8151,DOWN,0
2001-04-16,11.3609,11.479,13.5255,11.1361,11.7646,UP,1
2001-04-17,11.4271,11.3373,13.5053,11.2863,11.7252,UP,1
2001-04-18,12.2727,11.6916,13.4893,11.5206,11.701,UP,1
2001-04-19,12.745,12.2349,13.4739,11.8683,11.6805,DOWN,0
2001-04-20,12.5655,12.745,13.46,12.0743,11.6634,DOWN,0
2001-04-23,12.3104,12.5655,13.4432,12.2642,11.6401,UP,1
2001-04-24,12.4191,12.3293,13.4242,12.4626,11.6287,UP,1
2001-04-25,12.6411,12.4002,13.4049,12.5362,11.6212,UP,1
2001-04-26,12.849,12.66,13.3885,12.557,11.6088,UP,1
2001-04-27,13.0143,12.9198,13.3696,12.6468,11.5994,UP,1
2001-04-30,13.5812,13.0993,13.3501,12.9009,11.596,DOWN,0
2001-05-01,13.4017,13.5103,13.3289,13.0974,11.5984,UP,1
2001-05-02,13.6331,13.6048,13.3101,13.2958,11.6169,UP,1
2001-05-03,13.6993,13.5339,13.2941,13.4659,11.6445,UP,1
2001-05-04,14.3086,13.652,13.2832,13.7248,11.6878,UP,1
2001-05-07,14.4315,14.2425,13.2729,13.8948,11.737,UP,1
2001-05-08,14.644,14.5968,13.2653,14.1433,11.7837,DOWN,0
2001-05-09,13.8977,14.3842,13.2544,14.1962,11.8274,UP,1
2001-05-10,14.4645,14.2898,13.2475,14.3493,11.8794,DOWN,0
2001-05-11,14.3984,14.5826,13.2409,14.3672,11.9343,DOWN,0
2001-05-14,14.0583,14.3842,13.2323,14.2926,11.9881,UP,1
2001-05-15,14.1622,14.0016,13.2217,14.1962,12.0465,DOWN,0
2001-05-16,14.0725,14.115,13.2112,14.2312,12.1021,UP,1
2001-05-17,14.4078,14.1717,13.2041,14.2198,12.1599,DOWN,0
2001-05-18,14.3228,14.4078,13.2007,14.2047,12.2151,UP,1
2001-05-21,15.0314,14.3842,13.2027,14.3993,12.2873,DOWN,0
2001-05-22,14.9133,15.1637,13.2027,14.5496,12.3605,DOWN,0
2001-05-23,14.4551,14.885,13.1998,14.6261,12.4312,DOWN,0
2001-05-24,14.1764,14.4551,13.2003,14.5798,12.495,UP,1
2001-05-25,14.2189,14.1717,13.2013,14.559,12.5574,DOWN,0
