ticker,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-12-12,33.3822,33.6133,33.5467,33.5404,34.009,UP,1
2018-12-13,33.4,33.4267,33.5618,33.4311,33.9753,DOWN,0
2018-12-14,33.2044,33.2,33.5769,33.3404,33.9357,DOWN,0
2018-12-17,32.48,33.1956,33.5877,33.1511,33.8805,UP,1
2018-12-18,32.6667,32.6356,33.5951,33.0267,33.8338,DOWN,0
2018-12-19,32.4844,32.7067,33.6008,32.8471,33.7808,DOWN,0
2018-12-20,31.8489,32.32,33.6031,32.5369,33.7124,DOWN,0
2018-12-21,31.6533,31.8311,33.6047,32.2267,33.6606,DOWN,0
2018-12-24,30.9156,31.3956,33.5993,31.9138,33.6175,UP,1
2018-12-26,32.0311,30.9289,33.598,31.7867,33.6039,UP,1
2018-12-27,32.4089,31.6044,33.5999,31.7716,33.5993,UP,1
2018-12-28,32.4311,32.4889,33.6036,31.888,33.5837,UP,1
2018-12-31,32.8489,32.5156,33.6096,32.1271,33.5776,DOWN,0
2019-01-02,32.1867,32.3778,33.612,32.3813,33.5629,DOWN,0
2019-01-03,31.6533,32.0889,33.6112,32.3058,33.5388,UP,1
2019-01-04,32.1422,31.9733,33.6118,32.2524,33.5292,UP,1
2019-01-07,32.2356,32.1911,33.6142,32.2133,33.5321,DOWN,0
2019-01-08,32.0,32.2889,33.616,32.0436,33.5229,UP,1
2019-01-09,32.0889,32.2311,33.6204,32.024,33.506,UP,1
2019-01-10,32.4356,32.0667,33.6232,32.1804,33.4971,DOWN,0
2019-01-11,32.2622,32.3956,33.6262,32.2044,33.4791,UP,1
2019-01-14,32.5467,32.1333,33.6276,32.2667,33.4607,UP,1
2019-01-15,32.8356,32.5289,33.6302,32.4338,33.4428,UP,1
2019-01-16,33.2844,32.8889,33.6377,32.6729,33.435,UP,1
2019-01-17,33.2933,33.0667,33.6426,32.8444,33.4285,UP,1
2019-01-18,33.6356,33.4489,33.648,33.1191,33.4217,DOWN,0
2019-01-22,33.2,33.5644,33.651,33.2498,33.3991,UP,1
2019-01-23,33.5244,33.2044,33.6582,33.3876,33.3716,DOWN,0
2019-01-24,33.1867,33.3778,33.6636,33.368,33.3351,UP,1
2019-01-25,33.3333,33.3733,33.6688,33.376,33.3048,UP,1
2019-01-28,33.3778,33.2089,33.674,33.3244,33.2842,DOWN,0
