ticker,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-13,72.8746,74.2283,70.3553,74.2319,77.9756,DOWN,0
2001-02-14,71.8638,72.4684,70.4097,73.8312,77.7771,DOWN,0
2001-02-15,70.483,70.3928,70.4496,72.9522,77.5273,DOWN,0
2001-02-16,69.752,69.9415,70.4902,71.9721,77.2979,UP,1
2001-02-20,70.3025,69.7701,70.5385,71.0552,77.0874,UP,1
2001-02-21,71.0335,71.0155,70.5812,70.687,76.8645,DOWN,0
2001-02-22,70.122,71.0335,70.6165,70.3386,76.6504,DOWN,0
2001-02-23,69.5625,69.5354,70.6532,70.1545,76.4059,UP,1
2001-02-26,71.5931,69.5805,70.7044,70.5227,76.1885,UP,1
2001-02-27,72.1165,70.3928,70.757,70.8855,75.9703,UP,1
2001-02-28,72.3782,72.1165,70.8115,71.1545,75.7753,DOWN,0
2001-03-01,71.9721,72.6489,70.8571,71.5245,75.5836,UP,1
2001-03-02,72.3331,71.7013,70.8984,72.0786,75.4182,DOWN,0
2001-03-05,71.7735,71.7465,70.9423,72.1147,75.2021,DOWN,0
2001-03-06,69.8964,71.205,70.9762,71.6707,74.9147,DOWN,0
2001-03-07,67.1439,68.6871,70.985,70.6238,74.588,UP,1
2001-03-08,67.4958,68.1817,70.9962,69.7285,74.3044,UP,1
2001-03-09,68.3081,68.3171,71.0047,68.9235,73.9976,DOWN,0
2001-03-12,66.9183,68.1366,71.0025,67.9525,73.6631,DOWN,0
2001-03-13,65.8172,65.9707,70.9946,67.1366,73.2692,DOWN,0
2001-03-14,64.9148,64.9779,70.9827,66.6908,72.8776,UP,1
2001-03-15,66.828,64.9148,70.9784,66.5573,72.5356,DOWN,0
2001-03-16,64.4816,66.0699,70.9641,65.792,72.2166,UP,1
2001-03-19,65.0411,64.4365,70.9625,65.4165,71.9832,DOWN,0
2001-03-20,63.3986,65.4201,70.9684,64.9328,71.7474,DOWN,0
2001-03-21,61.332,62.7669,70.9628,64.2163,71.4669,UP,1
2001-03-22,62.9113,60.9168,70.9634,63.4329,71.209,DOWN,0
2001-03-23,62.2525,62.1352,70.9565,62.9871,70.9526,UP,1
2001-03-26,64.5087,63.173,70.9663,62.8806,70.7695,UP,1
2001-03-27,66.4309,65.4292,70.9831,63.4871,70.6282,UP,1
2001-03-28,67.8207,66.3316,71.0067,64.7848,70.4808,DOWN,0
2001-03-29,66.9634,67.0536,71.0101,65.5952,70.3536,UP,1
2001-03-30,68.4976,66.9634,71.0235,66.8442,70.2277,DOWN,0
2001-04-02,67.0085,68.0463,71.03,67.3442,70.0799,DOWN,0
2001-04-03,65.7089,67.0175,71.0381,67.1998,69.9084,UP,1
2001-04-04,67.2161,65.8353,71.049,67.0789,69.8167,UP,1
2001-04-05,68.3893,67.2161,71.0712,67.3641,69.7597,UP,1
2001-04-06,68.9669,67.6854,71.0891,67.4579,69.6612,UP,1
2001-04-09,70.3928,69.5354,71.1196,68.1348,69.5845,UP,1
2001-04-10,70.7447,70.844,71.1456,69.1419,69.5499,DOWN,0
2001-04-11,69.6257,69.8423,71.1587,69.6239,69.4804,UP,1
2001-04-12,71.7465,68.9488,71.1824,70.2953,69.432,DOWN,0
2001-04-16,71.3855,71.7465,71.2054,70.779,69.3349,UP,1
2001-04-17,72.9648,70.844,71.2358,71.2934,69.2786,DOWN,0
2001-04-18,71.566,72.0984,71.2479,71.4577,69.1851,DOWN,0
2001-04-19,70.6364,71.0516,71.256,71.6598,69.0752,DOWN,0
2001-04-20,66.4309,68.1366,71.2399,70.5967,68.9264,UP,1
2001-04-23,67.0085,67.189,71.2348,69.7213,68.769,DOWN,0
2001-04-24,66.2955,67.0085,71.2307,68.3875,68.6019,UP,1
2001-04-25,67.559,66.2955,71.2306,67.5861,68.4553,DOWN,0
2001-04-26,67.55,67.3334,71.2313,66.9688,68.3488,UP,1
2001-04-27,68.272,67.6854,71.2415,67.337,68.277,UP,1
2001-04-30,68.5607,68.9849,71.2724,67.6474,68.2386,DOWN,0
2001-05-01,68.2268,67.8207,71.3101,68.0337,68.2081,DOWN,0
2001-05-02,67.6041,68.1817,71.3441,68.0427,68.1541,UP,1
2001-05-03,67.929,67.7305,71.3842,68.1185,68.092,UP,1
2001-05-04,68.9217,67.7305,71.4344,68.2485,68.068,UP,1
2001-05-07,69.4,68.8495,71.4923,68.4164,68.0648,DOWN,0
2001-05-08,68.9849,68.6781,71.5496,68.568,68.0126,UP,1
