ticker,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-28,4.12,4.29,4.6796,4.308,3.9172,DOWN,0
2001-03-01,3.85,4.07,4.6692,4.208,3.9392,UP,1
2001-03-02,3.9,3.65,4.6605,4.128,3.9647,DOWN,0
2001-03-05,3.8,3.98,4.6536,3.992,3.9919,UP,1
2001-03-06,4.14,4.05,4.648,3.962,4.0285,UP,1
2001-03-07,4.42,4.15,4.6442,4.022,4.0644,DOWN,0
2001-03-08,4.4,4.36,4.6412,4.132,4.0961,DOWN,0
2001-03-09,4.2,4.2,4.6372,4.192,4.1301,DOWN,0
2001-03-12,4.1,4.2,4.6343,4.252,4.1646,DOWN,0
2001-03-13,3.8,4.05,4.6317,4.184,4.1906,UP,1
2001-03-14,3.85,3.6,4.6278,4.07,4.2189,UP,1
2001-03-15,4.13,3.9,4.6247,4.016,4.2552,DOWN,0
2001-03-16,4.02,4.18,4.6214,3.98,4.2794,UP,1
2001-03-19,4.25,3.95,4.6211,4.01,4.2994,DOWN,0
2001-03-20,3.9,4.23,4.6181,4.03,4.3124,UP,1
2001-03-21,3.97,3.9,4.6151,4.054,4.3268,UP,1
2001-03-22,4.0,3.97,4.6126,4.028,4.3355,UP,1
2001-03-23,4.22,4.05,4.6118,4.068,4.3437,DOWN,0
2001-03-26,4.2,4.25,4.6113,4.058,4.3489,UP,1
2001-03-27,4.39,4.24,4.6117,4.156,4.3604,DOWN,0
2001-03-28,4.33,4.35,4.6118,4.228,4.3708,UP,1
2001-03-29,4.56,4.39,4.613,4.34,4.3858,UP,1
2001-03-30,4.76,4.46,4.6156,4.448,4.4034,UP,1
2001-04-02,4.8,4.7,4.6192,4.568,4.4257,DOWN,0
2001-04-03,4.24,4.75,4.6198,4.538,4.423,DOWN,0
2001-04-04,3.85,4.2,4.6153,4.442,4.4025,UP,1
2001-04-05,4.12,3.95,4.6115,4.354,4.3812,DOWN,0
2001-04-06,4.0,4.05,4.6056,4.202,4.3649,UP,1
