ticker,REG US Equity,REG US Equity,REG US Equity,REG US Equity,REG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-23,22.5625,22.9375,20.9029,23.0625,22.8572,DOWN,0
2000-08-24,22.5,22.6875,20.9135,22.9125,22.8622,UP,1
2000-08-25,22.75,22.4375,20.9266,22.8,22.8709,DOWN,0
2000-08-28,22.625,22.9375,20.9398,22.6875,22.8784,DOWN,0
2000-08-29,22.3125,22.6875,20.9507,22.55,22.8759,UP,1
2000-08-30,22.625,22.4375,20.9629,22.5625,22.8822,DOWN,0
2000-08-31,22.625,22.5625,20.9757,22.5875,22.8922,DOWN,0
2000-09-01,22.625,22.625,20.9866,22.5625,22.9047,DOWN,0
2000-09-05,22.125,22.6875,20.9954,22.4625,22.9097,DOWN,0
2000-09-06,22.125,22.25,21.0032,22.425,22.9122,DOWN,0
2000-09-07,22.0625,22.125,21.0116,22.3125,22.9159,UP,1
2000-09-08,22.375,22.0625,21.0229,22.2625,22.9234,DOWN,0
2000-09-11,22.0625,22.875,21.0313,22.15,22.9147,UP,1
2000-09-12,22.75,22.125,21.0432,22.275,22.895,UP,1
2000-09-13,22.8125,22.5625,21.057,22.4125,22.8975,DOWN,0
2000-09-14,22.4375,22.8125,21.0679,22.4875,22.8938,DOWN,0
2000-09-15,22.125,22.0,21.077,22.4375,22.8738,DOWN,0
2000-09-18,21.625,22.0,21.0838,22.35,22.8438,UP,1
2000-09-19,21.9375,21.5625,21.092,22.1875,22.8288,DOWN,0
2000-09-20,21.6875,21.875,21.0998,21.9625,22.8063,DOWN,0
2000-09-21,21.5625,21.3125,21.1088,21.7875,22.79,UP,1
2000-09-22,21.625,21.5,21.1176,21.6875,22.7738,DOWN,0
2000-09-25,21.375,21.625,21.1251,21.6375,22.755,DOWN,0
2000-09-26,21.25,21.375,21.1341,21.5,22.7375,UP,1
