ticker,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-12-28,8.3525,8.1375,8.289,7.4045,5.5127,DOWN,0
2005-12-29,8.1875,8.3525,8.2855,7.4551,5.535,DOWN,0
2005-12-30,8.0125,8.195,8.231,7.5007,5.5556,UP,1
2006-01-03,8.56,8.025,8.2525,7.5534,5.5797,UP,1
2006-01-04,8.9925,8.5125,8.421,7.6105,5.6055,UP,1
2006-01-05,9.015,8.9925,8.5535,7.6645,5.6317,UP,1
2006-01-06,9.9625,9.4,8.9085,7.7378,5.663,DOWN,0
2006-01-09,9.6325,9.85,9.2325,7.8032,5.6928,DOWN,0
2006-01-10,9.5625,9.475,9.433,7.8734,5.7225,UP,1
2006-01-11,9.5675,9.625,9.548,7.9418,5.7525,DOWN,0
2006-01-12,9.5625,9.5875,9.6575,8.0081,5.7822,DOWN,0
2006-01-13,9.5325,9.5075,9.5715,8.0704,5.8111,UP,1
2006-01-17,9.7475,9.51,9.5945,8.1308,5.8411,UP,1
2006-01-18,10.3975,9.325,9.7615,8.2062,5.8744,DOWN,0
2006-01-19,10.325,10.2625,9.913,8.2792,5.907,DOWN,0
2006-01-20,9.9825,10.3225,9.997,8.3466,5.9378,DOWN,0
2006-01-23,9.975,10.01,10.0855,8.415,5.9684,UP,1
2006-01-24,9.9925,9.9703,10.1345,8.4822,5.9991,DOWN,0
2006-01-25,9.88,10.1,10.031,8.5453,6.0294,UP,1
2006-01-26,10.045,9.925,9.975,8.6089,6.0601,UP,1
2006-01-27,10.4,10.045,10.0585,8.6751,6.0928,UP,1
2006-01-30,10.6625,10.4,10.196,8.7509,6.1272,DOWN,0
2006-01-31,10.2625,10.6375,10.25,8.8215,6.1605,DOWN,0
2006-02-01,10.025,10.05,10.279,8.8758,6.192,DOWN,0
2006-02-02,9.87,10.025,10.244,8.9295,6.2232,DOWN,0
2006-02-03,9.5575,9.8925,10.0755,8.9744,6.253,UP,1
2006-02-06,9.795,9.8125,9.902,9.0183,6.2831,DOWN,0
2006-02-07,9.5375,9.825,9.757,9.0519,6.3126,UP,1
2006-02-08,9.605,9.5875,9.673,9.0869,6.3431,UP,1
2006-02-09,9.8425,9.7475,9.6675,9.1276,6.3743,DOWN,0
2006-02-10,8.775,9.84,9.511,9.1502,6.3998,DOWN,0
2006-02-13,8.565,8.8375,9.265,9.1623,6.4245,UP,1
2006-02-14,8.6625,8.8125,9.09,9.1708,6.4497,DOWN,0
2006-02-15,8.525,8.5,8.874,9.1834,6.4745,UP,1
2006-02-16,8.705,8.515,8.6465,9.1975,6.4999,DOWN,0
2006-02-17,8.585,8.7125,8.6085,9.2023,6.5241,DOWN,0
2006-02-21,8.4025,8.575,8.576,9.2033,6.5473,UP,1
2006-02-22,8.6,8.375,8.5635,9.208,6.5712,DOWN,0
2006-02-23,8.5025,8.175,8.559,9.2005,6.5944,DOWN,0
2006-02-24,8.4475,8.508,8.5075,9.1939,6.6172,UP,1
2006-02-27,8.5175,8.4,8.494,9.1861,6.6407,UP,1
2006-02-28,8.7125,8.5288,8.556,9.188,6.6655,UP,1
2006-03-01,9.2025,8.75,8.6765,9.1961,6.6929,DOWN,0
2006-03-02,9.18,9.175,8.812,9.2046,6.72,UP,1
2006-03-03,9.51,9.18,9.0245,9.2221,6.748,DOWN,0
2006-03-06,9.0925,9.55,9.1395,9.2384,6.7737,UP,1
2006-03-07,9.32,9.125,9.261,9.2607,6.7982,UP,1
2006-03-08,9.455,9.25,9.3115,9.2841,6.8223,DOWN,0
2006-03-09,9.3775,9.455,9.351,9.3026,6.8452,UP,1
2006-03-10,9.4575,9.38,9.3405,9.3288,6.868,UP,1
2006-03-13,9.7225,9.5,9.4665,9.3562,6.8917,UP,1
2006-03-14,9.945,9.717,9.5915,9.3913,6.9163,DOWN,0
2006-03-15,9.74,9.945,9.6485,9.4258,6.9402,DOWN,0
2006-03-16,9.735,9.75,9.72,9.4493,6.9635,UP,1
2006-03-17,9.7875,9.77,9.786,9.4653,6.9873,DOWN,0
2006-03-20,9.6725,9.7625,9.776,9.4784,7.0094,DOWN,0
2006-03-21,9.395,9.6725,9.666,9.4671,7.0307,DOWN,0
2006-03-22,9.255,9.31,9.569,9.4595,7.0519,UP,1
2006-03-23,9.375,9.255,9.497,9.4558,7.0741,UP,1
2006-03-24,9.4025,9.385,9.42,9.4525,7.0962,UP,1
2006-03-27,9.5725,9.5125,9.4,9.4527,7.1189,DOWN,0
2006-03-28,9.225,9.575,9.366,9.4465,7.1404,DOWN,0
2006-03-29,9.17,9.225,9.349,9.435,7.1606,UP,1
2006-03-30,9.205,9.2075,9.315,9.4111,7.1809,DOWN,0
2006-03-31,9.0825,9.2375,9.251,9.3863,7.2012,UP,1
2006-04-03,9.265,9.145,9.1895,9.3719,7.2227,DOWN,0
2006-04-04,8.975,9.225,9.1395,9.3519,7.242,UP,1
2006-04-05,9.2975,9.0625,9.165,9.338,7.2624,DOWN,0
2006-04-06,9.05,9.2625,9.134,9.3214,7.2826,DOWN,0
2006-04-07,8.625,9.025,9.0425,9.293,7.3008,UP,1
2006-04-10,8.7025,8.6,8.93,9.2591,7.3195,DOWN,0
2006-04-11,8.315,8.6525,8.798,9.2121,7.335,DOWN,0
2006-04-12,8.3125,8.28,8.601,9.1731,7.3513,UP,1
2006-04-13,8.4275,8.2625,8.4765,9.1412,7.3676,DOWN,0
2006-04-17,8.2,8.4025,8.3915,9.1078,7.3826,UP,1
2006-04-18,8.3825,8.3,8.3275,9.0842,7.3989,UP,1
2006-04-19,8.57,8.445,8.3785,9.0598,7.4173,DOWN,0
2006-04-20,8.35,8.57,8.386,9.036,7.4347,DOWN,0
2006-04-21,8.2775,8.375,8.356,9.0094,7.4517,DOWN,0
2006-04-24,8.13,8.25,8.342,8.9752,7.468,UP,1
2006-04-25,8.7875,8.405,8.423,8.9755,7.4876,UP,1
2006-04-26,8.7925,8.7875,8.4675,8.98,7.5068,UP,1
2006-04-27,8.825,8.795,8.5625,8.9833,7.5261,DOWN,0
2006-04-28,8.7625,8.775,8.6595,8.988,7.5439,DOWN,0
2006-05-01,8.755,8.7675,8.7845,8.989,7.5594,DOWN,0
2006-05-02,8.75,8.8075,8.777,8.9923,7.5746,DOWN,0
2006-05-03,8.575,8.75,8.7335,8.9958,7.5897,UP,1
2006-05-04,8.735,8.6375,8.7155,8.9985,7.6047,DOWN,0
2006-05-05,8.53,8.84,8.669,8.999,7.6186,UP,1
2006-05-08,8.5775,8.5925,8.6335,9.0016,7.633,DOWN,0
2006-05-09,8.4725,8.55,8.578,9.0007,7.6471,DOWN,0
2006-05-10,8.1725,8.4725,8.4975,8.9899,7.6599,DOWN,0
2006-05-11,8.0825,8.15,8.367,8.9675,7.672,DOWN,0
2006-05-12,7.8,7.9875,8.221,8.9399,7.6828,DOWN,0
2006-05-15,7.795,7.8025,8.0645,8.9056,7.692,DOWN,0
2006-05-16,7.625,7.7325,7.895,8.8763,7.7007,DOWN,0
2006-05-17,7.5425,7.5775,7.769,8.8407,7.7083,DOWN,0
2006-05-18,7.165,7.665,7.5855,8.7949,7.7146,DOWN,0
2006-05-19,7.1375,7.18,7.453,8.7501,7.7205,UP,1
2006-05-22,7.3475,7.0875,7.3635,8.7079,7.7277,DOWN,0
2006-05-23,7.3375,7.5,7.306,8.6602,7.7348,DOWN,0
2006-05-24,7.1175,7.3375,7.221,8.6037,7.7408,UP,1
2006-05-25,7.5975,7.2925,7.3075,8.5608,7.7485,UP,1
2006-05-26,7.6,7.7,7.4,8.5181,7.7558,DOWN,0
2006-05-30,7.445,7.5025,7.4195,8.4713,7.7631,DOWN,0
2006-05-31,7.3775,7.4525,7.4275,8.4254,7.7706,UP,1
2006-06-01,7.7625,7.2625,7.5565,8.3927,7.7817,DOWN,0
2006-06-02,7.4675,7.745,7.5305,8.357,7.7916,DOWN,0
2006-06-05,7.4375,7.625,7.498,8.3182,7.801,DOWN,0
2006-06-06,6.905,7.4375,7.39,8.2683,7.8101,DOWN,0
2006-06-07,6.7525,7.0,7.265,8.2119,7.8183,DOWN,0
2006-06-08,6.4625,6.6875,7.005,8.1566,7.8254,UP,1
2006-06-09,6.5075,6.6875,6.813,8.1034,7.833,DOWN,0
2006-06-12,6.225,6.5025,6.5705,8.0438,7.8394,UP,1
2006-06-13,6.295,6.125,6.4485,7.988,7.8462,UP,1
2006-06-14,6.3425,6.32,6.3665,7.9296,7.8538,UP,1
2006-06-15,6.83,6.425,6.44,7.8867,7.8639,UP,1
2006-06-16,6.935,6.79,6.5255,7.8394,7.8747,DOWN,0
2006-06-19,6.7525,6.945,6.631,7.7935,7.8843,DOWN,0
2006-06-20,6.69,6.7525,6.71,7.7548,7.8938,UP,1
2006-06-21,6.9375,6.6675,6.829,7.7195,7.9042,DOWN,0
2006-06-22,6.9075,6.9375,6.8445,7.6913,7.9133,UP,1
2006-06-23,6.95,6.845,6.8475,7.6641,7.922,DOWN,0
2006-06-26,6.9125,6.9525,6.8795,7.6338,7.9294,DOWN,0
2006-06-27,6.8,6.875,6.9015,7.6058,7.936,DOWN,0
2006-06-28,6.7625,6.825,6.8665,7.5734,7.9427,UP,1
2006-06-29,6.8025,6.7825,6.8455,7.538,7.9472,DOWN,0
2006-06-30,6.665,6.805,6.7885,7.5043,7.9512,DOWN,0
2006-07-03,6.64,6.71,6.734,7.4716,7.9555,DOWN,0
2006-07-05,6.5325,6.5325,6.6805,7.4396,7.9587,DOWN,0
