ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-11-13,28.21,27.7,28.226,27.6862,23.1614,DOWN,0
2012-11-14,27.39,28.11,27.898,27.724,23.2067,DOWN,0
2012-11-15,26.88,27.26,27.68,27.7502,23.2483,UP,1
2012-11-16,26.9,26.87,27.462,27.7822,23.2883,UP,1
2012-11-19,27.99,27.28,27.474,27.804,23.332,UP,1
2012-11-20,29.05,28.0,27.642,27.8522,23.3795,DOWN,0
2012-11-21,28.99,29.07,27.962,27.912,23.4303,UP,1
2012-11-23,29.44,29.94,28.474,27.9808,23.4842,DOWN,0
2012-11-26,28.75,29.24,28.844,28.0254,23.5324,DOWN,0
2012-11-27,28.48,28.79,28.942,28.045,23.5787,UP,1
2012-11-28,28.8,28.41,28.892,28.0572,23.626,UP,1
2012-11-29,29.66,28.94,29.026,28.0952,23.6767,UP,1
2012-11-30,29.99,29.66,29.136,28.1494,23.7281,DOWN,0
2012-12-03,29.75,29.89,29.336,28.1956,23.7794,UP,1
2012-12-04,30.0,29.79,29.64,28.2446,23.8318,DOWN,0
2012-12-05,29.14,29.98,29.708,28.2544,23.8809,DOWN,0
2012-12-06,29.05,29.05,29.586,28.269,23.9288,DOWN,0
2012-12-07,28.96,29.18,29.38,28.2968,23.9774,DOWN,0
2012-12-10,28.75,28.99,29.18,28.331,24.0224,UP,1
2012-12-11,28.76,28.99,28.932,28.3564,24.0692,UP,1
2012-12-12,29.67,28.91,29.038,28.4096,24.1203,DOWN,0
2012-12-13,29.53,29.27,29.134,28.4646,24.1717,DOWN,0
2012-12-14,29.32,29.37,29.206,28.509,24.2216,UP,1
2012-12-17,29.69,29.39,29.394,28.5476,24.2732,UP,1
2012-12-18,30.14,29.81,29.67,28.5908,24.3282,DOWN,0
2012-12-19,30.01,30.29,29.738,28.63,24.382,UP,1
2012-12-20,30.33,30.05,29.898,28.6808,24.4385,DOWN,0
2012-12-21,29.92,29.89,30.018,28.7412,24.4906,DOWN,0
2012-12-24,29.79,29.93,30.038,28.799,24.5389,DOWN,0
2012-12-26,28.99,29.79,29.808,28.839,24.5791,UP,1
2012-12-27,29.13,28.98,29.632,28.881,24.6197,DOWN,0
2012-12-28,28.85,28.88,29.336,28.9132,24.6561,UP,1
2012-12-31,29.22,28.69,29.196,28.94,24.696,UP,1
2013-01-02,30.73,29.91,29.384,28.9802,24.7432,DOWN,0
2013-01-03,30.59,30.78,29.704,29.0066,24.7891,UP,1
2013-01-04,30.89,30.72,30.056,29.0382,24.8363,DOWN,0
2013-01-07,30.89,30.85,30.464,29.0932,24.8849,UP,1
2013-01-08,31.22,30.96,30.864,29.1782,24.9354,UP,1
2013-01-09,31.55,31.41,31.028,29.2252,24.9867,DOWN,0
2013-01-10,31.25,31.72,31.16,29.2814,25.0363,UP,1
