ticker,RL US Equity,RL US Equity,RL US Equity,RL US Equity,RL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-03-22,25.26,26.5,20.9549,26.58,27.1146,UP,1
2001-03-23,25.88,25.16,21.0143,26.45,27.1384,DOWN,0
2001-03-26,25.25,25.5,21.0721,25.952,27.1472,UP,1
2001-03-27,26.6,25.25,21.1354,25.87,27.1767,DOWN,0
2001-03-28,26.21,26.5,21.1958,25.84,27.2021,DOWN,0
2001-03-29,26.2,25.9,21.2568,26.028,27.2174,UP,1
2001-03-30,27.5,26.1,21.3237,26.352,27.2524,DOWN,0
2001-04-02,26.75,26.75,21.3862,26.652,27.3086,DOWN,0
2001-04-03,26.25,26.8,21.4471,26.582,27.3236,UP,1
2001-04-04,26.3,26.0,21.5087,26.6,27.3296,UP,1
2001-04-05,26.45,26.45,21.5721,26.65,27.3286,DOWN,0
2001-04-06,26.0,26.45,21.6325,26.35,27.3174,UP,1
2001-04-09,26.8,25.9,21.6965,26.36,27.3396,UP,1
2001-04-10,26.9,26.55,21.7588,26.49,27.363,DOWN,0
2001-04-11,26.2,26.91,21.8145,26.47,27.374,DOWN,0
2001-04-12,24.49,26.0,21.8603,26.078,27.356,DOWN,0
2001-04-16,22.95,24.49,21.8973,25.468,27.3036,UP,1
2001-04-17,24.21,23.15,21.9383,24.95,27.3018,UP,1
2001-04-18,26.25,25.0,21.9983,24.82,27.3296,DOWN,0
2001-04-19,26.0,26.2,22.0505,24.78,27.36,DOWN,0
2001-04-20,25.16,26.25,22.0979,24.914,27.3584,UP,1
2001-04-23,25.38,25.17,22.1435,25.4,27.3344,DOWN,0
2001-04-24,24.75,25.2,22.1851,25.508,27.2898,UP,1
2001-04-25,25.8,25.05,22.23,25.418,27.2454,UP,1
2001-04-26,26.25,25.8,22.2775,25.468,27.1894,UP,1
2001-04-27,26.48,26.14,22.3249,25.732,27.133,DOWN,0
2001-04-30,26.0,26.75,22.3693,25.856,27.0566,UP,1
2001-05-01,26.49,26.2,22.4158,26.204,26.993,UP,1
2001-05-02,27.35,26.74,22.4673,26.514,26.95,DOWN,0
2001-05-03,27.14,27.55,22.5192,26.692,26.9354,UP,1
2001-05-04,27.49,27.0,22.5704,26.894,26.8852,UP,1
2001-05-07,27.5,27.35,22.6232,27.194,26.8516,DOWN,0
2001-05-08,27.4,27.44,22.6774,27.376,26.7906,DOWN,0
2001-05-09,26.95,27.65,22.7281,27.296,26.7446,UP,1
2001-05-10,27.37,27.25,22.7781,27.342,26.706,DOWN,0
2001-05-11,27.32,27.3,22.8297,27.308,26.6684,DOWN,0
2001-05-14,27.04,27.34,22.8789,27.216,26.6352,UP,1
2001-05-15,27.2,27.4,22.9337,27.176,26.6122,UP,1
2001-05-16,27.95,26.8,22.9925,27.376,26.5786,UP,1
2001-05-17,28.36,27.95,23.053,27.574,26.5534,UP,1
2001-05-18,28.4,28.36,23.1113,27.79,26.5294,UP,1
2001-05-21,29.2,28.41,23.1751,28.222,26.5342,DOWN,0
2001-05-22,28.66,29.2,23.2328,28.514,26.5436,UP,1
2001-05-23,29.4,30.0,23.2938,28.804,26.5888,UP,1
2001-05-24,29.75,29.9,23.3485,29.082,26.6656,UP,1
2001-05-25,29.95,29.35,23.4083,29.392,26.7366,UP,1
2001-05-29,30.98,30.0,23.4663,29.748,26.8256,DOWN,0
2001-05-30,30.35,30.98,23.5184,30.086,26.8778,DOWN,0
2001-05-31,29.95,30.35,23.5687,30.196,26.9366,DOWN,0
2001-06-01,27.89,28.0,23.6091,29.824,26.9672,UP,1
2001-06-04,28.85,25.5,23.6578,29.604,27.039,DOWN,0
2001-06-05,28.65,28.85,23.7016,29.138,27.0944,DOWN,0
2001-06-06,28.02,28.65,23.7464,28.672,27.1498,UP,1
2001-06-07,28.6,27.8,23.7907,28.402,27.1898,DOWN,0
2001-06-08,27.7,28.75,23.8329,28.364,27.2196,DOWN,0
2001-06-11,27.0,27.5,23.8745,27.994,27.2356,DOWN,0
2001-06-12,26.26,26.4,23.9089,27.516,27.2108,DOWN,0
2001-06-13,25.6,26.5,23.9391,27.032,27.1878,UP,1
2001-06-14,26.22,25.85,23.9746,26.556,27.1872,DOWN,0
2001-06-15,26.14,25.97,24.009,26.244,27.184,UP,1
2001-06-18,26.45,25.89,24.0435,26.134,27.184,DOWN,0
2001-06-19,26.41,26.96,24.0786,26.164,27.1922,DOWN,0
2001-06-20,26.4,26.16,24.1138,26.324,27.1842,UP,1
2001-06-21,27.49,26.39,24.1562,26.578,27.196,DOWN,0
2001-06-22,26.39,27.25,24.1941,26.628,27.1998,DOWN,0
