ticker,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-04-27,101.77,98.88,96.578,91.2468,66.7608,UP,1
2021-04-28,102.6,103.13,98.242,91.732,67.0788,DOWN,0
2021-04-29,99.47,103.25,99.312,92.1492,67.3756,DOWN,0
2021-04-30,97.84,98.19,99.732,92.5206,67.6546,DOWN,0
2021-05-03,96.91,98.68,99.718,92.7956,67.9353,DOWN,0
2021-05-04,95.53,94.83,98.47,93.012,68.223,UP,1
2021-05-05,102.98,104.38,98.546,93.3562,68.5467,DOWN,0
2021-05-06,102.22,102.95,99.096,93.6044,68.8658,UP,1
2021-05-07,105.75,101.94,100.678,94.0166,69.2033,DOWN,0
2021-05-10,104.68,106.42,102.232,94.2414,69.5438,DOWN,0
2021-05-11,100.77,100.58,103.28,94.3756,69.8789,DOWN,0
2021-05-12,92.41,99.29,101.166,94.3642,70.1923,UP,1
2021-05-13,94.37,92.8,99.596,94.3404,70.5128,UP,1
2021-05-14,98.61,95.08,98.168,94.4962,70.8382,UP,1
2021-05-17,100.37,97.61,97.306,94.6374,71.1732,DOWN,0
2021-05-18,100.15,100.72,97.182,94.739,71.5187,DOWN,0
2021-05-19,96.5,97.12,98.0,94.7934,71.8401,UP,1
2021-05-20,100.59,96.96,99.244,94.8374,72.1734,DOWN,0
2021-05-21,100.21,101.28,99.564,94.8266,72.4968,UP,1
2021-05-24,105.08,101.42,100.506,94.9158,72.8334,UP,1
2021-05-25,107.06,106.0,101.888,95.033,73.1834,DOWN,0
2021-05-26,106.6,108.2,103.908,95.249,73.525,UP,1
2021-05-27,107.93,107.65,105.376,95.4868,73.8753,DOWN,0
2021-05-28,107.45,107.82,106.824,95.8238,74.2267,UP,1
2021-06-01,109.55,107.68,107.718,96.2284,74.5772,UP,1
2021-06-02,109.7,109.82,108.246,96.653,74.9191,DOWN,0
2021-06-03,109.57,108.16,108.84,97.1526,75.2591,UP,1
2021-06-04,110.64,109.99,109.382,97.7074,75.5987,DOWN,0
2021-06-07,110.6,112.19,110.012,98.1806,75.9315,UP,1
2021-06-08,111.7,111.67,110.442,98.664,76.26,DOWN,0
2021-06-09,110.83,111.91,110.668,99.2318,76.5907,UP,1
2021-06-10,111.4,110.84,111.034,99.7172,76.9241,DOWN,0
2021-06-11,110.31,111.19,110.968,100.1744,77.2563,DOWN,0
2021-06-14,106.62,109.5,110.172,100.528,77.5595,DOWN,0
