ticker,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-09-26,622.09,631.12,630.9889,620.7237,622.5006,UP,1
2012-09-27,630.52,625.7,630.3389,620.2205,623.2762,DOWN,0
2012-09-28,619.07,628.0,626.9229,619.1485,624.0581,UP,1
2012-10-01,624.86,620.74,625.6589,618.1817,624.9565,DOWN,0
2012-10-02,616.28,627.9,622.564,617.1251,625.8109,UP,1
2012-10-03,622.82,618.55,622.71,616.2699,626.6396,UP,1
2012-10-04,635.04,624.96,623.614,616.3499,627.5162,DOWN,0
2012-10-05,631.89,638.47,626.178,616.4213,628.2752,DOWN,0
2012-10-08,630.96,627.55,627.398,615.3607,629.0683,DOWN,0
2012-10-09,617.89,629.76,627.72,614.0677,629.7593,DOWN,0
2012-10-10,602.41,619.31,623.638,612.8811,630.3627,DOWN,0
2012-10-11,598.14,610.11,616.258,611.9843,630.9324,DOWN,0
2012-10-12,593.15,589.75,608.51,610.8671,631.5211,UP,1
2012-10-15,601.02,594.0,602.522,609.6077,632.1462,DOWN,0
2012-10-16,597.77,605.04,598.498,608.2607,632.7965,UP,1
2012-10-17,598.24,597.68,597.664,606.6295,633.362,DOWN,0
2012-10-18,582.376,598.23,594.5111,607.0306,633.8693,DOWN,0
2012-10-19,560.5,578.6,587.9811,606.9954,634.2408,UP,1
2012-10-22,567.2,559.1,581.2171,607.0761,634.6752,UP,1
2012-10-23,569.04,555.0,575.4711,607.2169,635.14,DOWN,0
2012-10-24,563.67,573.3,568.5571,607.1971,635.537,DOWN,0
2012-10-25,557.87,568.62,563.656,606.8483,635.9378,UP,1
2012-10-26,579.46,582.0,567.448,606.7017,636.4542,DOWN,0
2012-10-31,573.77,579.25,568.762,606.4015,636.9109,UP,1
2012-11-01,586.1,574.9,572.174,606.3913,637.3504,UP,1
2012-11-02,634.74,650.06,586.388,607.3709,637.9299,UP,1
2012-11-05,634.79,634.8,601.772,608.2459,638.4735,UP,1
2012-11-06,644.897,636.0,614.8594,609.2733,639.1051,DOWN,0
2012-11-07,634.61,639.3,627.0274,610.1019,639.688,DOWN,0
2012-11-08,627.87,632.35,635.3814,610.8913,640.2087,DOWN,0
2012-11-09,625.87,618.5,633.6074,611.6063,640.6963,UP,1
2012-11-12,633.43,629.1,633.3354,612.2107,641.2402,DOWN,0
