ticker,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2014-05-01,100.53,98.18,104.4439,103.008,110.4354,DOWN,0
2014-05-02,99.9,100.63,104.4271,101.248,110.1346,UP,1
2014-05-05,101.26,99.43,104.4103,99.852,109.8936,UP,1
2014-05-06,101.75,101.16,104.3953,100.396,109.6568,UP,1
2014-05-07,101.77,101.68,104.3771,101.042,109.4404,UP,1
2014-05-08,101.93,101.51,104.3909,101.322,109.2416,UP,1
2014-05-09,103.46,101.89,104.4067,102.034,109.0666,UP,1
2014-05-12,105.12,103.88,104.4284,102.806,108.941,DOWN,0
2014-05-13,104.85,105.12,104.4519,103.426,108.8272,DOWN,0
2014-05-14,102.14,104.78,104.4644,103.5,108.6182,DOWN,0
2014-05-15,101.59,101.72,104.4698,103.432,108.3922,UP,1
2014-05-16,103.01,101.27,104.4802,103.342,108.1968,DOWN,0
2014-05-19,102.06,102.98,104.4758,102.73,107.9836,DOWN,0
2014-05-20,100.98,102.16,104.4703,101.956,107.7418,UP,1
2014-05-21,101.0,101.58,104.4621,101.728,107.4946,DOWN,0
2014-05-22,100.36,101.01,104.4528,101.482,107.237,UP,1
2014-05-23,100.54,100.53,104.446,100.988,106.9938,DOWN,0
2014-05-27,100.2,101.04,104.4322,100.616,106.737,DOWN,0
2014-05-28,100.15,100.3,104.4159,100.45,106.467,UP,1
2014-05-29,100.46,100.59,104.4008,100.342,106.1916,DOWN,0
2014-05-30,100.16,100.06,104.384,100.302,105.9388,UP,1
2014-06-02,100.73,100.23,104.3732,100.34,105.7036,UP,1
2014-06-03,102.37,100.51,104.3862,100.774,105.5362,UP,1
2014-06-04,102.57,102.48,104.4067,101.258,105.418,UP,1
2014-06-05,104.57,102.71,104.4388,102.08,105.337,UP,1
2014-06-06,105.54,104.83,104.4716,103.156,105.3006,DOWN,0
2014-06-09,105.5,105.24,104.5062,104.11,105.2544,DOWN,0
2014-06-10,105.14,105.13,104.5309,104.664,105.2036,DOWN,0
2014-06-11,105.08,104.5,104.5582,105.166,105.137,DOWN,0
2014-06-12,104.43,104.97,104.5831,105.138,105.048,UP,1
2014-06-13,104.89,104.71,104.6153,105.008,104.9328,DOWN,0
2014-06-16,104.66,104.82,104.646,104.84,104.809,UP,1
2014-06-17,105.3,104.41,104.6778,104.872,104.6944,UP,1
2014-06-18,107.2,105.31,104.7196,105.296,104.6502,DOWN,0
2014-06-19,105.66,107.11,104.748,105.542,104.5344,UP,1
2014-06-20,106.07,105.84,104.7725,105.778,104.37,DOWN,0
2014-06-23,105.77,106.07,104.7929,106.0,104.287,DOWN,0
2014-06-24,104.99,105.81,104.8097,105.938,104.2268,UP,1
2014-06-25,105.55,105.01,104.822,105.608,104.155,DOWN,0
2014-06-26,104.92,105.54,104.8272,105.46,104.0604,UP,1
2014-06-27,105.36,105.03,104.8293,105.318,103.9712,DOWN,0
