ticker,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-04-06,61.65,61.18,61.452,58.0932,54.0002,DOWN,0
2015-04-07,61.57,61.4,61.384,58.235,54.0217,UP,1
2015-04-08,61.69,61.53,61.488,58.3906,54.042,DOWN,0
2015-04-09,61.44,61.7,61.56,58.5434,54.0614,DOWN,0
2015-04-10,61.24,61.52,61.518,58.6812,54.0842,DOWN,0
2015-04-13,60.28,61.17,61.244,58.791,54.1022,DOWN,0
2015-04-14,59.97,60.32,60.924,58.9102,54.1204,UP,1
2015-04-15,60.49,60.02,60.684,59.0302,54.145,DOWN,0
2015-04-16,60.16,60.38,60.428,59.1324,54.1624,DOWN,0
2015-04-17,59.1,59.72,60.0,59.2018,54.1726,UP,1
2015-04-20,59.31,59.2,59.806,59.248,54.1823,UP,1
2015-04-21,59.81,59.69,59.774,59.2932,54.1955,UP,1
2015-04-22,60.36,59.87,59.748,59.3622,54.2171,DOWN,0
2015-04-23,59.74,60.07,59.664,59.4194,54.2383,UP,1
2015-04-24,60.96,59.69,60.036,59.5042,54.265,DOWN,0
2015-04-27,60.59,60.97,60.292,59.5608,54.29,UP,1
2015-04-28,60.81,60.4,60.492,59.6038,54.3139,DOWN,0
2015-04-29,60.55,60.65,60.53,59.6436,54.3367,UP,1
2015-04-30,61.15,61.05,60.812,59.7466,54.3644,UP,1
2015-05-01,61.45,60.62,60.91,59.8232,54.3945,UP,1
2015-05-04,62.25,61.1,61.242,59.8962,54.4344,DOWN,0
2015-05-05,61.5,61.92,61.38,59.9594,54.4675,DOWN,0
2015-05-06,61.28,61.64,61.526,60.017,54.5001,UP,1
2015-05-07,61.49,61.07,61.594,60.0758,54.533,UP,1
2015-05-08,62.38,62.0,61.78,60.1576,54.5727,UP,1
2015-05-11,63.18,62.37,61.966,60.2666,54.6137,DOWN,0
2015-05-12,61.78,62.87,62.022,60.3258,54.6471,DOWN,0
2015-05-13,61.74,61.75,62.114,60.3906,54.688,UP,1
2015-05-14,61.87,62.2,62.19,60.459,54.7351,DOWN,0
2015-05-15,61.79,61.83,62.072,60.5326,54.7757,UP,1
2015-05-18,61.89,61.82,61.814,60.6214,54.828,DOWN,0
2015-05-19,61.83,62.1,61.824,60.6982,54.8854,DOWN,0
2015-05-20,61.54,62.02,61.784,60.7768,54.9425,DOWN,0
2015-05-21,61.4,61.71,61.69,60.8466,54.9975,DOWN,0
2015-05-22,61.26,61.4,61.584,60.9038,55.0532,DOWN,0
2015-05-26,60.89,61.22,61.384,60.9584,55.1082,UP,1
2015-05-27,61.82,61.32,61.382,61.02,55.1643,UP,1
2015-05-28,61.94,61.61,61.462,61.092,55.2222,UP,1
2015-05-29,62.44,62.01,61.67,61.144,55.2796,DOWN,0
2015-06-01,62.04,62.47,61.826,61.1846,55.3286,UP,1
2015-06-02,62.39,62.0,62.126,61.2096,55.3804,UP,1
2015-06-03,62.81,62.37,62.324,61.2478,55.4332,DOWN,0
2015-06-04,61.83,62.25,62.302,61.2664,55.4791,UP,1
2015-06-05,61.9,61.65,62.194,61.2982,55.5256,DOWN,0
2015-06-08,61.4,61.73,62.066,61.316,55.57,DOWN,0
2015-06-09,60.95,61.34,61.778,61.3104,55.614,UP,1
2015-06-10,61.62,61.02,61.54,61.3046,55.6623,UP,1
2015-06-11,61.65,61.82,61.504,61.3142,55.7082,DOWN,0
2015-06-12,61.1,61.53,61.344,61.3146,55.7518,DOWN,0
2015-06-15,60.86,60.85,61.236,61.3028,55.7961,DOWN,0
2015-06-16,60.61,60.63,61.168,61.282,55.8414,UP,1
2015-06-17,61.17,60.82,61.078,61.274,55.8901,UP,1
2015-06-18,61.41,61.27,61.03,61.2684,55.9358,UP,1
2015-06-19,61.67,61.37,61.144,61.273,55.9832,UP,1
2015-06-22,62.08,62.0,61.388,61.2898,56.0319,DOWN,0
2015-06-23,62.08,62.02,61.682,61.3258,56.0799,DOWN,0
2015-06-24,62.05,62.28,61.858,61.3674,56.1291,DOWN,0
2015-06-25,61.73,62.05,61.922,61.3922,56.179,DOWN,0
2015-06-26,61.63,61.82,61.914,61.4216,56.2274,DOWN,0
2015-06-29,59.9,61.51,61.478,61.4376,56.2666,UP,1
2015-06-30,60.14,60.49,61.09,61.4542,56.3129,UP,1
2015-07-01,60.21,60.73,60.722,61.4622,56.36,DOWN,0
2015-07-02,59.77,60.5,60.33,61.4504,56.4033,DOWN,0
2015-07-06,59.56,59.48,59.916,61.4468,56.4458,UP,1
2015-07-07,59.65,59.73,59.866,61.4206,56.491,DOWN,0
