ticker,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-12,47.34,45.5,44.1975,46.196,45.5845,DOWN,0
2001-02-13,45.8,47.34,44.2525,46.106,45.5967,DOWN,0
2001-02-14,45.39,45.6,44.3047,45.978,45.5708,UP,1
2001-02-15,45.53,45.4,44.3568,45.964,45.5351,UP,1
2001-02-16,46.5,45.85,44.4246,46.112,45.4951,DOWN,0
2001-02-20,43.75,46.1,44.4777,45.394,45.4014,DOWN,0
2001-02-21,42.65,43.2,44.5235,44.764,45.2731,UP,1
2001-02-22,43.0,43.25,44.5716,44.286,45.1494,DOWN,0
2001-02-23,42.75,42.75,44.6181,43.73,45.0056,UP,1
2001-02-26,44.33,43.0,44.671,43.296,44.9022,UP,1
2001-02-27,45.34,44.33,44.7284,43.614,44.8453,DOWN,0
2001-02-28,43.87,45.35,44.7715,43.858,44.7789,DOWN,0
2001-03-01,43.68,42.65,44.808,43.994,44.7163,UP,1
2001-03-02,43.8,43.6,44.8492,44.204,44.6198,DOWN,0
2001-03-05,43.48,43.9,44.8906,44.034,44.5506,DOWN,0
2001-03-06,43.3,43.5,44.9309,43.626,44.4979,UP,1
2001-03-07,44.13,42.7,44.9815,43.678,44.4555,UP,1
2001-03-08,44.54,44.38,45.028,43.85,44.4025,DOWN,0
2001-03-09,43.98,44.3,45.066,43.886,44.3334,UP,1
2001-03-12,45.01,46.0,45.102,44.192,44.2736,UP,1
2001-03-13,46.95,46.0,45.1477,44.922,44.2576,DOWN,0
2001-03-14,44.5,45.5,45.1818,44.996,44.2013,UP,1
2001-03-15,44.8,45.25,45.2139,45.048,44.1886,DOWN,0
2001-03-16,44.18,43.75,45.241,45.088,44.1409,DOWN,0
2001-03-19,43.79,44.75,45.2619,44.844,44.158,DOWN,0
2001-03-20,41.97,44.0,45.2767,43.848,44.1536,DOWN,0
2001-03-21,41.92,40.5,45.2966,43.332,44.1583,DOWN,0
2001-03-22,39.1,41.4,45.3042,42.192,44.0815,UP,1
2001-03-23,39.95,39.45,45.3068,41.346,44.0268,UP,1
2001-03-26,40.9,40.25,45.3194,40.768,44.0123,UP,1
2001-03-27,41.6,40.5,45.3371,40.694,44.0355,DOWN,0
2001-03-28,41.35,41.15,45.3535,40.58,44.0125,UP,1
2001-03-29,41.64,41.1,45.367,41.088,43.9966,UP,1
2001-03-30,42.47,41.65,45.3841,41.592,44.011,UP,1
2001-04-02,42.56,42.47,45.4069,41.924,44.0409,DOWN,0
2001-04-03,41.3,42.0,45.4312,41.864,44.0057,UP,1
2001-04-04,42.39,43.0,45.4572,42.072,43.981,UP,1
2001-04-05,43.98,43.0,45.4993,42.54,43.9656,DOWN,0
2001-04-06,42.7,43.42,45.5315,42.586,43.9346,UP,1
2001-04-09,43.28,42.95,45.5651,42.73,43.9064,DOWN,0
2001-04-10,42.75,43.4,45.5867,43.02,43.8638,UP,1
2001-04-11,43.02,43.0,45.6115,43.146,43.8238,UP,1
2001-04-12,43.46,43.5,45.6375,43.042,43.796,UP,1
2001-04-16,43.48,42.84,45.6713,43.198,43.7598,UP,1
2001-04-17,43.85,43.65,45.7087,43.312,43.7278,UP,1
2001-04-18,45.05,43.6,45.7533,43.772,43.695,DOWN,0
2001-04-19,44.75,45.15,45.7924,44.118,43.665,DOWN,0
2001-04-20,44.12,45.0,45.8271,44.25,43.6268,DOWN,0
2001-04-23,43.65,45.05,45.8553,44.284,43.5878,DOWN,0
2001-04-24,42.95,43.35,45.8651,44.104,43.5316,UP,1
2001-04-25,44.31,42.3,45.8872,43.956,43.471,UP,1
2001-04-26,44.4,44.2,45.9017,43.886,43.443,UP,1
2001-04-27,45.64,44.45,45.9131,44.19,43.448,UP,1
2001-04-30,46.16,45.6,45.9314,44.692,43.4606,UP,1
2001-05-01,47.35,45.7,45.9516,45.572,43.4776,DOWN,0
2001-05-02,46.85,47.35,45.9744,46.08,43.5396,DOWN,0
2001-05-03,46.25,46.0,45.9938,46.45,43.6116,UP,1
2001-05-04,46.75,45.5,46.0141,46.672,43.6866,DOWN,0
2001-05-07,46.5,46.75,46.0216,46.74,43.7616,DOWN,0
2001-05-08,46.5,46.5,46.0375,46.57,43.805,DOWN,0
2001-05-09,46.49,46.5,46.0522,46.498,43.828,UP,1
2001-05-10,46.53,46.8,46.0582,46.554,43.8812,UP,1
2001-05-11,46.83,47.0,46.0677,46.57,43.9442,UP,1
2001-05-14,47.19,46.6,46.0758,46.708,44.012,UP,1
2001-05-15,47.74,47.1,46.0908,46.956,44.0972,UP,1
2001-05-16,48.6,47.5,46.1157,47.378,44.2032,UP,1
2001-05-17,49.5,48.6,46.1413,47.972,44.3106,DOWN,0
2001-05-18,48.75,49.49,46.1629,48.356,44.3948,UP,1
2001-05-21,48.91,48.75,46.1833,48.7,44.4934,UP,1
2001-05-22,49.11,49.0,46.2001,48.974,44.5754,DOWN,0
2001-05-23,47.83,49.0,46.2093,48.82,44.593,UP,1
2001-05-24,49.15,47.85,46.2247,48.75,44.686,DOWN,0
2001-05-25,49.01,49.15,46.2407,48.802,44.7702,UP,1
2001-05-29,49.26,48.6,46.2595,48.872,44.8718,DOWN,0
2001-05-30,48.89,49.26,46.2643,48.828,44.9738,UP,1
2001-05-31,49.24,49.15,46.2683,49.11,45.1192,UP,1
2001-06-01,49.51,49.0,46.2758,49.182,45.271,UP,1
2001-06-04,49.8,49.51,46.2902,49.34,45.485,UP,1
2001-06-05,50.35,50.0,46.2975,49.558,45.693,DOWN,0
2001-06-06,50.25,50.1,46.3057,49.83,45.88,UP,1
2001-06-07,50.48,50.0,46.3152,50.078,46.0576,UP,1
2001-06-08,50.78,50.5,46.3232,50.332,46.2462,DOWN,0
2001-06-11,50.75,50.78,46.3316,50.522,46.4284,DOWN,0
