ticker,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-18,50.338,49.095,49.2454,45.7861,45.9913,DOWN,0
2001-04-19,48.026,49.832,49.3028,47.0333,45.8649,DOWN,0
2001-04-20,44.462,42.831,49.3252,46.8564,45.6833,DOWN,0
2001-04-23,41.339,43.835,49.3275,46.1379,45.414,DOWN,0
2001-04-24,39.69,41.578,49.3262,44.771,45.1151,UP,1
2001-04-25,42.426,40.386,49.3395,43.1886,44.8261,DOWN,0
2001-04-26,41.542,42.896,49.346,41.8917,44.5585,UP,1
2001-04-27,44.24,42.638,49.3753,41.8475,44.33,UP,1
2001-04-30,45.318,45.548,49.4263,42.6433,44.1402,DOWN,0
2001-05-01,43.762,46.055,49.464,43.4575,44.0022,DOWN,0
2001-05-02,42.868,43.568,49.4836,43.546,43.8372,DOWN,0
2001-05-03,41.542,42.094,49.5006,43.546,43.687,UP,1
2001-05-04,47.842,40.574,49.5564,44.2663,43.6756,UP,1
2001-05-07,48.782,47.943,49.6159,44.9589,43.6564,UP,1
2001-05-08,50.679,49.482,49.6861,46.3424,43.6015,DOWN,0
2001-05-09,49.914,49.426,49.7543,47.7517,43.5969,DOWN,0
2001-05-10,48.643,50.808,49.8203,49.1721,43.5313,DOWN,0
2001-05-11,47.897,50.357,49.867,49.1831,43.4843,DOWN,0
2001-05-14,46.645,49.141,49.9044,48.7557,43.4167,DOWN,0
2001-05-15,45.88,46.387,49.9558,47.7959,43.3222,UP,1
2001-05-16,48.984,45.143,50.0121,47.6099,43.2519,UP,1
2001-05-17,50.753,48.818,50.0683,48.0317,43.2341,UP,1
2001-05-18,52.549,51.038,50.1246,48.962,43.2604,UP,1
2001-05-21,57.523,53.47,50.2036,51.1377,43.469,DOWN,0
2001-05-22,55.45,57.748,50.2706,53.0517,43.7364,DOWN,0
2001-05-23,52.659,55.073,50.3147,53.7868,43.9053,UP,1
2001-05-24,55.653,52.917,50.384,54.7668,44.0765,UP,1
2001-05-25,55.754,55.045,50.4555,55.4079,44.2532,DOWN,0
2001-05-29,55.653,56.095,50.5183,55.0339,44.4797,DOWN,0
2001-05-30,55.128,54.345,50.5852,54.9695,44.6151,UP,1
2001-05-31,56.74,57.099,50.665,55.7856,44.845,UP,1
2001-06-01,60.231,57.44,50.7678,56.7011,45.2747,UP,1
2001-06-04,63.519,61.272,50.8924,58.2541,45.8347,UP,1
2001-06-05,68.687,64.726,51.0338,60.8608,46.4773,DOWN,0
2001-06-06,65.361,68.208,51.1581,62.9075,47.0649,UP,1
2001-06-07,67.204,64.928,51.2942,65.0003,47.7009,DOWN,0
2001-06-08,66.006,66.909,51.4286,66.1553,48.2956,DOWN,0
2001-06-11,63.501,66.015,51.5503,66.1516,48.8103,DOWN,0
2001-06-12,62.607,60.737,51.654,64.9358,49.3256,UP,1
2001-06-13,63.095,62.902,51.7555,64.4826,49.8748,UP,1
2001-06-14,64.799,62.312,51.865,64.0018,50.5134,UP,1
