ticker,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-03-16,17.4317,17.4317,17.6789,19.6868,14.9683,UP,1
2004-03-17,17.9452,17.9452,17.5823,19.6657,15.0118,DOWN,0
2004-03-18,17.4355,17.4355,17.5623,19.6144,15.055,DOWN,0
2004-03-19,17.2737,17.2737,17.4303,19.5633,15.0973,DOWN,0
2004-03-22,16.4153,16.4153,17.3003,19.4809,15.132,UP,1
2004-03-23,16.7884,16.7884,17.1716,19.4047,15.1712,UP,1
2004-03-24,16.9839,16.9839,16.9794,19.3297,15.212,UP,1
2004-03-25,17.8086,17.8086,17.054,19.2689,15.2622,UP,1
2004-03-26,18.0093,18.0093,17.2011,19.2003,15.3138,UP,1
2004-03-29,18.3848,18.3848,17.595,19.1228,15.3639,DOWN,0
2004-03-31,18.258,18.258,17.8889,19.0519,15.4127,UP,1
2004-04-01,18.5539,18.5539,18.2029,18.985,15.4645,UP,1
2004-04-02,19.3476,19.3476,18.5107,18.945,15.5187,DOWN,0
2004-04-05,19.1035,19.1035,18.7296,18.898,15.568,DOWN,0
2004-04-06,18.6213,18.6213,18.7769,18.8472,15.615,DOWN,0
2004-04-07,18.5493,18.5493,18.8351,18.8007,15.6633,UP,1
2004-04-08,18.8567,18.8567,18.8957,18.7732,15.718,UP,1
2004-04-13,19.0512,19.0512,18.8364,18.7548,15.7764,DOWN,0
2004-04-14,18.3272,18.3272,18.6811,18.7122,15.8294,DOWN,0
2004-04-15,17.518,17.518,18.4605,18.6736,15.8818,DOWN,0
2004-04-16,17.4338,17.4338,18.2374,18.6387,15.9328,UP,1
2004-04-19,17.7376,17.7376,18.0136,18.6103,15.9825,DOWN,0
2004-04-20,17.7262,17.7262,17.7486,18.5909,16.0398,DOWN,0
2004-04-21,16.9205,16.9205,17.4672,18.5516,16.0919,DOWN,0
2004-04-22,16.624,16.624,17.2884,18.492,16.1376,UP,1
2004-04-23,16.9686,16.9686,17.1954,18.4331,16.184,DOWN,0
2004-04-26,16.9151,16.9151,17.0309,18.3776,16.2276,DOWN,0
2004-04-27,16.7467,16.7467,16.835,18.3192,16.272,DOWN,0
2004-04-28,16.36,16.36,16.7229,18.2488,16.3128,DOWN,0
2004-04-29,15.7491,15.7491,16.5479,18.1718,16.3536,UP,1
2004-04-30,15.8882,15.8882,16.3318,18.0747,16.3951,UP,1
2004-05-03,16.2641,16.2641,16.2016,17.9845,16.4421,DOWN,0
2004-05-04,15.9426,15.9426,16.0408,17.882,16.4856,UP,1
2004-05-05,16.333,16.333,16.0354,17.8123,16.531,DOWN,0
2004-05-06,15.577,15.577,16.001,17.738,16.5722,UP,1
2004-05-07,15.9755,15.9755,16.0185,17.6858,16.6181,DOWN,0
2004-05-10,15.0144,15.0144,15.7685,17.6075,16.6417,UP,1
2004-05-11,15.7342,15.7342,15.7268,17.5468,16.6709,DOWN,0
2004-05-12,15.1468,15.1468,15.4896,17.4803,16.6977,UP,1
2004-05-13,15.7232,15.7232,15.5188,17.4256,16.7247,DOWN,0
2004-05-14,15.3851,15.3851,15.4007,17.3573,16.7488,DOWN,0
2004-05-17,15.3107,15.3107,15.46,17.2918,16.7671,UP,1
2004-05-18,15.5413,15.5413,15.4214,17.2251,16.7875,UP,1
2004-05-19,16.1403,16.1403,15.6201,17.1707,16.8121,UP,1
2004-05-27,17.1951,17.1951,15.9145,17.1285,16.8441,UP,1
2004-05-28,17.4659,17.4659,16.3307,17.1089,16.8759,DOWN,0
2004-06-01,17.1397,17.1397,16.6965,17.0831,16.903,DOWN,0
2004-06-02,16.9993,16.9993,16.9881,17.0724,16.9251,DOWN,0
2004-06-04,16.983,16.983,17.1566,17.0534,16.9501,UP,1
2004-06-09,17.1521,17.1521,17.148,17.0551,16.9787,DOWN,0
2004-06-14,15.6903,15.6903,16.7929,17.0203,17.0004,UP,1
2004-06-15,16.2275,16.2275,16.6105,16.9859,17.0251,DOWN,0
2004-06-17,15.5208,15.5208,16.3148,16.9477,17.0424,UP,1
2004-06-21,15.9834,15.9834,16.1148,16.9218,17.0593,UP,1
2004-07-06,16.3207,16.3207,15.9485,16.92,17.0749,DOWN,0
2004-07-12,15.8891,15.8891,15.9883,16.902,17.0908,DOWN,0
2004-07-16,14.5,14.5,15.6428,16.8523,17.0974,DOWN,0
2004-07-22,14.4207,14.4207,15.4228,16.7845,17.1055,DOWN,0
2004-08-05,13.6067,13.6067,14.9474,16.6965,17.1089,DOWN,0
2004-08-06,13.2243,13.2243,14.3282,16.5933,17.109,UP,1
2004-08-09,13.5064,13.5064,13.8516,16.4982,17.1097,DOWN,0
2004-08-12,12.6744,12.6744,13.4865,16.3806,17.1057,UP,1
