ticker,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-24,27.4528,27.4947,30.4405,27.7458,27.4252,DOWN,0
2001-01-25,27.1181,27.0344,30.4053,27.5449,27.4152,DOWN,0
2001-01-26,26.7833,27.0762,30.3635,27.2352,27.401,UP,1
2001-01-29,26.8502,26.7833,30.3228,27.1063,27.3897,UP,1
2001-01-30,27.6135,26.8569,30.2834,27.1636,27.3754,UP,1
2001-01-31,27.7207,27.7809,30.2511,27.2172,27.359,DOWN,0
2001-02-01,27.6135,27.6202,30.2201,27.3163,27.3387,DOWN,0
2001-02-02,27.3055,27.6939,30.1884,27.4207,27.3157,UP,1
2001-02-05,27.7006,27.4528,30.1582,27.5908,27.2947,DOWN,0
2001-02-06,27.5265,27.6872,30.1266,27.5734,27.2728,DOWN,0
2001-02-07,27.4528,27.5533,30.0864,27.5198,27.2292,UP,1
2001-02-08,27.5064,27.5198,30.0438,27.4984,27.1935,DOWN,0
2001-02-09,27.0511,27.6738,30.0016,27.4475,27.162,UP,1
2001-02-12,27.185,26.8837,29.9653,27.3444,27.1307,UP,1
2001-02-13,27.4462,27.3524,29.9324,27.3283,27.1314,DOWN,0
2001-02-14,27.1448,27.2855,29.8907,27.2667,27.1303,UP,1
2001-02-15,27.7609,27.1448,29.8548,27.3176,27.1306,DOWN,0
2001-02-16,27.4127,27.7542,29.819,27.3899,27.108,DOWN,0
2001-02-20,27.3189,27.3859,29.7817,27.4167,27.0961,DOWN,0
2001-02-21,26.9908,27.6537,29.7426,27.3256,27.0902,DOWN,0
2001-02-22,26.5221,27.185,29.702,27.2011,27.0775,DOWN,0
2001-02-23,25.9664,26.1137,29.6611,26.8422,27.0561,UP,1
2001-02-26,26.3279,25.8124,29.6257,26.6252,27.0336,DOWN,0
2001-02-27,26.0802,26.7833,29.5868,26.3775,27.0011,DOWN,0
2001-02-28,25.6852,26.1472,29.5433,26.1164,26.9641,DOWN,0
2001-03-01,25.645,25.578,29.4991,25.9409,26.9464,UP,1
2001-03-02,26.5087,25.645,29.4561,26.0494,26.9409,UP,1
2001-03-05,26.5422,25.7119,29.4113,26.0923,26.9478,UP,1
2001-03-06,27.0444,27.0511,29.3689,26.2851,26.9949,UP,1
2001-03-07,27.4328,27.4528,29.3353,26.6346,27.0455,DOWN,0
2001-03-08,27.4194,27.4395,29.3036,26.9895,27.0817,DOWN,0
2001-03-09,26.8502,27.5868,29.2713,27.0578,27.1014,DOWN,0
2001-03-12,26.0601,26.8502,29.2346,26.9614,27.0953,DOWN,0
2001-03-13,25.7722,26.1137,29.1988,26.7069,27.0893,DOWN,0
2001-03-14,25.0557,25.7722,29.1619,26.2315,27.0472,UP,1
2001-03-15,25.0691,25.1763,29.1217,25.7615,27.0314,DOWN,0
2001-03-16,24.4665,24.6741,29.0884,25.2847,26.965,UP,1
2001-03-19,24.7745,24.4732,29.0488,25.0276,26.903,DOWN,0
2001-03-20,24.4464,24.9084,29.0041,24.7625,26.8496,DOWN,0
2001-03-21,23.6094,24.3393,28.956,24.4732,26.7769,DOWN,0
2001-03-22,23.1742,23.7768,28.9034,24.0942,26.7097,UP,1
2001-03-23,24.1384,23.9375,28.8598,24.0286,26.6602,UP,1
2001-03-26,25.1026,24.1183,28.8209,24.0942,26.6274,UP,1
2001-03-27,25.3236,24.9754,28.781,24.2697,26.5873,DOWN,0
2001-03-28,24.4397,25.0424,28.7426,24.4357,26.5137,DOWN,0
2001-03-29,23.9308,24.2054,28.6986,24.587,26.4324,UP,1
2001-03-30,23.9978,24.0982,28.6558,24.5589,26.3499,DOWN,0
2001-04-02,23.8706,24.3393,28.6145,24.3125,26.2607,DOWN,0
2001-04-03,23.201,23.7367,28.5729,23.888,26.1748,UP,1
2001-04-04,23.8974,22.7658,28.5392,23.7795,26.1062,UP,1
2001-04-05,24.7276,24.4062,28.5158,23.9389,26.0517,DOWN,0
2001-04-06,24.1585,24.7276,28.4857,23.971,25.9925,UP,1
2001-04-09,24.2589,24.3058,28.4553,24.0487,25.942,UP,1
2001-04-10,24.7879,24.4397,28.4323,24.3661,25.9008,DOWN,0
2001-04-11,24.0782,24.9419,28.4067,24.4022,25.83,UP,1
2001-04-12,24.2522,24.0782,28.3836,24.3072,25.7607,DOWN,0
2001-04-16,24.1384,24.4196,28.3572,24.3031,25.6912,DOWN,0
2001-04-17,23.7969,23.4354,28.3388,24.2107,25.621,UP,1
2001-04-18,25.9329,24.0648,28.3326,24.4397,25.5857,UP,1
2001-04-19,26.656,26.2811,28.3249,24.9553,25.5682,DOWN,0
2001-04-20,26.107,26.2811,28.3169,25.3263,25.5413,DOWN,0
2001-04-23,25.6249,26.3815,28.3042,25.6235,25.5037,DOWN,0
2001-04-24,25.3704,25.578,28.2854,25.9383,25.4701,DOWN,0
2001-04-25,25.1294,25.3102,28.265,25.7776,25.429,UP,1
2001-04-26,25.5111,25.2968,28.2459,25.5486,25.3903,UP,1
2001-04-27,26.0132,25.6182,28.2261,25.5298,25.3676,UP,1
2001-04-30,26.1606,25.9798,28.2033,25.6369,25.3356,UP,1
2001-05-01,26.5958,26.0467,28.1794,25.882,25.3193,UP,1
2001-05-02,26.636,26.5958,28.1586,26.1833,25.3056,DOWN,0
2001-05-03,25.4441,26.482,28.1291,26.1699,25.2747,UP,1
2001-05-04,25.6249,25.4776,28.1036,26.0923,25.2568,DOWN,0
2001-05-07,25.5512,25.645,28.0742,25.9704,25.2484,DOWN,0
2001-05-08,25.2968,25.4441,28.0448,25.7106,25.2278,DOWN,0
2001-05-09,25.1428,25.2968,28.0123,25.412,25.2091,UP,1
2001-05-10,25.3704,25.1428,27.9802,25.3972,25.2028,DOWN,0
2001-05-11,25.2633,25.3704,27.9508,25.3249,25.1952,UP,1
2001-05-14,25.2767,25.2633,27.9194,25.27,25.1705,UP,1
2001-05-15,25.4106,25.1763,27.892,25.2928,25.1479,UP,1
2001-05-16,26.1606,25.4776,27.8695,25.4963,25.1302,UP,1
2001-05-17,26.7364,26.3279,27.8494,25.7695,25.1163,UP,1
2001-05-18,27.5064,26.8502,27.8329,26.2181,25.118,UP,1
2001-05-21,28.1693,27.5868,27.8227,26.7967,25.1444,UP,1
2001-05-22,28.7451,28.0889,27.8157,27.4636,25.1981,DOWN,0
2001-05-23,28.7251,28.6246,27.806,27.9765,25.2572,UP,1
2001-05-24,29.0063,28.6246,27.793,28.4304,25.3362,DOWN,0
2001-05-25,28.9393,28.859,27.7825,28.717,25.4136,DOWN,0
2001-05-29,28.3903,28.8924,27.7681,28.7612,25.492,DOWN,0
