ticker,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-09-24,22.6467,23.0733,20.9234,23.1267,21.6411,DOWN,0
2007-09-25,21.16,22.4333,20.9224,22.6987,21.6165,UP,1
2007-09-26,21.9133,21.3333,20.9262,22.3987,21.6036,UP,1
2007-09-27,22.18,21.9,20.9309,22.208,21.6095,DOWN,0
2007-09-28,21.9,22.24,20.9347,21.96,21.6133,UP,1
2007-10-01,22.62,21.7933,20.9423,21.9547,21.6387,UP,1
2007-10-02,23.0933,22.7267,20.953,22.3413,21.6719,DOWN,0
2007-10-03,23.06,22.9267,20.9635,22.5707,21.7244,DOWN,0
2007-10-04,22.9267,23.14,20.9734,22.72,21.7531,UP,1
2007-10-05,23.2867,23.0,20.9869,22.9973,21.7987,DOWN,0
2007-10-08,23.2067,23.0867,21.0009,23.1147,21.8453,UP,1
2007-10-09,23.3067,23.3267,21.0152,23.1573,21.892,UP,1
2007-10-10,23.3333,23.3067,21.0309,23.212,21.9497,DOWN,0
2007-10-11,23.2,23.48,21.0465,23.2667,22.0044,UP,1
2007-10-12,23.4867,23.2733,21.0623,23.3067,22.0613,DOWN,0
2007-10-15,22.98,23.4467,21.0747,23.2613,22.1271,DOWN,0
2007-10-16,22.86,22.98,21.0872,23.172,22.1745,DOWN,0
2007-10-17,22.6933,22.9533,21.0997,23.044,22.2155,DOWN,0
2007-10-18,22.6333,22.4733,21.1104,22.9307,22.2392,DOWN,0
2007-10-19,21.6733,22.56,21.1168,22.568,22.248,UP,1
2007-10-22,21.78,21.2467,21.1249,22.328,22.2619,UP,1
2007-10-23,21.86,21.8533,21.1329,22.128,22.2783,UP,1
2007-10-24,23.2,23.0467,21.1461,22.2293,22.3289,DOWN,0
2007-10-25,22.98,23.4733,21.1572,22.2987,22.39,UP,1
2007-10-26,24.1333,23.3733,21.1724,22.7907,22.4593,DOWN,0
2007-10-29,23.6533,24.2733,21.185,23.1653,22.5035,UP,1
2007-10-30,24.1067,23.4867,21.2005,23.6147,22.5583,UP,1
2007-10-31,24.8333,24.2,21.2206,23.9413,22.6203,DOWN,0
2007-11-01,23.4,24.2,21.2336,24.0253,22.6484,DOWN,0
2007-11-02,22.8533,23.6667,21.2428,23.7693,22.6705,DOWN,0
2007-11-05,22.1733,22.4067,21.2495,23.4733,22.6689,UP,1
2007-11-06,22.52,22.4667,21.2573,23.156,22.6859,DOWN,0
