ticker,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-24,5.0391,5.0938,4.6469,5.0094,4.692,UP,1
2001-01-25,5.2578,5.0156,4.6484,5.0578,4.7066,DOWN,0
2001-01-26,5.2578,5.2344,4.6497,5.1313,4.72,UP,1
2001-01-29,5.3563,5.2513,4.6505,5.2056,4.7359,DOWN,0
2001-01-30,5.2625,5.3125,4.6512,5.2347,4.7478,UP,1
2001-01-31,5.275,5.275,4.6533,5.2819,4.7623,UP,1
2001-02-01,5.325,5.275,4.6562,5.2953,4.7789,UP,1
2001-02-02,5.3913,5.3125,4.6587,5.322,4.7966,DOWN,0
2001-02-05,5.3763,5.3763,4.6606,5.326,4.8147,UP,1
2001-02-06,5.6,5.4,4.6639,5.3935,4.8386,DOWN,0
2001-02-07,5.5375,5.6,4.667,5.446,4.8581,DOWN,0
2001-02-08,5.5,5.375,4.6684,5.481,4.8764,DOWN,0
2001-02-09,5.3738,5.5313,4.6692,5.4775,4.8931,UP,1
2001-02-12,5.4063,5.4,4.6707,5.4835,4.9093,UP,1
2001-02-13,5.4238,5.3813,4.6716,5.4483,4.9262,DOWN,0
2001-02-14,5.42,5.4238,4.6724,5.4248,4.9428,UP,1
2001-02-15,5.4275,5.395,4.6733,5.4103,4.963,DOWN,0
2001-02-16,5.4175,5.4188,4.6753,5.419,4.9829,DOWN,0
2001-02-20,5.3575,5.4175,4.6765,5.4093,5.0017,DOWN,0
2001-02-21,5.3125,5.295,4.6769,5.387,5.0199,DOWN,0
2001-02-22,5.2538,5.3125,4.6775,5.3538,5.0341,UP,1
2001-02-23,5.3438,5.25,4.6778,5.337,5.0524,UP,1
2001-02-26,5.4875,5.325,4.6786,5.351,5.0752,UP,1
2001-02-27,5.5363,5.475,4.6788,5.3868,5.1002,DOWN,0
2001-02-28,5.4625,5.5388,4.679,5.4168,5.1235,DOWN,0
2001-03-01,5.4125,5.4375,4.6792,5.4485,5.1449,UP,1
2001-03-02,5.625,5.3938,4.6798,5.5047,5.1708,DOWN,0
2001-03-05,5.5988,5.6563,4.6805,5.527,5.1967,UP,1
2001-03-06,5.6325,5.625,4.6815,5.5463,5.2246,UP,1
2001-03-07,5.6588,5.6438,4.6829,5.5855,5.2505,UP,1
2001-03-08,5.7263,5.6625,4.6855,5.6483,5.2753,DOWN,0
2001-03-09,5.7,5.7375,4.6881,5.6633,5.2952,DOWN,0
2001-03-12,5.6225,5.6875,4.6903,5.668,5.3093,DOWN,0
2001-03-13,5.5063,5.65,4.6921,5.6427,5.3194,DOWN,0
2001-03-14,5.3938,5.4375,4.6942,5.5897,5.3273,DOWN,0
2001-03-15,5.375,5.4,4.6956,5.5195,5.3354,DOWN,0
2001-03-16,5.2638,5.3875,4.6971,5.4322,5.3346,UP,1
2001-03-19,5.4063,5.275,4.6987,5.389,5.335,DOWN,0
2001-03-20,5.225,5.3875,4.6995,5.3328,5.3364,DOWN,0
2001-03-21,5.06,5.2438,4.6992,5.266,5.3336,DOWN,0
2001-03-22,4.8625,5.0563,4.6984,5.1635,5.3308,UP,1
2001-03-23,5.035,4.8625,4.6985,5.1178,5.3326,UP,1
2001-03-26,5.225,5.025,4.7001,5.0815,5.3365,UP,1
2001-03-27,5.29,5.2188,4.7029,5.0945,5.3424,DOWN,0
2001-03-28,5.1725,5.275,4.7046,5.117,5.3459,DOWN,0
2001-03-29,5.0125,5.1413,4.7056,5.147,5.3443,DOWN,0
2001-03-30,5.0088,5.025,4.707,5.1417,5.3441,DOWN,0
2001-04-02,5.0088,5.0275,4.7089,5.0985,5.3465,DOWN,0
2001-04-03,4.95,5.015,4.7113,5.0305,5.3458,UP,1
2001-04-04,5.0413,4.9488,4.7138,5.0042,5.3443,UP,1
2001-04-05,5.1137,5.0413,4.717,5.0245,5.3458,UP,1
2001-04-06,5.1425,5.1875,4.7204,5.0512,5.3435,UP,1
2001-04-09,5.2563,5.1563,4.7241,5.1008,5.3434,UP,1
2001-04-10,5.4063,5.3,4.7282,5.192,5.3444,DOWN,0
2001-04-11,5.275,5.4063,4.7316,5.2387,5.3447,UP,1
2001-04-12,5.4,5.2938,4.7356,5.296,5.3472,UP,1
2001-04-16,5.475,5.4488,4.7398,5.3625,5.3502,UP,1
2001-04-17,5.525,5.4625,4.7444,5.4163,5.3529,UP,1
2001-04-18,5.6125,5.535,4.7505,5.4575,5.3576,UP,1
2001-04-19,5.7063,5.625,4.7559,5.5437,5.3597,DOWN,0
2001-04-20,5.7063,5.75,4.7615,5.605,5.3631,DOWN,0
2001-04-23,5.6263,5.6875,4.7667,5.6352,5.3656,UP,1
2001-04-24,5.6625,5.625,4.7726,5.6628,5.3714,DOWN,0
2001-04-25,5.6263,5.625,4.7776,5.6655,5.3758,DOWN,0
2001-04-26,5.61,5.625,4.7826,5.6462,5.3795,DOWN,0
