ticker,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-03-01,124.6,124.05,140.6658,125.514,131.9719,DOWN,0
2001-03-02,123.61,122.5,140.5504,125.244,131.7897,UP,1
2001-03-05,124.74,124.15,140.4483,124.668,131.6842,UP,1
2001-03-06,126.08,126.35,140.3618,124.596,131.6808,UP,1
2001-03-07,126.98,126.9,140.2911,125.202,131.6779,UP,1
2001-03-08,127.12,126.6,140.2264,125.706,131.6015,DOWN,0
2001-03-09,123.36,126.1,140.1532,125.656,131.4218,DOWN,0
2001-03-12,118.08,122.34,140.0423,124.324,131.1172,UP,1
2001-03-13,120.02,119.4,139.9532,123.112,130.8432,DOWN,0
2001-03-14,117.65,117.05,139.8515,121.246,130.5725,UP,1
2001-03-15,117.68,118.45,139.7274,119.358,130.3498,DOWN,0
2001-03-16,115.01,117.13,139.5884,117.688,129.95,UP,1
2001-03-19,117.35,115.76,139.4485,117.542,129.6261,DOWN,0
2001-03-20,114.2,117.9,139.2803,116.378,129.3263,DOWN,0
2001-03-21,112.26,114.18,139.106,115.3,128.9678,DOWN,0
2001-03-22,111.12,112.02,138.9293,113.988,128.5933,UP,1
2001-03-23,114.48,113.25,138.7642,113.882,128.2404,UP,1
2001-03-26,115.94,115.7,138.6094,113.6,127.9142,UP,1
2001-03-27,118.31,115.62,138.468,114.422,127.6404,DOWN,0
2001-03-28,115.04,116.9,138.3188,114.978,127.2843,UP,1
2001-03-29,115.48,114.56,138.1582,115.85,126.9249,UP,1
2001-03-30,116.69,115.55,138.0025,116.292,126.563,DOWN,0
2001-04-02,114.2,116.3,137.8327,115.944,126.1667,DOWN,0
2001-04-03,110.39,113.98,137.6517,114.36,125.6764,UP,1
2001-04-04,110.85,110.578,137.4636,113.522,125.174,UP,1
2001-04-05,115.05,113.3,137.2991,113.436,124.7475,DOWN,0
2001-04-06,113.3,113.991,137.1263,112.758,124.2929,UP,1
2001-04-09,114.56,114.0,136.9709,112.83,123.8666,UP,1
2001-04-10,116.65,115.45,136.8323,114.082,123.4676,UP,1
2001-04-11,116.73,118.78,136.6848,115.258,123.0462,UP,1
2001-04-12,118.85,116.3,136.5533,116.018,122.6828,DOWN,0
2001-04-16,117.6,118.29,136.4135,116.878,122.2762,UP,1
2001-04-17,119.26,117.31,136.2888,117.818,121.9654,UP,1
2001-04-18,124.0,121.06,136.1824,119.288,121.7296,UP,1
2001-04-19,125.65,124.25,136.0743,121.072,121.5348,DOWN,0
2001-04-20,124.5,124.9,135.9736,122.202,121.331,DOWN,0
2001-04-23,122.24,123.65,135.8561,123.13,121.1134,DOWN,0
2001-04-24,121.58,122.52,135.7235,123.594,120.9082,UP,1
2001-04-25,123.17,121.42,135.6001,123.428,120.7046,UP,1
2001-04-26,123.72,123.73,135.478,123.042,120.5338,UP,1
2001-04-27,125.78,124.92,135.3612,123.298,120.4082,DOWN,0
2001-04-30,124.91,126.45,135.2369,123.832,120.2396,UP,1
2001-05-01,127.05,125.07,135.1159,124.926,120.1726,DOWN,0
2001-05-02,126.82,127.41,134.995,125.656,120.1412,DOWN,0
2001-05-03,125.21,126.13,134.8722,125.954,120.133,UP,1
2001-05-04,127.34,123.65,134.7661,126.266,120.1636,DOWN,0
2001-05-07,126.24,126.86,134.6442,126.532,120.1892,DOWN,0
2001-05-08,126.18,126.86,134.5366,126.358,120.1604,DOWN,0
2001-05-09,125.65,125.25,134.4307,126.124,120.1446,UP,1
2001-05-10,126.02,127.26,134.3242,126.286,120.186,DOWN,0
2001-05-11,125.15,126.0,134.2206,125.848,120.197,UP,1
2001-05-14,125.4,124.9,134.1207,125.68,120.2328,UP,1
2001-05-15,125.98,125.55,134.0401,125.64,120.2576,UP,1
2001-05-16,128.95,124.84,133.9699,126.3,120.315,UP,1
2001-05-17,129.15,129.005,133.8963,126.926,120.3584,UP,1
2001-05-18,129.74,129.09,133.822,127.844,120.4108,UP,1
2001-05-21,131.65,129.84,133.7523,129.094,120.5766,DOWN,0
2001-05-22,131.48,131.83,133.6778,130.194,120.8446,DOWN,0
2001-05-23,129.25,131.05,133.5834,130.254,121.0292,UP,1
2001-05-24,129.63,129.47,133.4881,130.35,121.2688,DOWN,0
2001-05-25,128.1,129.65,133.3914,130.022,121.4772,DOWN,0
2001-05-29,127.08,128.226,133.2932,129.108,121.7186,DOWN,0
2001-05-30,125.3,126.59,133.1827,127.872,121.8776,UP,1
2001-05-31,125.95,125.43,133.0661,127.212,122.1126,UP,1
2001-06-01,126.73,126.2,132.9539,126.632,122.402,UP,1
2001-06-04,127.34,126.8,132.8475,126.48,122.7264,UP,1
2001-06-05,128.8,127.49,132.7406,126.824,123.0128,DOWN,0
2001-06-06,127.73,128.83,132.6308,127.31,123.2486,UP,1
2001-06-07,128.19,127.05,132.5192,127.758,123.4462,DOWN,0
2001-06-08,127.0,127.7,132.403,127.812,123.6854,DOWN,0
2001-06-11,126.1,126.71,132.2793,127.564,123.8978,DOWN,0
2001-06-12,125.88,124.86,132.1521,126.98,124.0816,DOWN,0
2001-06-13,124.8,126.17,132.0198,126.394,124.2936,DOWN,0
