ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-10,32.73,33.0,23.9597,32.664,29.7711,DOWN,0
2000-10-11,32.73,32.5,24.0255,32.596,29.8432,UP,1
2000-10-12,33.0,32.6,24.0912,32.666,29.9282,UP,1
2000-10-13,33.62,33.25,24.1577,33.034,30.0331,DOWN,0
2000-10-16,33.55,33.62,24.2161,33.126,30.1279,DOWN,0
2000-10-17,33.0,33.75,24.2798,33.18,30.1991,DOWN,0
2000-10-18,32.24,32.75,24.3363,33.082,30.2602,UP,1
2000-10-19,32.51,31.9,24.3936,32.984,30.3204,UP,1
2000-10-20,34.01,32.1,24.4568,33.062,30.4081,UP,1
2000-10-23,34.15,33.9,24.5203,33.182,30.4986,DOWN,0
2000-10-24,34.15,34.85,24.5879,33.412,30.5966,UP,1
2000-10-25,34.85,34.3,24.6625,33.934,30.7173,UP,1
2000-10-26,35.03,35.02,24.7317,34.438,30.8579,DOWN,0
2000-10-27,34.55,34.35,24.8007,34.546,30.9952,UP,1
2000-10-30,35.0,35.0,24.8732,34.716,31.1364,UP,1
2000-10-31,35.85,35.0,24.9525,35.056,31.2846,DOWN,0
2000-11-01,35.39,35.6,25.026,35.164,31.4087,DOWN,0
2000-11-02,35.0,35.2,25.0982,35.158,31.5412,DOWN,0
2000-11-03,32.3,34.65,25.1547,34.708,31.6185,UP,1
2000-11-06,33.51,32.5,25.2244,34.41,31.7149,DOWN,0
2000-11-07,33.37,33.76,25.295,33.914,31.816,DOWN,0
2000-11-08,32.79,33.21,25.3586,33.394,31.9206,DOWN,0
2000-11-09,32.15,32.9,25.4222,32.824,32.0073,DOWN,0
2000-11-10,31.89,32.4,25.4873,32.742,32.0777,DOWN,0
2000-11-13,31.76,31.89,25.5536,32.392,32.1516,UP,1
2000-11-14,32.5,31.51,25.6226,32.218,32.2366,UP,1
2000-11-15,32.96,32.36,25.694,32.252,32.3183,UP,1
2000-11-16,33.23,32.71,25.767,32.468,32.3792,UP,1
2000-11-17,33.59,33.2,25.8394,32.808,32.4522,UP,1
2000-11-20,33.63,33.99,25.9138,33.182,32.5286,UP,1
2000-11-21,34.36,33.6,25.9937,33.554,32.6257,DOWN,0
2000-11-22,33.9,34.36,26.0713,33.742,32.71,UP,1
2000-11-24,34.35,34.15,26.1515,33.966,32.8095,DOWN,0
2000-11-27,32.95,34.35,26.2287,33.838,32.8772,UP,1
2000-11-28,33.8,33.2,26.3074,33.872,32.967,UP,1
2000-11-29,34.9,33.44,26.3913,33.98,33.0913,DOWN,0
2000-11-30,34.1,33.75,26.4731,34.02,33.1983,DOWN,0
2000-12-01,31.4,33.8,26.5401,33.43,33.2075,UP,1
2000-12-04,33.7,31.9,26.6214,33.58,33.274,UP,1
2000-12-05,33.72,33.95,26.7,33.564,33.3484,DOWN,0
2000-12-06,31.38,33.5,26.7678,32.86,33.336,UP,1
2000-12-07,32.07,31.3,26.8403,32.454,33.3202,UP,1
2000-12-08,32.26,32.0,26.9129,32.626,33.3242,DOWN,0
2000-12-11,31.62,32.15,26.9835,32.21,33.298,DOWN,0
2000-12-12,30.5,31.2,27.0488,31.566,33.266,DOWN,0
2000-12-13,30.2,31.25,27.1114,31.33,33.2168,UP,1
2000-12-14,30.79,30.2,27.1797,31.074,33.1712,UP,1
2000-12-15,31.24,30.6,27.2509,30.87,33.143,UP,1
2000-12-18,32.03,31.25,27.321,30.952,33.148,DOWN,0
2000-12-19,31.36,31.78,27.3913,31.124,33.1134,UP,1
2000-12-20,31.95,31.4,27.4629,31.474,33.0978,UP,1
2000-12-21,32.1,31.95,27.5378,31.736,33.0852,UP,1
2000-12-22,32.5,32.6,27.6162,31.988,33.0752,UP,1
2000-12-26,32.92,32.15,27.6961,32.166,33.0612,UP,1
2000-12-27,33.26,31.75,27.7793,32.546,33.0554,UP,1
2000-12-28,34.25,33.0,27.8649,33.006,33.0804,DOWN,0
2000-12-29,33.95,34.4,27.9444,33.376,33.1146,UP,1
2001-01-02,34.1,33.95,28.0249,33.696,33.1464,DOWN,0
2001-01-03,33.65,33.5,28.1043,33.842,33.1392,DOWN,0
2001-01-04,33.4,33.4,28.1847,33.87,33.1242,DOWN,0
2001-01-05,32.85,33.0,28.2634,33.59,33.0982,UP,1
2001-01-08,32.91,32.6,28.3426,33.382,33.0594,UP,1
2001-01-09,34.24,32.25,28.4263,33.41,33.0436,DOWN,0
2001-01-10,33.77,33.6,28.5061,33.434,33.028,DOWN,0
2001-01-11,33.59,33.25,28.5803,33.472,32.9998,DOWN,0
2001-01-12,33.55,33.84,28.6518,33.612,32.9538,DOWN,0
2001-01-16,33.4,33.55,28.7144,33.71,32.914,DOWN,0
2001-01-17,32.02,32.9,28.7723,33.266,32.8544,DOWN,0
2001-01-18,31.95,32.5,28.8299,32.902,32.8474,DOWN,0
2001-01-19,31.73,31.0,28.887,32.53,32.8118,UP,1
2001-01-22,33.26,31.6,28.9486,32.472,32.8096,DOWN,0
2001-01-23,33.0,32.75,29.0077,32.392,32.8138,DOWN,0
2001-01-24,32.0,32.75,29.0623,32.388,32.8108,UP,1
2001-01-25,34.51,33.5,29.1293,32.9,32.8632,UP,1
2001-01-26,34.88,34.95,29.1993,33.53,32.9256,UP,1
2001-01-29,35.05,34.6,29.2642,33.888,32.9766,DOWN,0
2001-01-30,34.74,34.85,29.3298,34.236,33.0122,DOWN,0
2001-01-31,34.68,34.95,29.3998,34.772,33.0412,UP,1
2001-02-01,36.21,34.68,29.4743,35.112,33.0936,UP,1
2001-02-02,36.4,36.25,29.5513,35.416,33.149,DOWN,0
2001-02-05,36.3,35.65,29.6284,35.666,33.1878,DOWN,0
2001-02-06,35.94,36.31,29.6946,35.906,33.2286,UP,1
2001-02-07,36.13,36.15,29.7459,36.196,33.2642,UP,1
2001-02-08,36.63,35.8,29.8013,36.28,33.3378,DOWN,0
2001-02-09,36.13,36.95,29.8613,36.226,33.3844,DOWN,0
2001-02-12,34.9,36.3,29.9164,35.946,33.3844,UP,1
2001-02-13,36.91,34.9,29.9766,36.14,33.4406,DOWN,0
2001-02-14,35.82,36.85,30.0207,36.078,33.529,DOWN,0
2001-02-15,35.69,35.39,30.0688,35.89,33.5688,UP,1
2001-02-16,36.25,35.69,30.1223,35.914,33.6194,UP,1
2001-02-20,37.48,36.94,30.1781,36.43,33.7414,DOWN,0
2001-02-21,36.85,37.65,30.2314,36.418,33.837,UP,1
2001-02-22,37.75,37.1,30.2898,36.804,33.9468,DOWN,0
2001-02-23,36.95,37.0,30.3446,37.056,34.0534,UP,1
2001-02-26,37.98,36.9,30.4042,37.402,34.203,UP,1
2001-02-27,38.0,37.65,30.4632,37.506,34.359,DOWN,0
2001-02-28,37.46,37.95,30.5215,37.628,34.4924,DOWN,0
2001-03-01,36.73,37.1,30.577,37.424,34.6022,UP,1
2001-03-02,38.3,36.35,30.6426,37.694,34.7276,UP,1
2001-03-05,38.44,37.9,30.712,37.786,34.8692,DOWN,0
2001-03-06,37.38,39.0,30.7745,37.662,34.9778,UP,1
2001-03-07,39.05,37.75,30.8482,37.98,35.1168,DOWN,0
2001-03-08,38.6,38.95,30.9234,38.354,35.2388,DOWN,0
2001-03-09,38.56,38.7,30.9905,38.406,35.3516,UP,1
2001-03-12,38.99,38.31,31.0602,38.516,35.4662,DOWN,0
2001-03-13,38.34,38.6,31.1303,38.708,35.548,DOWN,0
2001-03-14,37.64,37.75,31.1982,38.426,35.6218,DOWN,0
2001-03-15,37.5,37.25,31.2619,38.206,35.6898,DOWN,0
2001-03-16,37.0,36.5,31.3235,37.894,35.7568,DOWN,0
