ticker,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2019-05-31,43.42,44.24,59.9584,45.386,52.7034,UP,1
2019-06-03,45.3,43.49,59.824,44.934,52.5094,UP,1
2019-06-04,47.0,45.66,59.6995,44.95,52.3684,DOWN,0
2019-06-05,46.62,47.49,59.5683,45.396,52.236,DOWN,0
2019-06-06,46.56,46.55,59.4386,45.78,52.1054,UP,1
2019-06-07,47.69,46.75,59.3148,46.634,51.9896,UP,1
2019-06-10,47.99,47.81,59.1932,47.172,51.879,UP,1
2019-06-11,48.23,48.2,59.0741,47.418,51.7578,DOWN,0
2019-06-12,48.08,48.13,58.9544,47.71,51.621,UP,1
2019-06-13,49.03,48.15,58.8354,48.204,51.5096,DOWN,0
2019-06-14,48.88,49.04,58.719,48.442,51.3818,UP,1
2019-06-17,49.25,49.04,58.6042,48.694,51.2646,UP,1
2019-06-18,49.74,49.68,58.4876,48.996,51.1404,UP,1
2019-06-19,51.27,50.27,58.4114,49.634,51.061,UP,1
2019-06-20,52.41,51.9,58.327,50.31,51.007,UP,1
2019-06-21,53.09,52.58,58.2541,51.152,50.9508,UP,1
2019-06-24,53.41,52.98,58.1857,51.984,50.9264,UP,1
2019-06-25,54.27,53.39,58.1179,52.89,50.921,UP,1
2019-06-26,54.84,54.38,58.0559,53.604,50.9144,UP,1
2019-06-27,55.41,55.07,57.996,54.204,50.9162,UP,1
2019-06-28,56.26,55.44,57.9445,54.838,51.0204,DOWN,0
2019-07-01,56.09,56.94,57.8871,55.374,51.0976,UP,1
2019-07-02,56.74,56.0,57.8142,55.868,51.2104,UP,1
2019-07-03,57.4,57.14,57.7473,56.38,51.2978,UP,1
2019-07-05,58.27,57.16,57.6868,56.952,51.3826,DOWN,0
2019-07-08,55.51,57.82,57.6108,56.802,51.415,DOWN,0
2019-07-09,52.55,52.56,57.5228,56.094,51.3538,UP,1
2019-07-10,54.65,52.74,57.444,55.676,51.3238,UP,1
2019-07-11,56.41,55.69,57.3764,55.478,51.3472,UP,1
2019-07-12,56.9,56.41,57.3102,55.204,51.3732,UP,1
2019-07-15,56.95,56.9,57.2453,55.492,51.382,UP,1
2019-07-16,57.7,56.95,57.1831,56.522,51.3962,DOWN,0
2019-07-17,56.65,55.9,57.1102,56.922,51.3734,UP,1
2019-07-18,56.74,56.46,57.0357,56.988,51.3762,DOWN,0
2019-07-19,56.05,56.7,56.9458,56.818,51.462,UP,1
2019-07-22,58.8,59.31,56.876,57.188,51.5904,UP,1
2019-07-23,59.3,59.09,56.8104,57.508,51.7342,UP,1
2019-07-24,59.56,59.19,56.7441,58.09,51.9018,DOWN,0
2019-07-25,58.93,59.16,56.6785,58.528,52.0556,UP,1
2019-07-26,59.4,58.59,56.609,59.198,52.2392,UP,1
2019-07-29,59.66,59.4,56.5331,59.37,52.4324,UP,1
2019-07-30,60.1,59.24,56.4685,59.53,52.6498,DOWN,0
2019-07-31,59.85,60.26,56.4169,59.588,52.8694,DOWN,0
2019-08-01,59.34,59.85,56.369,59.67,53.0642,UP,1
2019-08-02,60.1,60.43,56.3197,59.81,53.2812,DOWN,0
2019-08-05,58.63,59.1,56.2607,59.604,53.4908,UP,1
2019-08-06,58.96,59.1,56.2137,59.376,53.7188,UP,1
2019-08-07,59.75,58.15,56.1677,59.356,53.9754,UP,1
2019-08-08,59.79,60.0,56.1284,59.446,54.2834,DOWN,0
2019-08-09,59.69,59.8,56.0919,59.364,54.5844,DOWN,0
2019-08-12,59.02,59.47,56.0475,59.442,54.8964,UP,1
2019-08-13,59.39,58.8,56.0178,59.528,55.1782,DOWN,0
2019-08-14,58.17,58.8,55.982,59.212,55.4016,UP,1
2019-08-15,58.36,58.28,55.9484,58.926,55.6364,DOWN,0
2019-08-16,57.82,58.0,55.907,58.552,55.8616,DOWN,0
2019-08-19,56.97,57.1,55.8581,58.142,56.0472,DOWN,0
2019-08-20,55.91,57.16,55.8009,57.446,56.2056,UP,1
2019-08-21,56.58,56.46,55.7412,57.128,56.3726,DOWN,0
2019-08-22,55.96,56.76,55.6827,56.648,56.5302,DOWN,0
2019-08-23,54.7,55.52,55.6133,56.024,56.6436,UP,1
2019-08-26,55.05,55.02,55.5423,55.64,56.767,DOWN,0
2019-08-27,53.78,55.3,55.4308,55.214,56.8576,UP,1
2019-08-28,54.47,53.67,55.3524,54.792,56.9522,UP,1
2019-08-29,55.51,54.87,55.2815,54.702,57.037,UP,1
2019-08-30,56.37,55.75,55.2223,55.036,57.1162,UP,1
2019-09-03,58.54,56.37,55.1927,55.734,57.2252,UP,1
2019-09-04,59.15,59.5,55.1667,56.808,57.34,DOWN,0
2019-09-05,57.98,59.66,55.1334,57.51,57.4142,UP,1
2019-09-06,59.37,57.94,55.1181,58.282,57.5048,UP,1
2019-09-09,61.17,59.52,55.1217,59.242,57.62,UP,1
2019-09-10,61.66,60.78,55.1365,59.866,57.728,DOWN,0
2019-09-11,59.81,60.48,55.1374,59.998,57.8024,UP,1
2019-09-12,60.3,60.0,55.1406,60.462,57.8736,UP,1
2019-09-13,61.86,60.83,55.146,60.96,57.9628,UP,1
2019-09-16,63.28,61.65,55.149,61.382,58.063,DOWN,0
2019-09-17,61.65,63.2,55.1292,61.38,58.1858,DOWN,0
2019-09-18,61.3,61.44,55.1074,61.678,58.3608,DOWN,0
2019-09-19,59.75,61.4,55.0759,61.568,58.4628,UP,1
2019-09-20,60.04,59.91,55.0442,61.204,58.5354,DOWN,0
2019-09-23,59.35,59.97,55.0206,60.418,58.5844,DOWN,0
2019-09-24,57.37,59.3,54.9983,59.562,58.5928,UP,1
2019-09-25,57.78,57.27,54.9924,58.858,58.5944,DOWN,0
2019-09-26,56.0,57.78,54.9824,58.108,58.5814,UP,1
2019-09-27,56.32,56.35,54.9761,57.364,58.573,UP,1
2019-09-30,57.07,56.47,54.9689,56.908,58.5934,DOWN,0
2019-10-01,56.66,57.07,54.9552,56.766,58.5506,DOWN,0
2019-10-02,55.6,56.18,54.9431,56.33,58.4766,UP,1
2019-10-03,55.87,55.41,54.9389,56.304,58.4028,UP,1
2019-10-04,56.0,55.93,54.9435,56.24,58.3442,DOWN,0
2019-10-07,55.67,55.9,54.955,55.96,58.2696,DOWN,0
2019-10-08,54.2,55.49,54.9699,55.468,58.1604,UP,1
2019-10-09,55.21,54.69,54.9968,55.39,58.0626,UP,1
2019-10-10,55.82,55.28,55.0323,55.38,57.982,UP,1
2019-10-11,56.44,56.75,55.0604,55.468,57.924,DOWN,0
2019-10-14,55.67,56.24,55.0853,55.468,57.8354,UP,1
2019-10-15,56.72,56.0,55.1171,55.972,57.7972,UP,1
2019-10-16,57.01,56.71,55.1448,56.332,57.7582,UP,1
2019-10-17,57.85,56.99,55.1754,56.738,57.7202,UP,1
2019-10-18,58.69,57.73,55.214,57.188,57.6982,DOWN,0
2019-10-21,58.66,58.72,55.2373,57.786,57.6776,UP,1
2019-10-22,59.21,58.42,55.2615,58.284,57.6814,DOWN,0
2019-10-23,59.12,59.4,55.2868,58.706,57.676,DOWN,0
2019-10-24,58.05,59.05,55.3074,58.746,57.6736,DOWN,0
2019-10-25,57.83,57.66,55.3208,58.574,57.663,UP,1
2019-10-28,57.84,57.94,55.3296,58.41,57.6634,UP,1
2019-10-29,58.95,58.12,55.3446,58.358,57.703,UP,1
2019-10-30,58.97,58.94,55.3556,58.328,57.7642,DOWN,0
2019-10-31,58.6,58.94,55.3622,58.438,57.8046,UP,1
2019-11-01,59.54,58.89,55.3764,58.78,57.8762,UP,1
2019-11-04,61.48,60.17,55.3969,59.508,58.0118,UP,1
2019-11-05,62.44,61.98,55.4248,60.206,58.1596,UP,1
2019-11-06,70.51,67.62,55.4926,62.514,58.4942,DOWN,0
2019-11-07,69.19,70.0,55.5566,64.632,58.7886,UP,1
2019-11-08,69.85,69.15,55.6204,66.694,59.0754,DOWN,0
2019-11-11,69.43,69.27,55.6872,68.284,59.3366,UP,1
2019-11-12,69.93,69.16,55.7538,69.782,59.5644,DOWN,0
2019-11-13,69.3,69.68,55.8211,69.54,59.7674,DOWN,0
2019-11-14,68.93,69.28,55.8851,69.488,59.9864,UP,1
2019-11-15,70.83,69.13,55.9578,69.684,60.2156,UP,1
2019-11-18,71.04,70.85,56.03,70.006,60.413,UP,1
2019-11-19,72.41,71.63,56.1078,70.502,60.628,UP,1
2019-11-20,72.5,72.41,56.1895,71.142,60.8818,DOWN,0
2019-11-21,72.09,72.4,56.2648,71.774,61.1176,UP,1
2019-11-22,72.48,71.67,56.3466,72.104,61.33,UP,1
2019-11-25,73.39,72.4,56.4336,72.574,61.5322,DOWN,0
2019-11-26,72.58,73.48,56.5097,72.608,61.7508,UP,1
2019-11-27,72.69,72.59,56.5835,72.646,61.9786,DOWN,0
2019-11-29,71.77,72.56,56.6519,72.582,62.219,UP,1
2019-12-02,71.93,71.78,56.7161,72.472,62.4568,UP,1
2019-12-03,72.29,71.21,56.7818,72.252,62.7156,UP,1
2019-12-04,72.56,72.37,56.8493,72.248,63.0194,DOWN,0
2019-12-05,72.51,72.65,56.9158,72.212,63.314,UP,1
2019-12-06,72.7,72.76,56.9858,72.398,63.648,DOWN,0
2019-12-09,72.11,72.56,57.0552,72.434,63.9638,UP,1
2019-12-10,72.31,71.88,57.1268,72.438,64.2686,UP,1
2019-12-11,72.63,72.22,57.2053,72.452,64.588,UP,1
2019-12-12,73.24,72.63,57.287,72.598,64.9408,DOWN,0
2019-12-13,72.71,73.58,57.3653,72.6,65.2776,DOWN,0
2019-12-16,72.48,73.36,57.4505,72.674,65.6072,DOWN,0
2019-12-17,71.58,72.4,57.5429,72.528,65.9254,UP,1
2019-12-18,73.45,71.9,57.655,72.692,66.3104,UP,1
2019-12-19,73.75,73.59,57.771,72.794,66.6812,DOWN,0
2019-12-20,73.7,73.85,57.8898,72.992,67.0388,UP,1
2019-12-23,74.23,73.7,58.0086,73.342,67.3946,UP,1
2019-12-24,75.02,74.37,58.127,74.03,67.7816,DOWN,0
2019-12-26,74.77,75.03,58.2329,74.294,68.1426,DOWN,0
2019-12-27,74.75,74.87,58.3387,74.494,68.4974,DOWN,0
2019-12-30,74.08,74.74,58.4415,74.57,68.822,UP,1
2019-12-31,75.03,73.91,58.5563,74.73,69.1488,UP,1
2020-01-02,75.25,75.26,58.663,74.776,69.4806,DOWN,0
2020-01-03,75.08,74.16,58.7698,74.838,69.798,UP,1
2020-01-06,75.55,74.84,58.8726,74.998,70.1266,DOWN,0
2020-01-07,75.11,75.18,58.9779,75.204,70.4678,UP,1
2020-01-08,75.53,75.08,59.0893,75.304,70.8218,UP,1
2020-01-09,75.58,75.64,59.2018,75.37,71.1766,UP,1
2020-01-10,75.95,75.86,59.3141,75.544,71.5166,UP,1
2020-01-13,76.92,76.1,59.4311,75.818,71.8756,UP,1
2020-01-14,77.75,77.11,59.5484,76.346,72.2586,UP,1
2020-01-15,78.05,77.59,59.6641,76.85,72.6288,UP,1
2020-01-16,78.99,78.39,59.786,77.532,72.979,UP,1
2020-01-17,79.47,79.13,59.907,78.236,73.3196,UP,1
2020-01-21,79.9,79.47,60.031,78.832,73.5074,UP,1
2020-01-22,80.55,79.95,60.154,79.392,73.7346,DOWN,0
2020-01-23,80.5,80.24,60.2803,79.882,73.9476,UP,1
2020-01-24,83.19,82.11,60.4207,80.722,74.2228,DOWN,0
2020-01-27,82.03,82.1,60.5513,81.234,74.4648,UP,1
2020-01-28,82.9,82.4,60.6927,81.834,74.7368,UP,1
2020-01-29,83.08,82.85,60.8354,82.34,75.0198,DOWN,0
2020-01-30,82.66,82.47,60.9728,82.772,75.2564,DOWN,0
2020-01-31,79.87,82.15,61.0956,82.108,75.433,DOWN,0
2020-02-03,79.22,80.0,61.2364,81.546,75.5692,UP,1
2020-02-04,80.67,80.24,61.3786,81.1,75.7326,UP,1
2020-02-05,82.17,80.72,61.534,80.918,75.9342,UP,1
2020-02-06,83.07,82.53,61.6842,81.0,76.146,DOWN,0
2020-02-07,81.34,82.86,61.8207,81.294,76.305,UP,1
2020-02-10,82.75,81.36,61.965,82.0,76.5084,UP,1
2020-02-11,88.5,84.0,62.1295,83.566,76.8246,DOWN,0
2020-02-12,87.0,89.65,62.2837,84.532,77.1292,DOWN,0
2020-02-13,86.24,86.65,62.4387,85.166,77.4154,DOWN,0
2020-02-14,85.98,86.41,62.5906,86.094,77.6892,DOWN,0
2020-02-18,85.4,85.7,62.735,86.624,77.946,UP,1
2020-02-19,85.49,85.5,62.8775,86.022,78.2056,DOWN,0
2020-02-20,84.65,85.03,63.0118,85.552,78.4446,DOWN,0
2020-02-21,84.09,84.23,63.1493,85.122,78.6842,DOWN,0
2020-02-24,82.86,82.71,63.3048,84.498,78.8952,DOWN,0
2020-02-25,81.05,83.16,63.4481,83.628,79.0636,DOWN,0
2020-02-26,81.04,81.6,63.5928,82.738,79.2196,DOWN,0
2020-02-27,79.23,79.0,63.733,81.654,79.35,DOWN,0
2020-02-28,77.62,76.99,63.8649,80.36,79.4528,UP,1
2020-03-02,82.23,77.76,64.025,80.234,79.6658,DOWN,0
2020-03-03,77.56,82.08,64.1628,79.536,79.748,UP,1
2020-03-04,82.7,80.05,64.3301,79.868,79.927,DOWN,0
2020-03-05,81.11,80.56,64.4914,80.244,80.0752,UP,1
2020-03-06,81.84,78.77,64.6525,81.088,80.2274,DOWN,0
2020-03-09,77.2,76.04,64.7923,80.082,80.271,UP,1
2020-03-10,77.72,79.29,64.9401,80.114,80.33,DOWN,0
2020-03-11,74.87,75.9,65.0767,78.548,80.3324,DOWN,0
2020-03-12,68.25,70.06,65.1834,75.976,80.2158,UP,1
2020-03-13,75.95,71.39,65.3412,74.798,80.2342,DOWN,0
