ticker,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-08,22.875,22.4688,22.196,22.5313,20.4831,UP,1
2000-12-11,22.9375,23.0,22.217,22.7,20.5725,UP,1
2000-12-12,23.2813,23.125,22.2435,22.85,20.6669,DOWN,0
2000-12-13,22.9375,22.9375,22.2715,22.9125,20.7425,UP,1
2000-12-14,23.1875,22.75,22.3013,23.0438,20.81,UP,1
2000-12-15,23.3438,23.6875,22.3262,23.1375,20.8838,UP,1
2000-12-18,23.4063,23.1875,22.3532,23.2313,20.9619,UP,1
2000-12-19,23.8125,23.625,22.3868,23.3375,21.0463,DOWN,0
2000-12-20,22.9375,23.5,22.4134,23.3375,21.1175,UP,1
2000-12-21,23.6875,22.9375,22.4453,23.4375,21.2175,UP,1
2000-12-22,24.3438,23.6875,22.4767,23.6375,21.3288,UP,1
2000-12-26,24.5625,24.3438,22.5087,23.8688,21.4631,UP,1
2000-12-27,25.4063,24.9688,22.5473,24.1875,21.5913,UP,1
2000-12-28,25.5,25.1875,22.5759,24.7,21.7325,DOWN,0
2000-12-29,24.375,25.375,22.5938,24.8375,21.8494,DOWN,0
2001-01-02,23.75,24.5,22.6131,24.7188,21.9594,UP,1
2001-01-03,24.625,23.75,22.6273,24.7313,22.0794,DOWN,0
2001-01-04,24.5,24.5625,22.6417,24.55,22.195,DOWN,0
2001-01-05,23.5,24.5,22.6548,24.15,22.2738,UP,1
2001-01-08,23.8438,23.5313,22.6665,24.0438,22.37,DOWN,0
2001-01-09,23.0625,23.625,22.6746,23.9063,22.4388,UP,1
2001-01-10,23.125,22.9375,22.6807,23.6063,22.5056,DOWN,0
2001-01-11,22.5625,23.125,22.6835,23.2188,22.5275,UP,1
2001-01-12,22.625,22.6875,22.6862,23.0438,22.5513,UP,1
2001-01-16,23.0313,22.375,22.6873,22.8813,22.5938,DOWN,0
2001-01-17,22.875,23.0313,22.6879,22.8438,22.6319,DOWN,0
2001-01-18,22.7188,22.875,22.6815,22.7625,22.6575,DOWN,0
2001-01-19,22.2188,22.4375,22.6753,22.6938,22.6713,UP,1
2001-01-22,22.2813,22.1563,22.6701,22.625,22.6838,UP,1
2001-01-23,22.3125,22.2813,22.6645,22.4813,22.6963,DOWN,0
2001-01-24,22.125,22.5,22.6599,22.3313,22.7113,UP,1
2001-01-25,22.1875,22.0,22.6528,22.225,22.7306,DOWN,0
2001-01-26,21.5938,21.625,22.6401,22.1,22.7381,UP,1
2001-01-29,22.375,21.595,22.6296,22.1188,22.7456,UP,1
2001-01-30,23.25,22.625,22.6251,22.3063,22.7656,UP,1
2001-01-31,23.355,23.25,22.627,22.5523,22.8084,UP,1
2001-02-01,23.485,23.4,22.6296,22.8118,22.8518,UP,1
2001-02-02,23.67,23.6,22.6356,23.227,22.9046,UP,1
2001-02-05,24.185,24.075,22.6462,23.589,22.9664,DOWN,0
2001-02-06,24.15,24.06,22.6509,23.769,23.035,UP,1
2001-02-07,24.55,24.5,22.6563,24.008,23.1066,DOWN,0
2001-02-08,24.51,24.475,22.6587,24.213,23.1781,DOWN,0
2001-02-09,24.505,24.75,22.6656,24.38,23.2532,UP,1
2001-02-12,24.63,24.41,22.6726,24.469,23.3152,UP,1
2001-02-13,25.25,24.63,22.6681,24.689,23.3883,DOWN,0
2001-02-14,24.83,24.9,22.661,24.745,23.4412,UP,1
2001-02-15,25.625,24.705,22.6573,24.968,23.5118,DOWN,0
2001-02-16,24.84,25.475,22.6519,25.035,23.558,DOWN,0
2001-02-20,24.785,24.89,22.6454,25.066,23.6012,DOWN,0
2001-02-21,24.42,24.76,22.637,24.9,23.6389,DOWN,0
2001-02-22,24.25,24.32,22.6297,24.784,23.6664,UP,1
2001-02-23,24.5,24.235,22.6231,24.559,23.6977,UP,1
