ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-11-06,6.25,6.0313,6.0661,6.0852,6.2691,UP,1
2000-11-07,6.4688,6.3438,6.0796,6.1789,6.2676,DOWN,0
2000-11-08,6.3906,6.3906,6.0916,6.2664,6.2607,DOWN,0
2000-11-09,6.2813,6.4258,6.1035,6.3,6.2501,DOWN,0
2000-11-10,6.25,6.25,6.1147,6.3281,6.2445,UP,1
2000-11-13,6.4063,6.0938,6.1279,6.3594,6.2376,DOWN,0
2000-11-14,5.7969,6.3281,6.1366,6.225,6.2263,UP,1
2000-11-15,6.0469,5.9063,6.1463,6.1563,6.2201,DOWN,0
2000-11-16,5.5781,6.0313,6.1523,6.0156,6.202,UP,1
2000-11-17,6.1094,5.75,6.1607,5.9875,6.1948,DOWN,0
2000-11-20,5.7344,6.0313,6.167,5.8531,6.1773,UP,1
2000-11-21,5.75,5.7188,6.1721,5.8438,6.1604,DOWN,0
2000-11-22,5.6094,5.7813,6.1778,5.7563,6.1388,UP,1
2000-11-24,5.7188,5.7344,6.1838,5.7844,6.1198,UP,1
2000-11-27,5.7813,5.957,6.1903,5.7188,6.106,DOWN,0
2000-11-28,5.4844,5.8594,6.1948,5.6688,6.0841,DOWN,0
2000-11-29,5.2656,5.4844,6.1985,5.5719,6.0607,UP,1
2000-11-30,5.6875,5.3438,6.2016,5.5875,6.0463,UP,1
2000-12-01,5.7813,5.6875,6.2047,5.6,6.0338,DOWN,0
2000-12-04,5.5625,5.7813,6.2077,5.5563,6.0163,DOWN,0
2000-12-05,5.4375,5.5781,6.2094,5.5469,6.0026,DOWN,0
2000-12-06,5.2969,5.4219,6.2072,5.5531,5.9832,UP,1
2000-12-07,5.5313,5.3711,6.2044,5.5219,5.9682,DOWN,0
2000-12-08,5.3906,5.5625,6.1962,5.4438,5.9385,DOWN,0
2000-12-11,5.1563,5.375,6.1862,5.3625,5.9079,DOWN,0
2000-12-12,5.1563,5.0938,6.1751,5.3063,5.8888,UP,1
2000-12-13,5.3906,5.1875,6.1656,5.325,5.8757,UP,1
2000-12-14,5.625,5.293,6.1579,5.3438,5.8698,DOWN,0
2000-12-15,5.2188,5.5703,6.1477,5.3094,5.8523,UP,1
2000-12-18,5.2813,5.2969,6.1387,5.3344,5.8407,DOWN,0
2000-12-19,5.2813,5.2813,6.1304,5.3594,5.8382,DOWN,0
2000-12-20,5.1406,5.3125,6.1212,5.3094,5.832,UP,1
2000-12-21,5.2813,5.125,6.1119,5.2406,5.8288,UP,1
2000-12-22,5.3906,5.4063,6.104,5.275,5.8254,UP,1
2000-12-26,5.5469,5.4375,6.0986,5.3281,5.8257,UP,1
2000-12-27,5.9844,5.5156,6.0965,5.4688,5.8223,UP,1
2000-12-28,6.0625,5.8906,6.0935,5.6531,5.8266,DOWN,0
2000-12-29,5.5,6.1094,6.0858,5.6969,5.8173,UP,1
2001-01-02,5.5625,5.625,6.0813,5.7313,5.7979,UP,1
2001-01-03,6.1563,5.5625,6.0791,5.8531,5.7863,DOWN,0
2001-01-04,5.5625,6.1094,6.0731,5.7688,5.7641,DOWN,0
2001-01-05,5.2969,5.5313,6.0658,5.6156,5.746,UP,1
2001-01-08,5.3125,5.2969,6.0585,5.5781,5.727,UP,1
2001-01-09,5.4219,5.3438,6.052,5.55,5.7091,UP,1
2001-01-10,5.6875,5.4063,6.047,5.4563,5.6982,DOWN,0
2001-01-11,5.6602,5.625,6.0425,5.4758,5.6892,UP,1
2001-01-12,5.75,5.6094,6.0394,5.5664,5.6842,UP,1
2001-01-16,5.9531,5.8125,6.0417,5.6945,5.6842,DOWN,0
