ticker,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-12-04,47.59,46.84,44.5125,47.258,48.1432,UP,1
2007-12-05,48.72,47.98,44.546,47.678,48.1198,DOWN,0
2007-12-06,48.09,48.91,44.5758,47.804,48.0796,UP,1
2007-12-07,48.2,48.0,44.6044,48.026,48.0476,UP,1
2007-12-10,49.68,48.64,44.6419,48.456,48.0418,DOWN,0
2007-12-11,49.1,49.33,44.6834,48.758,48.0274,UP,1
2007-12-12,49.5,49.97,44.7252,48.914,48.0192,UP,1
2007-12-13,50.33,49.4,44.7753,49.362,48.033,DOWN,0
2007-12-14,49.56,49.84,44.8241,49.634,48.0248,DOWN,0
2007-12-17,48.55,49.58,44.8727,49.408,47.9846,UP,1
2007-12-18,49.78,48.52,44.9249,49.544,47.9652,DOWN,0
2007-12-19,49.68,49.63,44.9786,49.58,47.9438,UP,1
2007-12-20,50.5,50.0,45.0384,49.614,47.9398,UP,1
2007-12-21,50.99,50.9,45.1007,49.9,47.9604,UP,1
2007-12-24,51.02,50.7,45.1635,50.394,47.9648,UP,1
2007-12-26,51.04,50.85,45.2315,50.646,47.9886,DOWN,0
2007-12-27,49.85,51.1,45.2919,50.68,48.002,UP,1
2007-12-28,50.26,49.75,45.3552,50.632,48.0398,DOWN,0
2007-12-31,49.76,50.1,45.417,50.386,48.0536,DOWN,0
2008-01-02,48.24,49.64,45.4691,49.83,48.0792,DOWN,0
2008-01-03,47.84,48.29,45.5153,49.19,48.0862,DOWN,0
2008-01-04,45.7,47.7,45.5453,48.36,48.0558,UP,1
2008-01-07,46.72,45.88,45.5842,47.652,48.0464,DOWN,0
2008-01-08,44.82,47.0,45.6164,46.664,47.9978,DOWN,0
2008-01-09,44.39,44.84,45.6481,45.894,47.9326,UP,1
2008-01-10,44.66,44.09,45.6826,45.258,47.8716,DOWN,0
2008-01-11,43.18,44.11,45.7106,44.754,47.796,UP,1
2008-01-14,44.32,43.6,45.7464,44.274,47.7044,DOWN,0
2008-01-15,42.65,43.81,45.7717,43.84,47.6014,DOWN,0
2008-01-16,42.49,41.2,45.7929,43.46,47.475,DOWN,0
2008-01-17,40.89,42.5,45.8049,42.706,47.3308,UP,1
2008-01-18,41.24,40.49,45.8167,42.318,47.1614,DOWN,0
2008-01-22,40.11,39.41,45.8195,41.476,46.9952,UP,1
2008-01-23,40.75,39.45,45.8291,41.096,46.863,UP,1
2008-01-24,42.44,40.59,45.8396,41.086,46.7886,DOWN,0
2008-01-25,41.3,42.77,45.8491,41.168,46.7178,DOWN,0
2008-01-28,41.14,41.31,45.8566,41.148,46.5808,DOWN,0
2008-01-29,40.78,41.27,45.8643,41.282,46.4458,UP,1
2008-01-30,40.97,40.45,45.8706,41.326,46.316,UP,1
2008-01-31,41.15,40.39,45.8773,41.068,46.2108,UP,1
2008-02-01,41.96,41.84,45.8886,41.2,46.1286,DOWN,0
2008-02-04,41.22,42.02,45.8967,41.216,46.0262,DOWN,0
2008-02-05,39.85,40.59,45.8977,41.03,45.9186,DOWN,0
