ticker,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-11-08,78.68,79.21,77.376,77.4755,68.6021,UP,1
2016-11-09,79.76,77.27,78.026,77.5433,68.7026,DOWN,0
2016-11-10,77.79,80.64,78.296,77.5647,68.7896,UP,1
2016-11-11,79.29,78.14,78.816,77.5973,68.8732,UP,1
2016-11-14,79.83,79.71,79.07,77.6465,68.9609,UP,1
2016-11-15,80.2,79.84,79.374,77.7175,69.067,UP,1
2016-11-16,80.98,79.77,79.618,77.8035,69.1806,UP,1
2016-11-17,81.64,81.27,80.388,77.9251,69.2975,UP,1
2016-11-18,81.83,81.66,80.896,78.0933,69.4066,UP,1
2016-11-21,82.86,84.0,81.502,78.2429,69.5391,UP,1
2016-11-22,83.95,83.41,82.252,78.4281,69.6778,UP,1
2016-11-23,84.0,84.15,82.856,78.6149,69.8153,UP,1
2016-11-25,84.34,83.89,83.396,78.7975,69.9557,DOWN,0
2016-11-28,83.72,84.31,83.774,78.9595,70.0905,DOWN,0
2016-11-29,83.1,83.78,83.822,79.1023,70.2155,DOWN,0
2016-11-30,82.04,83.13,83.44,79.2317,70.3316,DOWN,0
2016-12-01,76.5,81.7,81.94,79.2327,70.4235,UP,1
2016-12-02,76.65,76.39,80.402,79.2185,70.5148,UP,1
2016-12-05,77.98,77.07,79.254,79.2475,70.6108,UP,1
2016-12-06,78.28,77.79,78.29,79.2859,70.7111,UP,1
2016-12-07,79.35,78.23,77.752,79.3045,70.8214,UP,1
2016-12-08,80.81,79.62,78.614,79.342,70.9362,DOWN,0
2016-12-09,80.33,81.36,79.35,79.3696,71.0442,DOWN,0
2016-12-12,80.08,80.13,79.77,79.3612,71.1493,UP,1
2016-12-13,83.04,85.62,80.722,79.4382,71.2632,DOWN,0
2016-12-14,82.84,82.89,81.42,79.5138,71.3748,UP,1
2016-12-15,84.21,83.21,82.1,79.5976,71.4936,DOWN,0
2016-12-16,83.27,84.59,82.688,79.6568,71.6009,UP,1
2016-12-19,84.11,83.65,83.494,79.7336,71.7139,UP,1
2016-12-20,85.43,84.61,83.972,79.8324,71.8468,DOWN,0
2016-12-21,84.58,85.69,84.32,79.9416,71.9708,DOWN,0
2016-12-22,84.31,84.92,84.34,80.0656,72.0941,UP,1
2016-12-23,84.56,84.56,84.598,80.2188,72.2115,UP,1
2016-12-27,85.02,84.41,84.78,80.3758,72.335,DOWN,0
2016-12-28,83.23,85.56,84.34,80.5102,72.4527,DOWN,0
2016-12-29,83.22,83.49,84.068,80.635,72.5667,DOWN,0
2016-12-30,81.93,83.3,83.592,80.7312,72.6734,UP,1
2017-01-03,83.61,82.89,83.402,80.8646,72.7788,DOWN,0
2017-01-04,83.03,83.95,83.004,80.9734,72.8867,DOWN,0
2017-01-05,82.76,82.71,82.91,81.0412,72.9928,UP,1
2017-01-06,83.94,82.67,83.054,81.1364,73.1079,UP,1
2017-01-09,85.4,84.13,83.748,81.2592,73.2288,UP,1
2017-01-10,85.57,85.09,84.14,81.3904,73.3521,UP,1
2017-01-11,86.32,86.0,84.798,81.5574,73.4728,DOWN,0
