ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-20,31.1442,30.1042,29.7925,32.2999,33.2322,UP,1
2000-10-23,31.4331,31.1442,29.7809,31.8376,33.2114,UP,1
2000-10-24,33.5711,31.6643,29.7905,31.9185,33.2218,UP,1
2000-10-25,33.8022,33.6866,29.8084,32.0803,33.238,DOWN,0
2000-10-26,33.1088,33.86,29.8202,32.6119,33.2311,UP,1
2000-10-27,33.6288,32.7621,29.8358,33.1088,33.2207,UP,1
2000-10-30,33.8022,33.3977,29.8552,33.5826,33.238,UP,1
2000-10-31,34.4956,33.4555,29.8852,33.7675,33.2692,DOWN,0
2000-11-01,34.0333,34.9578,29.9127,33.8137,33.2912,DOWN,0
2000-11-02,33.5711,33.2821,29.9424,33.9062,33.2819,DOWN,0
2000-11-03,33.2244,33.051,29.9748,33.8253,33.2565,DOWN,0
2000-11-06,32.9355,33.2821,29.9999,33.6519,33.2218,UP,1
2000-11-07,33.2821,33.3977,30.0228,33.4093,33.1941,UP,1
2000-11-08,33.7444,33.9755,30.0459,33.3515,33.1698,DOWN,0
2000-11-09,33.2821,34.2066,30.0696,33.2937,33.1525,DOWN,0
2000-11-10,32.011,32.8199,30.0918,33.051,33.1209,DOWN,0
2000-11-13,31.7798,32.2421,30.1138,32.8199,33.0805,UP,1
2000-11-14,31.8954,32.011,30.1317,32.5425,33.0239,UP,1
2000-11-15,32.011,31.8954,30.1513,32.1959,32.943,DOWN,0
2000-11-16,30.6242,31.6065,30.1623,31.6643,32.8713,UP,1
2000-11-17,31.1442,31.2598,30.1753,31.4909,32.8286,DOWN,0
2000-11-20,30.8553,31.6065,30.1872,31.306,32.7881,DOWN,0
2000-11-21,30.7398,30.3931,30.2013,31.0749,32.7465,UP,1
2000-11-22,31.0287,30.7398,30.2241,30.8784,32.7211,UP,1
2000-11-24,31.202,31.0287,30.2504,30.994,32.6934,DOWN,0
2000-11-27,31.202,31.4331,30.2819,31.0056,32.6714,DOWN,0
2000-11-28,30.9131,31.0864,30.3039,31.0171,32.6569,UP,1
2000-11-29,31.7798,30.9709,30.3287,31.2251,32.6604,UP,1
2000-11-30,31.8376,31.722,30.3585,31.3869,32.6777,UP,1
2000-12-01,32.531,32.7621,30.3894,31.6527,32.7101,UP,1
2000-12-04,33.9755,32.1265,30.4342,32.2074,32.7633,DOWN,0
2000-12-05,33.8022,34.1489,30.4746,32.7852,32.8222,DOWN,0
2000-12-06,33.1088,33.6288,30.5145,33.051,32.8731,DOWN,0
2000-12-07,32.8777,32.7621,30.557,33.259,32.9112,UP,1
2000-12-08,33.3977,32.7043,30.6032,33.4324,32.9274,DOWN,0
2000-12-11,33.1088,33.1088,30.648,33.259,32.9239,UP,1
2000-12-12,33.6288,33.051,30.6971,33.2244,32.9343,UP,1
2000-12-13,34.0911,33.4555,30.7476,33.4208,32.9331,DOWN,0
2000-12-14,33.3977,33.9755,30.7967,33.5248,32.9158,DOWN,0
2000-12-15,32.5888,33.051,30.8381,33.363,32.8673,UP,1
2000-12-18,33.8022,32.6465,30.8901,33.5017,32.8395,UP,1
2000-12-19,35.0156,33.9177,30.9533,33.7791,32.8338,DOWN,0
2000-12-20,34.3222,35.5934,31.0102,33.8253,32.8118,UP,1
2000-12-21,35.6512,35.0156,31.0738,34.276,32.821,UP,1
2000-12-22,36.8646,35.1312,31.1429,35.1312,32.8765,UP,1
2000-12-26,37.7891,36.8646,31.2177,35.9285,32.9678,UP,1
2000-12-27,38.9447,37.6735,31.2974,36.7144,33.0718,DOWN,0
2000-12-28,38.6558,38.0202,31.3642,37.5811,33.1816,DOWN,0
2000-12-29,37.9047,38.7136,31.4165,38.0318,33.2798,DOWN,0
2001-01-02,37.3846,37.558,31.476,38.1358,33.4185,UP,1
2001-01-03,37.6735,37.7891,31.5349,38.1127,33.5491,UP,1
2001-01-04,38.1936,37.558,31.5941,37.9624,33.6843,DOWN,0
2001-01-05,37.7313,38.4247,31.6577,37.7775,33.7675,DOWN,0
2001-01-08,37.6735,37.6158,31.7152,37.7313,33.8449,DOWN,0
2001-01-09,36.3446,36.9802,31.7631,37.5233,33.9097,UP,1
2001-01-10,36.5179,36.6913,31.8166,37.2922,33.9674,DOWN,0
2001-01-11,35.1889,36.3446,31.8628,36.6913,33.9952,DOWN,0
2001-01-12,34.6111,35.2467,31.9044,36.0672,33.9975,DOWN,0
2001-01-16,34.4378,33.7444,31.9437,35.4201,34.0056,DOWN,0
2001-01-17,34.0911,34.9,31.9827,34.9694,34.016,DOWN,0
2001-01-18,33.86,33.9755,32.0128,34.4378,34.0287,DOWN,0
2001-01-19,33.2244,33.3977,32.0414,34.0449,34.0345,UP,1
2001-01-22,33.5711,33.5133,32.072,33.8368,34.0402,DOWN,0
2001-01-23,33.5711,33.5711,32.1032,33.6635,34.0368,UP,1
2001-01-24,34.1489,33.3399,32.1387,33.6751,34.0541,UP,1
2001-01-25,34.5533,34.2066,32.1754,33.8137,34.105,DOWN,0
2001-01-26,33.6288,34.3222,32.2005,33.8946,34.1419,UP,1
2001-01-29,34.2621,33.3931,32.2254,34.0328,34.1893,UP,1
2001-01-30,35.1681,35.0387,32.2623,34.3523,34.2524,DOWN,0
2001-01-31,34.9185,35.0479,32.3031,34.5062,34.3383,UP,1
