ticker,LW US Equity,LW US Equity,LW US Equity,LW US Equity,LW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-02-28,54.09,54.58,54.312,56.676,49.8345,UP,1
2018-03-01,54.46,54.08,54.454,56.6552,49.8921,UP,1
2018-03-02,55.37,54.23,54.586,56.6402,49.9466,UP,1
2018-03-05,55.88,55.21,54.838,56.6408,50.0052,UP,1
2018-03-06,56.82,55.85,55.324,56.6576,50.0696,DOWN,0
2018-03-07,56.31,56.31,55.768,56.6752,50.1292,UP,1
2018-03-08,56.67,56.36,56.21,56.6922,50.1897,UP,1
2018-03-09,57.33,56.99,56.602,56.7352,50.2552,DOWN,0
2018-03-12,57.26,57.46,56.878,56.7712,50.3141,DOWN,0
2018-03-13,56.47,57.32,56.808,56.7834,50.3683,DOWN,0
2018-03-14,56.08,56.75,56.762,56.776,50.4204,DOWN,0
2018-03-15,55.62,56.22,56.552,56.781,50.4676,UP,1
2018-03-16,55.66,55.72,56.218,56.773,50.5139,DOWN,0
2018-03-19,55.47,55.52,55.86,56.738,50.5546,UP,1
2018-03-20,55.69,55.67,55.704,56.6978,50.5962,DOWN,0
2018-03-21,55.36,55.53,55.56,56.6338,50.6394,DOWN,0
2018-03-22,54.58,55.0,55.352,56.5646,50.679,DOWN,0
2018-03-23,54.05,54.75,55.03,56.4882,50.7147,UP,1
2018-03-26,56.43,54.53,55.222,56.4568,50.7643,DOWN,0
2018-03-27,56.0,57.31,55.284,56.4112,50.8142,UP,1
2018-03-28,56.39,55.97,55.49,56.3686,50.869,UP,1
2018-03-29,58.22,56.76,56.218,56.3462,50.9302,DOWN,0
2018-04-02,58.07,58.5,57.022,56.327,50.9926,UP,1
2018-04-03,59.13,58.44,57.562,56.3088,51.0616,UP,1
2018-04-04,59.43,58.73,58.248,56.2914,51.1334,UP,1
2018-04-05,61.47,62.0,59.264,56.3144,51.213,UP,1
2018-04-06,61.78,61.3,59.976,56.3526,51.2933,UP,1
2018-04-09,62.29,62.18,60.82,56.4136,51.3756,UP,1
2018-04-10,63.77,63.0,61.748,56.493,51.4665,DOWN,0
2018-04-11,63.76,63.33,62.614,56.5864,51.5575,DOWN,0
2018-04-12,63.32,63.84,62.984,56.6878,51.6474,UP,1
2018-04-13,64.12,63.63,63.452,56.7982,51.7446,UP,1
2018-04-16,64.73,64.25,63.94,56.9448,51.8414,UP,1
2018-04-17,65.5,64.85,64.286,57.119,51.9482,UP,1
2018-04-18,65.51,65.5,64.636,57.3024,52.0556,DOWN,0
2018-04-19,65.25,65.47,65.022,57.4914,52.1625,UP,1
2018-04-20,65.36,65.25,65.27,57.66,52.273,UP,1
2018-04-23,65.66,65.64,65.456,57.8786,52.3868,DOWN,0
2018-04-24,65.44,66.04,65.444,58.0982,52.4985,UP,1
2018-04-25,65.85,65.33,65.512,58.3136,52.614,UP,1
2018-04-26,66.41,66.04,65.744,58.551,52.7271,UP,1
2018-04-27,66.59,66.54,65.99,58.798,52.8401,DOWN,0
2018-04-30,65.32,66.57,65.922,58.9964,52.9478,DOWN,0
2018-05-01,64.97,65.03,65.828,59.1842,53.0544,DOWN,0
2018-05-02,64.14,64.91,65.486,59.3812,53.1552,DOWN,0
2018-05-03,64.04,64.11,65.012,59.5918,53.2547,UP,1
2018-05-04,65.09,63.94,64.712,59.8186,53.3583,UP,1
2018-05-07,66.21,65.37,64.89,60.0486,53.4679,UP,1
2018-05-08,66.66,66.07,65.228,60.2894,53.5762,UP,1
2018-05-09,67.73,66.75,65.946,60.5562,53.6911,UP,1
2018-05-10,68.03,68.28,66.744,60.835,53.8029,DOWN,0
2018-05-11,67.93,68.18,67.312,61.1044,53.9211,DOWN,0
2018-05-14,67.62,68.1,67.594,61.3494,54.0399,DOWN,0
2018-05-15,67.31,67.25,67.724,61.578,54.1574,DOWN,0
2018-05-16,67.14,67.28,67.606,61.7844,54.2732,DOWN,0
2018-05-17,67.0,67.17,67.4,61.9982,54.388,DOWN,0
2018-05-18,66.79,66.67,67.172,62.2006,54.5031,DOWN,0
2018-05-21,66.74,67.16,66.996,62.3888,54.6207,DOWN,0
2018-05-22,65.04,66.28,66.542,62.5444,54.7278,UP,1
2018-05-23,65.16,64.83,66.146,62.7182,54.8343,UP,1
2018-05-24,65.2,65.16,65.786,62.9006,54.9425,UP,1
2018-05-25,65.43,65.13,65.514,63.0968,55.0521,DOWN,0
2018-05-29,64.56,64.98,65.078,63.2748,55.1532,UP,1
2018-05-30,65.0,64.81,65.07,63.4654,55.2542,DOWN,0
