ticker,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-03-06,47.75,48.35,45.491,46.454,50.0725,DOWN,0
2001-03-07,47.5,47.8,45.5538,46.878,50.0525,DOWN,0
2001-03-08,47.1,47.6,45.6172,47.248,50.007,DOWN,0
2001-03-09,45.91,47.5,45.6692,47.19,49.9052,DOWN,0
2001-03-12,43.68,45.91,45.701,46.388,49.6988,DOWN,0
2001-03-13,42.6,43.68,45.7212,45.358,49.4383,UP,1
2001-03-14,43.4,42.2,45.7532,44.538,49.2188,UP,1
2001-03-15,44.64,43.5,45.7842,44.046,49.0716,DOWN,0
2001-03-16,42.79,44.55,45.8023,43.422,48.8687,DOWN,0
2001-03-19,42.32,42.9,45.8142,43.15,48.6751,DOWN,0
2001-03-20,41.6,42.32,45.8203,42.95,48.4608,UP,1
2001-03-21,42.27,41.75,45.8329,42.724,48.2912,DOWN,0
2001-03-22,38.0,42.0,45.8213,41.396,48.0387,UP,1
2001-03-23,40.1,38.8,45.8168,40.858,47.8307,UP,1
2001-03-26,40.32,40.1,45.8081,40.458,47.5759,UP,1
2001-03-27,40.7,40.1,45.8026,40.278,47.3586,UP,1
2001-03-28,41.3,40.6,45.7975,40.084,47.1896,UP,1
2001-03-29,41.69,41.1,45.7863,40.822,47.0834,DOWN,0
2001-03-30,41.16,41.79,45.7955,41.034,46.9304,DOWN,0
2001-04-02,40.0,41.5,45.8027,40.97,46.7566,UP,1
2001-04-03,40.38,39.85,45.8183,40.906,46.5842,UP,1
2001-04-04,41.09,40.2,45.8416,40.864,46.401,UP,1
2001-04-05,43.3,41.9,45.8706,41.186,46.2333,DOWN,0
2001-04-06,42.01,42.55,45.891,41.356,46.0472,UP,1
2001-04-09,43.4,42.31,45.917,42.036,45.889,DOWN,0
