ticker,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-01-25,30.56,30.17,30.63,29.806,28.8769,DOWN,0
2012-01-26,29.93,30.55,30.394,29.8368,28.8771,UP,1
2012-01-27,29.97,29.89,30.23,29.88,28.8779,DOWN,0
2012-01-30,29.83,29.71,30.088,29.917,28.8787,UP,1
2012-01-31,29.98,29.98,30.054,29.9576,28.8787,UP,1
2012-02-01,30.51,30.18,30.044,29.9952,28.8813,DOWN,0
2012-02-02,30.38,30.49,30.134,30.024,28.8841,UP,1
2012-02-03,31.01,30.83,30.342,30.0782,28.8893,UP,1
2012-02-06,31.15,30.85,30.606,30.127,28.893,UP,1
2012-02-07,31.24,31.02,30.858,30.2006,28.8944,UP,1
2012-02-08,31.39,31.24,31.034,30.2722,28.8962,DOWN,0
2012-02-09,31.18,31.44,31.194,30.334,28.893,DOWN,0
2012-02-10,30.83,31.16,31.158,30.3834,28.8887,UP,1
2012-02-13,31.16,31.08,31.16,30.439,28.8863,DOWN,0
2012-02-14,31.07,31.0,31.126,30.4922,28.8849,UP,1
2012-02-15,31.36,31.19,31.12,30.5402,28.8837,UP,1
2012-02-16,31.94,31.37,31.272,30.584,28.8869,UP,1
2012-02-17,32.47,32.16,31.6,30.6504,28.8928,DOWN,0
2012-02-21,32.24,32.65,31.816,30.7074,28.8979,DOWN,0
2012-02-22,32.03,32.35,32.008,30.7714,28.9027,UP,1
2012-02-23,32.19,31.96,32.174,30.83,28.9067,DOWN,0
2012-02-24,31.98,32.11,32.182,30.89,28.9067,DOWN,0
2012-02-27,31.8,31.77,32.048,30.941,28.911,DOWN,0
2012-02-28,30.37,30.42,31.674,30.9606,28.9056,DOWN,0
2012-02-29,29.99,30.18,31.266,30.9656,28.8987,UP,1
2012-03-01,30.06,30.08,30.84,30.9704,28.8893,DOWN,0
2012-03-02,30.0,30.04,30.444,30.9768,28.8808,DOWN,0
2012-03-05,29.98,29.73,30.08,30.9754,28.872,DOWN,0
2012-03-06,29.66,29.61,29.938,30.971,28.8628,UP,1
2012-03-07,30.12,29.67,29.964,30.9564,28.8565,DOWN,0
2012-03-08,30.04,30.14,29.96,30.9402,28.8531,UP,1
2012-03-09,30.58,30.12,30.076,30.9242,28.8471,DOWN,0
2012-03-12,30.49,30.59,30.178,30.9178,28.8435,UP,1
2012-03-13,31.34,30.69,30.514,30.9298,28.8411,DOWN,0
2012-03-14,31.3,31.3,30.75,30.9436,28.8246,UP,1
2012-03-15,31.61,31.39,31.064,30.9586,28.8214,UP,1
2012-03-16,31.84,31.53,31.316,30.9702,28.8212,UP,1
2012-03-19,31.97,31.78,31.612,30.9856,28.8203,DOWN,0
2012-03-20,31.92,31.74,31.728,31.0038,28.8155,DOWN,0
2012-03-21,31.67,31.91,31.802,31.0112,28.8072,DOWN,0
2012-03-22,31.5,31.99,31.78,31.0128,28.7949,UP,1
2012-03-23,32.0,31.59,31.812,31.0192,28.7844,UP,1
2012-03-26,32.3,32.31,31.878,31.036,28.7765,UP,1
2012-03-27,33.06,32.5,32.106,31.0622,28.7758,UP,1
2012-03-28,33.68,32.95,32.508,31.1104,28.7782,DOWN,0
2012-03-29,33.21,33.52,32.85,31.1496,28.7755,DOWN,0
2012-03-30,32.94,33.25,33.038,31.1862,28.7725,UP,1
2012-04-02,33.09,32.97,33.196,31.2322,28.7688,UP,1
2012-04-03,33.48,33.04,33.28,31.291,28.765,DOWN,0
2012-04-04,32.85,33.11,33.114,31.345,28.759,DOWN,0
2012-04-05,32.69,32.64,33.01,31.3876,28.7522,DOWN,0
2012-04-09,32.15,32.4,32.852,31.432,28.7407,DOWN,0
2012-04-10,31.81,32.16,32.596,31.4688,28.7307,UP,1
2012-04-11,32.55,32.21,32.41,31.5232,28.7287,UP,1
2012-04-12,32.96,32.51,32.432,31.5828,28.7297,DOWN,0
2012-04-13,32.19,32.86,32.332,31.6164,28.7344,UP,1
2012-04-16,32.51,32.36,32.404,31.659,28.7398,UP,1
2012-04-17,33.51,32.81,32.744,31.709,28.7459,DOWN,0
2012-04-18,33.0,33.7,32.834,31.746,28.7559,UP,1
2012-04-19,33.27,32.56,32.896,31.7866,28.7673,DOWN,0
2012-04-20,33.05,33.3,33.068,31.8198,28.7805,DOWN,0
2012-04-23,32.66,32.83,33.098,31.8494,28.791,UP,1
2012-04-24,32.97,32.84,32.99,31.8922,28.8046,UP,1
2012-04-25,33.4,33.23,33.07,31.937,28.8213,DOWN,0
2012-04-26,33.36,33.39,33.088,31.9828,28.836,UP,1
2012-04-27,33.64,33.38,33.206,32.0284,28.8512,DOWN,0
2012-04-30,33.03,33.5,33.28,32.0502,28.8673,UP,1
2012-05-01,33.51,33.12,33.388,32.071,28.8854,DOWN,0
2012-05-02,33.4,33.25,33.388,32.0942,28.9068,DOWN,0
2012-05-03,33.16,33.3,33.348,32.1168,28.9279,DOWN,0
2012-05-04,32.74,33.11,33.168,32.1278,28.9473,DOWN,0
2012-05-07,32.68,32.63,33.098,32.1418,28.965,DOWN,0
2012-05-08,32.64,32.58,32.924,32.1586,28.9835,DOWN,0
2012-05-09,32.38,32.27,32.72,32.1988,29.0012,UP,1
2012-05-10,32.59,32.46,32.606,32.2508,29.018,UP,1
2012-05-11,33.6,32.57,32.778,32.3216,29.043,DOWN,0
2012-05-14,33.22,33.32,32.886,32.386,29.0661,DOWN,0
2012-05-15,32.92,33.18,32.942,32.4448,29.0891,UP,1
2012-05-16,33.61,32.97,33.188,32.5238,29.1146,DOWN,0
2012-05-17,33.0,33.58,33.27,32.5814,29.1406,DOWN,0
2012-05-18,32.45,33.22,33.04,32.6296,29.164,UP,1
2012-05-21,32.72,32.79,32.94,32.6724,29.1912,UP,1
2012-05-22,32.97,32.78,32.95,32.722,29.221,DOWN,0
2012-05-23,32.79,32.72,32.786,32.751,29.2594,UP,1
2012-05-24,32.95,32.91,32.776,32.784,29.2921,DOWN,0
