ticker,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2018-03-05,35.708,34.683,29.2297,34.7198,33.15,35.71
2018-03-06,35.71,35.821,29.2823,34.9818,33.2703,35.606
2018-03-07,35.606,35.55,29.3335,35.2604,33.3853,35.654
2018-03-08,35.654,35.798,29.3826,35.5012,33.4988,36.122
2018-03-09,36.122,35.939,29.4352,35.76,33.6315,35.939
2018-03-12,35.939,36.222,29.4859,35.8062,33.7621,36.31
2018-03-13,36.31,35.895,29.5377,35.9262,33.8971,36.442
2018-03-14,36.442,36.528,29.5904,36.0934,34.0321,36.359
2018-03-15,36.359,36.471,29.6425,36.2344,34.1657,36.78
2018-03-16,36.78,36.505,29.6956,36.366,34.2863,36.602
2018-03-19,36.602,36.554,29.7475,36.4986,34.4001,37.58
2018-03-20,37.58,36.583,29.8043,36.7526,34.5289,37.373
2018-03-21,37.373,37.49,29.8605,36.9388,34.6484,35.788
2018-03-22,35.788,37.029,29.9103,36.8246,34.7349,36.142
2018-03-23,36.142,35.843,29.9611,36.697,34.8288,36.683
2018-03-26,36.683,36.538,30.013,36.7132,34.9279,35.999
2018-03-27,35.999,36.845,30.0668,36.397,35.0038,35.603
2018-03-28,35.603,35.998,30.1205,36.043,35.0778,36.268
2018-03-29,36.268,35.814,30.1768,36.139,35.1592,35.113
2018-04-02,35.113,36.252,30.2259,35.9332,35.1887,35.33
2018-04-03,35.33,35.248,30.2769,35.6626,35.2129,35.905
2018-04-04,35.905,34.854,30.3282,35.6438,35.2471,35.529
2018-04-05,35.529,35.964,30.3756,35.629,35.2572,35.128
2018-04-06,35.128,35.378,30.4208,35.401,35.2542,35.686
2018-04-09,35.686,35.453,30.4698,35.5156,35.2688,36.022
2018-04-10,36.022,36.038,30.5192,35.654,35.2857,35.931
2018-04-11,35.931,35.844,30.5654,35.6592,35.3029,36.773
2018-04-12,36.773,36.039,30.6173,35.908,35.344,36.406
2018-04-13,36.406,36.792,30.668,36.1636,35.3799,36.747
2018-04-16,36.747,36.595,30.719,36.3758,35.4148,37.676
2018-04-17,37.676,36.963,30.7775,36.7066,35.4815,37.773
2018-04-18,37.773,37.839,30.8345,37.075,35.5603,37.755
2018-04-19,37.755,37.683,30.8915,37.2714,35.645,37.693
2018-04-20,37.693,38.006,30.9466,37.5288,35.724,36.886
2018-04-23,36.886,37.735,30.998,37.5566,35.8036,38.501
2018-04-24,38.501,38.026,31.0551,37.7216,35.9176,37.016
2018-04-25,37.016,38.167,31.1032,37.5702,35.9898,37.062
2018-04-26,37.062,37.266,31.1508,37.4316,36.045,36.912
2018-04-27,36.912,37.198,31.1986,37.2754,36.092,36.666
2018-04-30,36.666,36.967,31.2454,37.2314,36.1293,36.898
2018-05-01,36.898,36.644,31.2941,36.9108,36.167,36.83
2018-05-02,36.83,36.875,31.3429,36.8736,36.1999,37.327
2018-05-03,37.327,36.802,31.3931,36.9266,36.2423,37.787
2018-05-04,37.787,37.253,31.4426,37.1016,36.2948,38.601
2018-05-07,38.601,37.75,31.4967,37.4886,36.357,38.653
2018-05-08,38.653,38.405,31.5514,37.8396,36.4233,39.028
2018-05-09,39.028,38.719,31.6072,38.2792,36.5159,39.345
2018-05-10,39.345,39.1,31.6629,38.6828,36.6185,39.213
2018-05-11,39.213,39.444,31.7183,38.968,36.7138,39.123
2018-05-14,39.123,39.3,31.7767,39.0724,36.7997,38.8
2018-05-15,38.8,38.87,31.8336,39.1018,36.8615,38.108
2018-05-16,38.108,38.686,31.8864,38.9178,36.9095,37.587
2018-05-17,37.587,38.06,31.9367,38.5662,36.9491,38.145
2018-05-18,38.145,37.65,31.9906,38.3526,36.9989,38.471
2018-05-21,38.471,38.305,32.0455,38.2222,37.0459,37.75
2018-05-22,37.75,38.5,32.0968,38.0122,37.0821,38.083
2018-05-23,38.083,37.659,32.1482,38.0072,37.1176,38.224
2018-05-24,38.224,38.05,32.1995,38.1346,37.1532,38.084
2018-05-25,38.084,38.291,32.2493,38.1224,37.1877,37.794
2018-05-29,37.794,37.817,32.2987,37.987,37.208,38.086
2018-05-30,38.086,37.827,32.3492,38.0542,37.2377,38.122
2018-05-31,38.122,38.087,32.3975,38.062,37.2485,38.544
2018-06-01,38.544,38.32,32.4492,38.126,37.2719,39.104
2018-06-04,39.104,38.642,32.5031,38.33,37.3382,39.641
2018-06-05,39.641,39.131,32.5609,38.6994,37.4082,40.13
2018-06-06,40.13,39.711,32.622,39.1082,37.4772,39.931
2018-06-07,39.931,40.148,32.6825,39.47,37.5558,40.185
2018-06-08,40.185,39.811,32.7419,39.7982,37.6474,40.525
2018-06-11,40.525,40.079,32.8025,40.0824,37.7326,41.095
2018-06-12,41.095,40.531,32.8659,40.3732,37.8522,40.635
2018-06-13,40.635,41.09,32.9273,40.4742,37.9583,40.97
2018-06-14,40.97,40.6,32.9915,40.682,38.0596,41.397
2018-06-15,41.397,40.978,33.0573,40.9244,38.177,41.687
2018-06-18,41.687,41.231,33.1235,41.1568,38.3082,41.457
2018-06-19,41.457,41.332,33.1875,41.2292,38.4236,41.725
2018-06-20,41.725,41.651,33.2526,41.4472,38.5376,41.509
2018-06-21,41.509,41.84,33.3191,41.555,38.6492,41.209
2018-06-22,41.209,41.607,33.3844,41.5174,38.7379,39.949
2018-06-25,39.949,41.086,33.443,41.1698,38.8088,40.759
2018-06-26,40.759,40.074,33.5065,41.0302,38.889,41.169
2018-06-27,41.169,40.909,33.5716,40.919,38.9589,41.534
2018-06-28,41.534,40.946,33.6382,40.924,39.0341,41.263
2018-06-29,41.263,41.553,33.7069,40.9348,39.1043,41.568
2018-07-02,41.568,41.042,33.7774,41.2586,39.1818,40.853
2018-07-03,40.853,41.837,33.8428,41.2774,39.2611,41.355
2018-07-05,41.355,41.028,33.9113,41.3146,39.3182,42.24
2018-07-06,42.24,41.342,33.9822,41.4558,39.4227,42.886
2018-07-09,42.886,42.258,34.0555,41.7804,39.5391,41.95
2018-07-10,41.95,42.899,34.1252,41.8568,39.6399,42.041
2018-07-11,42.041,41.749,34.195,42.0944,39.7474,42.62
2018-07-12,42.62,42.285,34.2685,42.3474,39.8618,42.448
2018-07-13,42.448,42.62,34.3473,42.389,39.9742,42.781
2018-07-16,42.781,42.399,34.4277,42.368,40.0833,42.632
2018-07-17,42.632,42.638,34.5078,42.5044,40.1802,42.468
2018-07-18,42.468,42.606,34.586,42.5898,40.2575,42.334
2018-07-19,42.334,42.342,34.6619,42.5326,40.3311,42.5
2018-07-20,42.5,42.513,34.7386,42.543,40.4006,43.075
2018-07-23,43.075,42.443,34.818,42.6018,40.4752,42.409
2018-07-24,42.409,43.234,34.8929,42.5572,40.5391,43.768
2018-07-25,43.768,42.87,34.9733,42.8172,40.632,43.2
2018-07-26,43.2,43.662,35.0509,42.9904,40.72,42.18
2018-07-27,42.18,43.203,35.1221,42.9264,40.8014,41.456
2018-07-30,41.456,42.265,35.1848,42.6026,40.8788,41.585
2018-07-31,41.585,41.678,35.2491,42.4378,40.9476,41.859
2018-08-01,41.859,41.589,35.3149,42.056,41.0154,42.647
2018-08-02,42.647,41.619,35.385,41.9454,41.1133,42.302
2018-08-03,42.302,42.697,35.4547,41.9698,41.1977,42.216
2018-08-06,42.216,42.3,35.5239,42.1218,41.2775,42.0
2018-08-07,42.0,42.179,35.5937,42.2048,41.3559,42.156
2018-08-08,42.156,42.005,35.6632,42.2642,41.4431,42.285
2018-08-09,42.285,42.238,35.7327,42.1918,41.5271,42.861
2018-08-10,42.861,42.072,35.8067,42.3036,41.6219,42.864
2018-08-13,42.864,42.878,35.8818,42.4332,41.7083,43.096
2018-08-14,43.096,42.87,35.9526,42.6524,41.7881,42.881
2018-08-15,42.881,42.934,36.0173,42.7974,41.8529,42.966
2018-08-16,42.966,43.269,36.0849,42.9336,41.9096,43.044
2018-08-17,43.044,42.977,36.1523,42.9702,41.9719,43.228
2018-08-20,43.228,43.028,36.2208,43.043,42.0327,42.989
2018-08-21,42.989,43.254,36.289,43.0216,42.082,43.082
2018-08-22,43.082,42.904,36.3565,43.0618,42.1218,43.449
2018-08-23,43.449,43.076,36.4238,43.1584,42.178,43.447
2018-08-24,43.447,43.581,36.4914,43.239,42.2276,43.88
2018-08-27,43.88,43.621,36.5604,43.3694,42.2772,43.839
2018-08-28,43.839,43.989,36.63,43.5394,42.3203,44.213
2018-08-29,44.213,43.924,36.7027,43.7656,42.3754,44.105
2018-08-30,44.105,44.168,36.775,43.8968,42.423,44.216
2018-08-31,44.216,44.098,36.8466,44.0506,42.4771,44.672
2018-09-04,44.672,44.186,36.9213,44.209,42.5464,44.251
2018-09-05,44.251,44.7,36.9907,44.2914,42.6324,43.721
2018-09-06,43.721,44.228,37.057,44.193,42.6917,43.407
2018-09-07,43.407,43.46,37.1207,44.0534,42.7364,43.598
2018-09-10,43.598,43.594,37.1847,43.9298,42.7777,44.384
2018-09-11,44.384,43.551,37.2522,43.8722,42.8401,43.492
2018-09-12,43.492,44.353,37.3146,43.7204,42.8786,43.849
2018-09-13,43.849,43.698,37.3791,43.746,42.9385,43.5
2018-09-14,43.5,43.935,37.4429,43.7646,42.9814,42.35
2018-09-17,42.35,43.5,37.5037,43.515,42.9836,42.5
2018-09-18,42.5,42.13,37.5637,43.1382,42.9759,41.519
2018-09-19,41.519,42.585,37.6203,42.7436,42.9673,42.015
2018-09-20,42.015,41.736,37.6825,42.3768,42.9668,41.965
2018-09-21,41.965,42.03,37.746,42.0698,42.9537,41.752
2018-09-24,41.752,41.783,37.8082,41.9502,42.9398,41.846
2018-09-25,41.846,41.622,37.8715,41.8194,42.9211,41.97
2018-09-26,41.97,41.755,37.9352,41.9096,42.9078,41.771
2018-09-27,41.771,42.01,37.9988,41.8608,42.8939,42.084
2018-09-28,42.084,41.73,38.0653,41.8846,42.8889,41.435
2018-10-01,41.435,42.317,38.1269,41.8212,42.8676,40.5
2018-10-02,40.5,41.275,38.1855,41.552,42.8161,40.89
2018-10-03,40.89,40.742,38.2425,41.336,42.7857,40.011
