ticker,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2010-10-13,13.596,13.688,13.4625,12.3922,12.9999,13.536
2010-10-14,13.536,13.618,13.5171,12.4095,12.9901,15.051
2010-10-15,15.051,14.996,13.843,12.4562,12.9874,15.458
2010-10-18,15.458,15.028,14.2377,12.515,12.9871,15.21
2010-10-19,15.21,15.236,14.5702,12.5663,12.9848,15.214
2010-10-20,15.214,15.218,14.8939,12.6185,12.9828,15.315
2010-10-21,15.315,15.303,15.2496,12.6787,12.9832,15.328
2010-10-22,15.328,15.313,15.305,12.739,12.9855,15.427
2010-10-25,15.427,15.405,15.299,12.8041,12.9873,15.48
2010-10-26,15.48,15.342,15.3529,12.8707,12.9895,15.427
2010-10-27,15.427,15.409,15.3954,12.9337,12.9928,15.48
2010-10-28,15.48,15.516,15.4284,13.002,12.9967,15.357
2010-10-29,15.357,15.442,15.4342,13.075,12.9997,15.39
2010-11-01,15.39,15.408,15.4267,13.1515,13.0041,15.405
2010-11-02,15.405,15.482,15.4117,13.2274,13.0076,15.52
2010-11-03,15.52,15.452,15.4303,13.3118,13.0126,15.622
2010-11-04,15.622,15.631,15.4587,13.3967,13.0177,15.642
2010-11-05,15.642,15.595,15.5157,13.4839,13.0271,15.684
2010-11-08,15.684,15.616,15.5746,13.5679,13.038,15.636
2010-11-09,15.636,15.765,15.6207,13.6541,13.0483,15.587
2010-11-10,15.587,15.567,15.6343,13.7406,13.0584,15.445
2010-11-11,15.445,15.508,15.5988,13.8191,13.0688,15.097
2010-11-12,15.097,15.365,15.4898,13.8892,13.0779,14.901
2010-11-15,14.901,15.092,15.3331,13.9519,13.0858,14.607
2010-11-16,14.607,14.833,15.1274,14.0116,13.0923,14.603
2010-11-17,14.603,14.639,14.9306,14.0681,13.0977,14.928
2010-11-18,14.928,14.739,14.8273,14.1284,13.1064,14.785
2010-11-19,14.785,14.939,14.765,14.1858,13.1139,14.795
2010-11-22,14.795,14.701,14.7437,14.2403,13.1211,14.589
2010-11-23,14.589,14.689,14.7401,14.2916,13.1269,14.889
2010-11-24,14.889,14.697,14.7973,14.3489,13.1345,14.764
2010-11-26,14.764,14.776,14.7645,14.4034,13.1412,14.567
2010-11-29,14.567,14.744,14.7208,14.4494,13.1473,13.906
2010-11-30,13.906,14.372,14.5431,14.4731,13.1491,14.122
2010-12-01,14.122,14.089,14.4497,14.4986,13.1524,14.309
2010-12-02,14.309,14.23,14.3338,14.5265,13.156,14.339
2010-12-03,14.339,14.25,14.2488,14.5563,13.16,14.473
2010-12-06,14.473,14.528,14.23,14.5819,13.1645,14.693
2010-12-07,14.693,14.796,14.3873,14.6103,13.171,14.778
2010-12-08,14.778,14.814,14.5184,14.642,13.1784,14.802
2010-12-09,14.802,14.861,14.6169,14.6739,13.1865,14.82
2010-12-10,14.82,14.843,14.713,14.7072,13.1947,14.88
2010-12-13,14.88,14.942,14.7944,14.7417,13.2024,14.887
2010-12-14,14.887,14.942,14.8333,14.778,13.2092,14.772
2010-12-15,14.772,14.869,14.8321,14.8041,13.2148,14.807
2010-12-16,14.807,14.836,14.8331,14.8328,13.2195,14.784
2010-12-17,14.784,14.789,14.8261,14.8632,13.2228,14.891
2010-12-20,14.891,14.881,14.8283,14.8926,13.2269,15.091
2010-12-21,15.091,14.979,14.8691,14.9248,13.2322,15.152
2010-12-22,15.152,15.115,14.9451,14.9568,13.2359,15.12
2010-12-23,15.12,15.148,15.0078,14.9873,13.2387,15.074
2010-12-27,15.074,15.083,15.0657,15.0181,13.2416,14.988
2010-12-28,14.988,15.066,15.0851,15.0168,13.2461,15.04
2010-12-29,15.04,15.065,15.0747,15.0085,13.2506,14.986
2010-12-30,14.986,14.965,15.0415,15.004,13.2547,14.864
2010-12-31,14.864,14.933,14.9902,14.997,13.2582,15.123
2011-01-03,15.123,14.926,15.0,14.9931,13.2637,15.068
2011-01-04,15.068,15.155,15.0161,14.9879,13.2693,15.242
2011-01-05,15.242,15.016,15.0564,14.9842,13.2768,15.352
2011-01-06,15.352,15.282,15.1297,14.9816,13.2838,15.426
2011-01-07,15.426,15.413,15.2422,14.9816,13.2906,15.37
2011-01-10,15.37,15.385,15.2915,14.9794,13.297,15.415
2011-01-11,15.415,15.458,15.361,14.9806,13.3037,15.437
2011-01-12,15.437,15.499,15.4001,14.9815,13.31,15.432
2011-01-13,15.432,15.439,15.416,14.9821,13.3162,15.62
2011-01-14,15.62,15.45,15.4548,14.9841,13.3231,16.006
2011-01-18,16.006,15.667,15.582,14.9918,13.3317,15.809
2011-01-19,15.809,16.069,15.6608,14.9951,13.3396,15.684
2011-01-20,15.684,15.821,15.7103,14.9951,13.3476,15.311
2011-01-21,15.311,16.005,15.686,14.9886,13.3531,15.292
2011-01-24,15.292,15.204,15.6204,14.9827,13.3587,15.513
2011-01-25,15.513,15.22,15.5217,14.9841,13.3646,15.427
2011-01-26,15.427,15.523,15.4454,14.9907,13.3683,15.435
2011-01-27,15.435,15.462,15.3955,15.0013,13.3718,15.039
2011-01-28,15.039,15.492,15.3412,15.01,13.3725,15.024
2011-01-31,15.024,15.105,15.2876,15.0184,13.3788,15.291
2011-02-01,15.291,15.127,15.2432,15.0257,13.3864,15.315
2011-02-02,15.315,15.29,15.2206,15.0362,13.3936,15.269
2011-02-03,15.269,15.252,15.1874,15.0457,13.4005,15.289
2011-02-04,15.289,15.269,15.2374,15.0597,13.4085,15.372
2011-02-07,15.372,15.269,15.3072,15.0694,13.4172,15.474
2011-02-08,15.474,15.388,15.3439,15.0836,13.4281,15.427
2011-02-09,15.427,15.437,15.3664,15.1008,13.439,15.426
2011-02-10,15.426,15.362,15.3979,15.1312,13.4499,15.628
2011-02-11,15.628,15.36,15.4656,15.1613,13.4615,15.719
2011-02-14,15.719,15.599,15.5349,15.1895,13.4743,15.619
2011-02-15,15.619,15.698,15.5638,15.2151,13.486,15.621
2011-02-16,15.621,15.656,15.6024,15.238,13.5008,15.647
2011-02-17,15.647,15.546,15.6466,15.2571,13.5152,15.767
2011-02-18,15.767,15.665,15.6745,15.2769,13.5317,15.27
2011-02-22,15.27,15.516,15.5847,15.2863,13.5463,15.298
2011-02-23,15.298,15.273,15.5205,15.2958,13.5575,15.235
2011-02-24,15.235,15.3,15.4434,15.303,13.57,15.266
2011-02-25,15.266,15.311,15.3672,15.3105,13.5831,15.35
2011-02-28,15.35,15.265,15.2838,15.3221,13.5959,15.034
2011-03-01,15.034,15.459,15.2365,15.3266,13.6076,15.034
2011-03-02,15.034,15.01,15.1838,15.3316,13.6192,15.254
2011-03-03,15.254,15.174,15.1875,15.3389,13.6331,15.03
2011-03-04,15.03,15.223,15.1403,15.3376,13.6464,14.806
2011-03-07,14.806,15.028,15.0315,15.3307,13.661,14.822
2011-03-08,14.822,14.838,14.9892,15.3248,13.6761,14.809
2011-03-09,14.809,14.789,14.9441,15.3194,13.6904,14.522
2011-03-10,14.522,14.65,14.7976,15.3101,13.7033,14.432
2011-03-11,14.432,14.47,14.678,15.298,13.716,14.264
2011-03-14,14.264,14.334,14.5695,15.2835,13.7259,14.253
2011-03-15,14.253,13.951,14.4557,15.2713,13.7364,13.941
2011-03-16,13.941,14.214,14.2821,15.2477,13.7458,14.048
2011-03-17,14.048,14.126,14.1873,15.2273,13.7543,14.04
