ticker,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2004-11-18,10.75,10.8375,8.8711,10.752,9.6363,10.7125
2004-11-19,10.7125,10.75,8.8846,10.7395,9.6688,10.8375
2004-11-22,10.8375,10.63,8.8985,10.755,9.7026,10.69
2004-11-23,10.69,10.8625,8.9116,10.7495,9.7316,10.825
2004-11-24,10.825,10.775,8.9253,10.763,9.7686,10.9625
2004-11-26,10.9625,10.8675,8.9397,10.8055,9.8049,10.92
2004-11-29,10.92,10.9925,8.9537,10.847,9.8412,11.1825
2004-11-30,11.1825,10.875,8.9696,10.916,9.8846,11.1125
2004-12-01,11.1125,11.25,8.9851,11.0005,9.9274,10.9925
2004-12-02,10.9925,11.15,8.9999,11.034,9.968,10.915
2004-12-03,10.915,11.0,9.0141,11.0245,10.0106,10.6575
2004-12-06,10.6575,10.7875,9.0273,10.972,10.044,10.88
2004-12-07,10.88,10.6875,9.0418,10.9115,10.081,10.97
2004-12-08,10.97,10.9425,9.0564,10.883,10.1183,10.8575
2004-12-09,10.8575,10.85,9.0706,10.856,10.1543,10.8875
2004-12-10,10.8875,10.5525,9.085,10.8505,10.1849,11.1525
2004-12-13,11.1525,10.885,9.1004,10.9495,10.2202,11.18
2004-12-14,11.18,11.1875,9.1155,11.0095,10.2552,11.235
2004-12-15,11.235,11.1225,9.1312,11.0625,10.29,11.1225
2004-12-16,11.1225,11.1875,9.1461,11.1155,10.3195,10.87
2004-12-17,10.87,11.0,9.1598,11.112,10.3465,11.0625
2004-12-20,11.0625,11.0,9.1738,11.094,10.3797,11.1325
2004-12-21,11.1325,11.075,9.1879,11.0845,10.4144,11.085
2004-12-22,11.085,11.2,9.2019,11.0545,10.4499,11.0575
2004-12-23,11.0575,11.095,9.2159,11.0415,10.4888,11.0025
2004-12-27,11.0025,11.1375,9.2302,11.068,10.523,11.0275
2004-12-28,11.0275,11.02,9.2442,11.061,10.5552,11.04
2004-12-29,11.04,10.975,9.2588,11.0425,10.5883,11.025
2004-12-30,11.025,11.0325,9.2733,11.0305,10.6238,10.995
2004-12-31,10.995,11.0175,9.2875,11.018,10.6557,10.845
2005-01-03,10.845,11.0,9.3014,10.9865,10.6819,10.845
2005-01-04,10.845,10.845,9.3148,10.95,10.7103,10.5875
2005-01-05,10.5875,10.8375,9.3282,10.8595,10.7338,10.6725
2005-01-06,10.6725,10.675,9.3411,10.789,10.7591,10.59
2005-01-07,10.59,10.7425,9.3534,10.708,10.7827,10.6
2005-01-10,10.6,10.585,9.3648,10.659,10.7944,10.485
2005-01-11,10.485,10.605,9.3753,10.587,10.8048,10.4625
