ticker,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2015-01-09,11.53,11.73,12.296,12.5515,11.0869,10.91
2015-01-12,10.91,11.56,11.702,12.4909,11.1055,11.03
2015-01-13,11.03,11.01,11.32,12.4289,11.1246,10.81
2015-01-14,10.81,10.87,11.202,12.3447,11.1418,10.27
2015-01-15,10.27,10.9,10.91,12.2533,11.1537,10.78
2015-01-16,10.78,10.35,10.76,12.1569,11.1656,10.6
2015-01-20,10.6,10.69,10.698,12.1279,11.1786,10.43
2015-01-21,10.43,10.46,10.578,12.1083,11.1924,11.01
2015-01-22,11.01,10.51,10.618,12.0925,11.2087,11.84
2015-01-23,11.84,11.03,10.932,12.1047,11.2294,12.11
2015-01-26,12.11,11.84,11.198,12.1371,11.2501,12.13
2015-01-27,12.13,11.65,11.504,12.1671,11.2739,12.09
2015-01-28,12.09,12.15,11.836,12.1961,11.2975,12.98
2015-01-29,12.98,12.2,12.23,12.2345,11.3263,12.39
2015-01-30,12.39,12.85,12.34,12.2703,11.3525,13.17
2015-02-02,13.17,12.4,12.552,12.3119,11.3822,13.66
2015-02-03,13.66,13.23,12.858,12.3711,11.4126,13.3
2015-02-04,13.3,13.5,13.1,12.4155,11.4408,13.58
2015-02-05,13.58,13.46,13.22,12.4576,11.4679,13.86
2015-02-06,13.86,13.58,13.514,12.5036,11.4975,14.47
2015-02-09,14.47,13.85,13.774,12.5641,11.5293,14.46
2015-02-10,14.46,14.68,13.934,12.6245,11.5634,14.79
2015-02-11,14.79,14.38,14.232,12.7101,11.6005,14.78
2015-02-12,14.78,14.91,14.472,12.7957,11.6378,15.15
2015-02-13,15.15,14.93,14.73,12.8657,11.6758,13.92
2015-02-17,13.92,15.0,14.62,12.9001,11.7082,14.065
2015-02-18,14.065,15.2,14.541,12.9444,11.742,13.58
2015-02-19,13.58,13.76,14.299,12.9588,11.7736,13.3
2015-02-20,13.3,13.14,14.003,12.9788,11.8053,13.51
2015-02-23,13.51,13.31,13.675,12.993,11.8339,13.77
2015-02-24,13.77,13.78,13.645,13.0134,11.8632,13.87
2015-02-25,13.87,13.91,13.606,13.0398,11.8925,13.61
2015-02-26,13.61,13.59,13.612,13.063,11.9183,13.78
2015-02-27,13.78,13.64,13.708,13.091,11.9454,13.81
2015-03-02,13.81,13.86,13.768,13.118,11.9734,13.37
2015-03-03,13.37,13.77,13.688,13.1166,11.9998,13.61
2015-03-04,13.61,13.32,13.636,13.1089,12.0259,14.33
2015-03-05,14.33,13.74,13.78,13.1139,12.0563,15.1
2015-03-06,15.1,14.3,14.044,13.1239,12.0914,14.18
2015-03-09,14.18,15.23,14.118,13.1195,12.1196,13.1
2015-03-10,13.1,14.04,14.064,13.0939,12.1418,12.51
2015-03-11,12.51,13.16,13.844,13.0477,12.1606,13.27
2015-03-12,13.27,12.8,13.632,13.0271,12.1843,13.25
2015-03-13,13.25,13.18,13.262,13.0103,12.2085,13.09
2015-03-16,13.09,13.11,13.044,12.9863,12.2318,13.25
2015-03-17,13.25,12.97,13.074,12.9671,12.2558,12.67
2015-03-18,12.67,13.1,13.106,12.9429,12.277,12.87
2015-03-19,12.87,12.68,13.026,12.9415,12.2994,12.48
2015-03-20,12.48,12.94,12.872,12.9631,12.3189,12.6
2015-03-23,12.6,12.87,12.774,12.9805,12.3375,12.25
2015-03-24,12.25,12.67,12.574,12.9949,12.3549,11.87
2015-03-25,11.87,12.35,12.414,13.0141,12.3703,12.23
2015-03-26,12.23,11.88,12.286,13.0381,12.3884,13.09
2015-03-27,13.09,12.55,12.408,13.0837,12.4117,13.22
2015-03-30,13.22,13.21,12.532,13.1427,12.4358,13.19
