ticker,WST US Equity,WST US Equity,WST US Equity,WST US Equity,WST US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2013-05-30,34.225,33.685,28.5173,33.876,32.3374,34.275
2013-05-31,34.275,34.035,28.5687,33.97,32.3853,34.575
2013-06-03,34.575,34.32,28.622,34.147,32.4394,34.395
2013-06-04,34.395,34.535,28.676,34.228,32.4844,33.86
2013-06-05,33.86,34.395,28.726,34.266,32.5228,33.5
2013-06-06,33.5,33.77,28.774,34.121,32.549,33.485
2013-06-07,33.485,32.83,28.8193,33.963,32.575,33.275
2013-06-10,33.275,33.615,28.8653,33.703,32.5911,33.225
2013-06-11,33.225,33.115,28.9114,33.469,32.6223,33.175
2013-06-12,33.175,33.29,28.9573,33.332,32.6525,33.685
2013-06-13,33.685,33.175,29.0067,33.369,32.7037,33.63
2013-06-14,33.63,33.62,29.0555,33.398,32.7475,33.83
2013-06-17,33.83,33.79,29.1062,33.509,32.8013,34.085
2013-06-18,34.085,33.96,29.1572,33.681,32.859,33.745
2013-06-19,33.745,34.035,29.2061,33.795,32.9113,33.325
2013-06-20,33.325,33.39,29.2542,33.723,32.9412,33.935
2013-06-21,33.935,33.23,29.3055,33.784,32.9856,34.13
2013-06-24,34.13,33.745,29.3562,33.844,33.0334,34.615
2013-06-25,34.615,34.255,29.4097,33.95,33.1067,34.775
2013-06-26,34.775,34.665,29.4638,34.156,33.1672,35.135
2013-06-27,35.135,34.945,29.5194,34.518,33.2407,35.13
2013-06-28,35.13,34.97,29.5752,34.757,33.3127,35.755
2013-07-01,35.755,35.38,29.634,35.082,33.3898,35.64
2013-07-02,35.64,35.755,29.6922,35.287,33.4677,35.59
2013-07-03,35.59,35.505,29.7475,35.45,33.539,36.36
2013-07-05,36.36,35.97,29.8058,35.695,33.6316,36.3
2013-07-08,36.3,36.375,29.8628,35.929,33.7215,36.08
2013-07-09,36.08,36.36,29.9179,35.994,33.8128,36.065
2013-07-10,36.065,36.125,29.9724,36.079,33.8984,36.235
2013-07-11,36.235,36.445,30.0272,36.208,33.9845,36.415
2013-07-12,36.415,36.21,30.0807,36.219,34.0781,36.22
2013-07-15,36.22,36.41,30.1315,36.203,34.1626,36.235
2013-07-16,36.235,36.29,30.1825,36.234,34.2451,36.255
2013-07-17,36.255,36.26,30.2329,36.272,34.3352,36.77
2013-07-18,36.77,36.26,30.2831,36.379,34.4215,36.945
2013-07-19,36.945,36.74,30.3352,36.485,34.5094,37.155
2013-07-22,37.155,36.87,30.3857,36.672,34.6,37.12
2013-07-23,37.12,37.125,30.4359,36.849,34.6873,36.515
2013-07-24,36.515,37.12,30.4835,36.901,34.7585,36.915
2013-07-25,36.915,36.405,30.5331,36.93,34.8314,36.4
2013-07-26,36.4,36.685,30.5807,36.821,34.8887,36.03
2013-07-29,36.03,36.35,30.6264,36.596,34.9324,36.365
2013-07-30,36.365,36.05,30.6756,36.445,34.9755,36.88
2013-07-31,36.88,36.46,30.7274,36.518,35.0257,37.97
2013-08-01,37.97,37.9,30.7848,36.729,35.101,38.15
2013-08-02,38.15,36.28,30.844,37.079,35.1906,39.245
2013-08-05,39.245,38.235,30.9073,37.722,35.2994,39.205
2013-08-06,39.205,39.175,30.9683,38.29,35.4097,39.16
2013-08-07,39.16,39.055,31.0295,38.746,35.5131,39.195
2013-08-08,39.195,37.37,31.0913,38.991,35.6236,39.175
2013-08-09,39.175,39.1,31.153,39.196,35.7226,39.25
2013-08-12,39.25,39.125,31.2149,39.197,35.8221,39.54
2013-08-13,39.54,39.145,31.2786,39.264,35.9214,39.375
2013-08-14,39.375,39.665,31.3427,39.307,36.021,38.185
2013-08-15,38.185,38.995,31.4001,39.105,36.1075,37.985
2013-08-16,37.985,37.99,31.4565,38.867,36.1972,37.985
2013-08-19,37.985,38.0,31.5118,38.614,36.2872,38.27
2013-08-20,38.27,37.99,31.5694,38.36,36.3871,38.135
2013-08-21,38.135,38.03,31.6284,38.112,36.4853,38.445
2013-08-22,38.445,38.115,31.686,38.164,36.5907,38.585
2013-08-23,38.585,38.445,31.7436,38.284,36.6887,38.55
2013-08-26,38.55,38.69,31.8035,38.397,36.7871,38.325
2013-08-27,38.325,38.245,31.8609,38.408,36.877,38.205
2013-08-28,38.205,38.275,31.9182,38.422,36.9594,37.905
2013-08-29,37.905,38.225,31.9738,38.314,37.0426,36.975
2013-08-30,36.975,37.845,32.0263,37.992,37.1156,37.305
2013-09-03,37.305,37.355,32.0839,37.743,37.183,37.37
2013-09-04,37.37,37.375,32.1423,37.552,37.2478,37.68
2013-09-05,37.68,37.425,32.203,37.447,37.3091,37.76
2013-09-06,37.76,37.875,32.2627,37.418,37.3688,38.93
2013-09-09,38.93,37.985,32.326,37.809,37.4447,39.49
2013-09-10,39.49,39.19,32.3911,38.246,37.5319,40.1
2013-09-11,40.1,39.415,32.4574,38.792,37.6188,39.465
2013-09-12,39.465,40.1,32.5184,39.149,37.6953,39.5
2013-09-13,39.5,39.68,32.5812,39.497,37.7735,39.49
2013-09-16,39.49,39.97,32.644,39.609,37.8361,40.1
2013-09-17,40.1,39.435,32.7088,39.731,37.9121,40.575
2013-09-18,40.575,40.14,32.7766,39.826,38.002,41.045
2013-09-19,41.045,40.57,32.8479,40.142,38.1016,40.575
2013-09-20,40.575,41.26,32.9149,40.357,38.1884,40.44
2013-09-23,40.44,40.61,32.9796,40.547,38.2689,40.58
2013-09-24,40.58,40.44,33.0458,40.643,38.3561,40.24
2013-09-25,40.24,40.535,33.1102,40.576,38.4362,40.6
2013-09-26,40.6,40.43,33.1758,40.487,38.5231,40.93
2013-09-27,40.93,40.45,33.2412,40.558,38.6063,41.15
2013-09-30,41.15,40.74,33.3084,40.7,38.6904,41.44
2013-10-01,41.44,41.27,33.3783,40.872,38.7761,41.01
2013-10-02,41.01,41.27,33.4462,41.026,38.8539,40.48
2013-10-03,40.48,40.99,33.5108,41.002,38.9332,40.29
2013-10-04,40.29,40.36,33.5752,40.874,39.0007,39.88
2013-10-07,39.88,40.11,33.639,40.62,39.0703,41.6
2013-10-08,41.6,40.27,33.7098,40.652,39.1817,42.58
2013-10-09,42.58,41.61,33.787,40.966,39.306,43.16
2013-10-10,43.16,43.13,33.8675,41.502,39.4316,43.84
2013-10-11,43.84,42.93,33.9524,42.212,39.549,44.8
2013-10-14,44.8,43.78,34.0407,43.196,39.682,44.1
2013-10-15,44.1,44.59,34.1259,43.696,39.7791,45.21
2013-10-16,45.21,44.23,34.2151,44.222,39.8992,45.47
2013-10-17,45.47,45.14,34.3043,44.684,40.0254,45.7
2013-10-18,45.7,45.72,34.3943,45.056,40.1555,45.9
2013-10-21,45.9,45.61,34.4847,45.276,40.29,45.76
2013-10-22,45.76,45.9,34.5753,45.608,40.4202,46.08
2013-10-23,46.08,45.69,34.6679,45.782,40.551,46.28
2013-10-24,46.28,46.08,34.761,45.944,40.6891,46.11
2013-10-25,46.11,46.48,34.8536,46.026,40.8476,46.91
2013-10-28,46.91,46.0,34.9504,46.228,41.0261,46.82
2013-10-29,46.82,46.87,35.0469,46.44,41.2028,46.72
2013-10-30,46.72,46.88,35.1431,46.568,41.3718,48.35
2013-10-31,48.35,47.23,35.2478,46.982,41.5761,47.0
2013-11-01,47.0,48.2,35.3456,47.16,41.7472,47.01
2013-11-04,47.01,47.12,35.4425,47.18,41.9157,46.75
2013-11-05,46.75,46.8,35.5363,47.166,42.0797,46.57
2013-11-06,46.57,47.0,35.6292,47.136,42.2446,45.9
2013-11-07,45.9,46.59,35.7129,46.646,42.3985,46.7
2013-11-08,46.7,45.84,35.7994,46.586,42.5744,46.75
2013-11-11,46.75,46.71,35.8848,46.534,42.7699,46.85
2013-11-12,46.85,46.5,35.9695,46.554,42.9608,46.97
2013-11-13,46.97,46.5,36.0559,46.634,43.1528,47.22
2013-11-14,47.22,46.94,36.144,46.898,43.3436,47.69
2013-11-15,47.69,47.15,36.2329,47.096,43.5422,47.33
