ticker,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2015-01-02,118.61,119.93,104.7099,119.816,117.8198,114.6
2015-01-05,114.6,118.31,104.8111,118.658,117.9746,112.23
2015-01-06,112.23,114.28,104.9039,116.964,117.9746,112.85
2015-01-07,112.85,113.16,104.9981,115.484,117.94,117.08
2015-01-08,117.08,114.0,105.1161,115.074,117.9858,114.98
2015-01-09,114.98,117.08,105.2302,114.348,117.9618,113.97
2015-01-12,113.97,114.33,105.3418,114.222,117.9418,111.83
2015-01-13,111.83,115.0,105.4391,114.142,117.8784,111.36
2015-01-14,111.36,110.51,105.5267,113.844,117.7766,110.8
2015-01-15,110.8,112.15,105.6096,112.588,117.6874,111.9
2015-01-16,111.9,110.91,105.6964,111.972,117.6198,113.95
2015-01-20,113.95,112.53,105.7932,111.968,117.5706,114.4
2015-01-21,114.4,114.55,105.8951,112.482,117.4798,119.83
2015-01-22,119.83,117.25,106.0286,114.176,117.5014,120.09
2015-01-23,120.09,121.0,106.1658,116.034,117.4852,121.33
2015-01-26,121.33,120.51,106.306,117.92,117.487,120.86
2015-01-27,120.86,119.16,106.4513,119.302,117.49,119.15
2015-01-28,119.15,121.68,106.5944,120.252,117.468,120.09
2015-01-29,120.09,119.39,106.7396,120.304,117.4556,117.21
2015-01-30,117.21,119.2,106.8618,119.728,117.3934,119.01
2015-02-02,119.01,118.13,106.9865,119.264,117.3612,121.79
2015-02-03,121.79,120.18,107.1215,119.45,117.387,120.44
2015-02-04,120.44,120.66,107.2448,119.708,117.3776,122.85
2015-02-05,122.85,121.39,107.379,120.26,117.3976,121.81
2015-02-06,121.81,123.0,107.5083,121.18,117.3756,119.45
2015-02-09,119.45,121.53,107.6291,121.268,117.3144,120.87
2015-02-10,120.87,119.78,107.764,121.084,117.2656,122.14
2015-02-11,122.14,121.0,107.9048,121.424,117.373,123.83
2015-02-12,123.83,122.72,108.0493,121.62,117.557,122.6
2015-02-13,122.6,123.74,108.1862,121.778,117.6296,122.54
2015-02-17,122.54,121.96,108.3269,122.396,117.6614,123.35
2015-02-18,123.35,122.4,108.4736,122.892,117.7332,121.96
2015-02-19,121.96,122.85,108.6141,122.856,117.8002,123.66
2015-02-20,123.66,121.7,108.7641,122.822,117.9746,123.75
2015-02-23,123.75,123.79,108.912,123.052,118.1284,122.69
2015-02-24,122.69,122.93,109.0537,123.082,118.3084,122.42
2015-02-25,122.42,122.5,109.1925,122.896,118.4698,120.76
2015-02-26,120.76,122.23,109.3172,122.656,118.634,120.26
2015-02-27,120.26,121.15,109.4362,121.976,118.7924,120.75
2015-03-02,120.75,120.26,109.5595,121.376,118.9634,118.46
2015-03-03,118.46,120.09,109.674,120.53,119.0342,118.21
2015-03-04,118.21,117.65,109.7771,119.688,119.021,118.33
2015-03-05,118.33,118.32,109.8798,119.202,119.0182,116.45
2015-03-06,116.45,117.37,109.9774,118.44,118.939,117.17
2015-03-09,117.17,116.38,110.0751,117.724,118.8688,114.75
2015-03-10,114.75,115.92,110.1606,116.982,118.7578,114.29
2015-03-11,114.29,114.93,110.2414,116.198,118.6358,115.13
2015-03-12,115.13,115.08,110.3243,115.558,118.5244,114.52
2015-03-13,114.52,115.23,110.406,115.172,118.4098,116.72
2015-03-16,116.72,115.5,110.4951,115.082,118.3616,116.42
2015-03-17,116.42,115.95,110.579,115.416,118.3178,117.78
2015-03-18,117.78,116.08,110.67,116.114,118.3814,117.55
2015-03-19,117.55,117.48,110.7643,116.598,118.4878,117.45
2015-03-20,117.45,117.98,110.8569,117.184,118.5798,112.78
2015-03-23,112.78,114.85,110.92,116.396,118.4938,112.51
2015-03-24,112.51,112.75,110.9779,115.614,118.4444,110.82
2015-03-25,110.82,112.7,111.0213,114.222,118.3814,108.17
2015-03-26,108.17,109.06,111.05,112.346,118.3082,108.44
2015-03-27,108.44,107.74,111.0813,110.544,118.2498,110.09
2015-03-30,110.09,109.0,111.1284,110.006,118.2356,108.31
2015-03-31,108.31,109.66,111.1655,109.166,118.1638,107.34
2015-04-01,107.34,107.76,111.2031,108.47,118.0316,107.13
2015-04-02,107.13,107.45,111.2419,108.262,117.8862,106.38
2015-04-06,106.38,106.34,111.2705,107.85,117.6172,107.84
2015-04-07,107.84,106.93,111.3045,107.4,117.3722,108.13
2015-04-08,108.13,107.7,111.3398,107.364,117.1082,109.79
2015-04-09,109.79,107.85,111.3853,107.854,116.8868,111.42
2015-04-10,111.42,111.5,111.444,108.712,116.7322,108.47
2015-04-13,108.47,111.05,111.4859,109.13,116.4998,108.17
2015-04-14,108.17,105.22,111.5289,109.196,116.319,107.4
2015-04-15,107.4,110.19,111.5677,109.05,116.0868,108.35
2015-04-16,108.35,107.0,111.6107,108.762,115.818,108.42
2015-04-17,108.42,108.07,111.6523,108.162,115.5776,110.44
2015-04-20,110.44,108.71,111.7041,108.556,115.3294,109.5
